Estimator,Feature_Set,R2
Ridge,AA,0.1306468129622142
Ridge,Chem,0.1074655181129552
Ridge,Site,0.1435410153165627
Ridge,Context,0.1438456362998439
Ridge,Site+Ctx,0.1795364578260623
Ridge,Chem+Site+Ctx,0.1771948701794536
ElasticNet,AA,0.1308741590960493
ElasticNet,Chem,0.1073688806905406
ElasticNet,Site,0.1436586981852088
ElasticNet,Context,0.1438162654050125
ElasticNet,Site+Ctx,0.1787581197555566
ElasticNet,Chem+Site+Ctx,0.1785058787300049
RandomForest,AA,0.2576240350219041
RandomForest,Chem,0.4088452338569556
RandomForest,Site,0.3236363171015455
RandomForest,Context,0.2661854464070847
RandomForest,Site+Ctx,0.3979348059712382
RandomForest,Chem+Site+Ctx,0.4621189472355578
SVR(RBF),AA,0.2010640051336863
SVR(RBF),Chem,0.369225056612536
SVR(RBF),Site,0.2697486724024592
SVR(RBF),Context,0.1751653795037882
SVR(RBF),Site+Ctx,0.336250711824036
SVR(RBF),Chem+Site+Ctx,0.3864843264801928
XGBoost,AA,0.2615609573507824
XGBoost,Chem,0.4291417697034777
XGBoost,Site,0.3214704932193744
XGBoost,Context,0.275410552229889
XGBoost,Site+Ctx,0.3861342091019292
XGBoost,Chem+Site+Ctx,0.4607371544491673
