estimator,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds
ElasticNet,A,Chemistry,r2,0.1073688806905406,0.00011422021184370116,0.10722705756562706,0.10751070381545413,5
ElasticNet,A,Chemistry,rmse,1.0793885120414366,6.905781566395437e-05,1.0793027654379321,1.079474258644941,5
ElasticNet,A,Chemistry,mae,0.6978200790380901,0.00016415358936153473,0.6976162554360039,0.6980239026401762,5
ElasticNet,A,Chemistry,spearman,0.47355118222349046,0.000580663534170551,0.47283019321804115,0.4742721712289398,5
ElasticNet,A+B,Chemistry + Site,r2,0.17021396277356296,0.001547352246507314,0.1682926711965351,0.17213525435059082,5
ElasticNet,A+B,Chemistry + Site,rmse,1.0406979304390611,0.0009703504679500006,1.0394930811973675,1.0419027796807547,5
ElasticNet,A+B,Chemistry + Site,mae,0.6746504766556403,0.0002012679041215998,0.6744005695450985,0.674900383766182,5
ElasticNet,A+B,Chemistry + Site,spearman,0.513326950369946,0.0002599226578013946,0.5130042137634366,0.5136496869764554,5
ElasticNet,A+B+C,Chemistry + Site + Context,r2,0.17850587873000492,0.0006853806043285154,0.17765486630854307,0.17935689115146677,5
ElasticNet,A+B+C,Chemistry + Site + Context,rmse,1.0354854010741477,0.00043193926576225785,1.03494907763844,1.0360217245098553,5
ElasticNet,A+B+C,Chemistry + Site + Context,mae,0.6676593824290691,9.790634015028459e-05,0.6675378156513085,0.6677809492068296,5
ElasticNet,A+B+C,Chemistry + Site + Context,spearman,0.5465982601463191,0.0001244184451275069,0.5464437742422917,0.5467527460503464,5
ElasticNet,A+C,Chemistry + Context,r2,0.18040993116085652,0.0016082373980044614,0.17841304068318947,0.18240682163852356,5
ElasticNet,A+C,Chemistry + Context,rmse,1.0342843591526685,0.0010143357066048704,1.0330248950236847,1.0355438232816523,5
ElasticNet,A+C,Chemistry + Context,mae,0.6694128404046327,0.00027904163164806203,0.6690663644566153,0.6697593163526501,5
ElasticNet,A+C,Chemistry + Context,spearman,0.5428579911104157,0.00021496389337754017,0.542591078183095,0.5431249040377363,5
ElasticNet,B,Site,r2,0.14365869818520888,0.0035716633959856276,0.13922389233271132,0.14809350403770644,5
ElasticNet,B,Site,rmse,1.0572178108808348,0.002203922391081024,1.0544812797929943,1.0599543419686752,5
ElasticNet,B,Site,mae,0.7015512421260883,0.0016801885213397875,0.6994650125289454,0.7036374717232312,5
ElasticNet,B,Site,spearman,0.41903486297644826,0.0064566548440015544,0.41101786710782356,0.42705185884507296,5
ElasticNet,B+C,Site + Context,r2,0.17875811975555667,0.0007866169831401493,0.17778140576721588,0.17973483374389745,5
ElasticNet,B+C,Site + Context,rmse,1.035326392292795,0.0004957391582170524,1.034710850827537,1.035941933758053,5
ElasticNet,B+C,Site + Context,mae,0.6793155315408048,0.00026139691685550824,0.6789909643999039,0.6796400986817057,5
ElasticNet,B+C,Site + Context,spearman,0.5134790923504946,0.0017697893087654795,0.5112816086813946,0.5156765760195946,5
ElasticNet,C,Context,r2,0.14381626540501258,0.00011397991366237625,0.14367474064969962,0.14395779016032553,5
ElasticNet,C,Context,rmse,1.0571223778210999,7.036674943506348e-05,1.0570350059616558,1.057209749680544,5
ElasticNet,C,Context,mae,0.7019951926932319,2.2641072054982676e-05,0.7019670800891804,0.7020233052972833,5
ElasticNet,C,Context,spearman,0.45180786452261723,0.00011195009059897054,0.4516688601255248,0.45194686891970964,5
RBF-SVR,A,Chemistry,r2,0.369225056612536,0.01410922937339945,0.35170613445718685,0.3867439787678852,5
RBF-SVR,A,Chemistry,rmse,0.9073133031953304,0.010145230450296644,0.8947163357917165,0.9199102705989444,5
RBF-SVR,A,Chemistry,mae,0.5023312361076362,0.004067214326446197,0.4972811225055094,0.507381349709763,5
RBF-SVR,A,Chemistry,spearman,0.726683397214394,0.003437590874155841,0.7224150643854009,0.7309517300433871,5
RBF-SVR,A+B,Chemistry + Site,r2,0.41587840239987584,0.02895706817497226,0.3799234533534807,0.45183335144627096,5
RBF-SVR,A+B,Chemistry + Site,rmse,0.8729489220467362,0.021421148411125517,0.8463510532644619,0.8995467908290106,5
RBF-SVR,A+B,Chemistry + Site,mae,0.4709079379294138,0.012591905753868255,0.4552730218860608,0.48654285397276686,5
RBF-SVR,A+B,Chemistry + Site,spearman,0.7704645375844889,0.00914238074503876,0.7591127725555029,0.7818163026134748,5
RBF-SVR,A+B+C,Chemistry + Site + Context,r2,0.3864843264801928,0.03131262486807888,0.34760456749223934,0.4253640854681463,5
RBF-SVR,A+B+C,Chemistry + Site + Context,rmse,0.8946316574103447,0.022550839549412727,0.8666310918125693,0.9226322230081201,5
RBF-SVR,A+B+C,Chemistry + Site + Context,mae,0.4985182106423869,0.015834080581780412,0.4788576028393328,0.518178818445441,5
RBF-SVR,A+B+C,Chemistry + Site + Context,spearman,0.7417830387193893,0.016381754504922418,0.7214424039232148,0.7621236735155639,5
RBF-SVR,A+C,Chemistry + Context,r2,0.3744099344284016,0.020697700940567946,0.34871034432491016,0.400109524531893,5
RBF-SVR,A+C,Chemistry + Context,rmse,0.9035241136585466,0.014855260176855137,0.8850788719129954,0.9219693554040977,5
