representation_id,scope,rank,feature,subblock,proportion,sample_sd,ci95_low,ci95_high,n_seeds
A+B+C,overall,1,edit_n_methylation,C,0.151045960187912,0.0181553143893221,0.1285031599346199,0.173588760441204,5
A+B+C,overall,2,logp,A,0.1247847780585289,0.0045894183123596,0.1190862625673747,0.130483293549683,5
A+B+C,overall,3,anchor_pos_std,B1,0.0660625830292701,0.0028863551275593,0.0624786997813488,0.0696464662771915,5
A+B+C,overall,4,num_rotatable_bonds,A,0.0643481813371181,0.0047828538631636,0.058409483886558,0.0702868787876782,5
A+B+C,overall,5,mol_weight,A,0.042618715763092,0.0049455420032538,0.0364780143060471,0.0487594172201369,5
A+B+C,overall,6,tpsa,A,0.042165507376194,0.0037745409613232,0.0374787957547735,0.0468522189976144,5
A+B+C,overall,7,anchor_pos_mean,B1,0.0398295439779758,0.0069835671204214,0.031158300105509,0.0485007878504426,5
A+B+C,overall,8,anchor_c_terminal_count,B3,0.0328027140349149,0.004866326392786,0.0267603717494836,0.0388450563203462,5
A+B+C,overall,9,anchor_res_L,B2,0.0309642914682626,0.0029736301775288,0.0272720419328527,0.0346565410036725,5
A+B+C,overall,10,num_h_donors,A,0.0291462324559688,0.000724392840202,0.0282467799457333,0.0300456849662043,5
A+B+C,overall,11,edit_d_amino_acid,C,0.0284328497946262,0.0024236971852154,0.0254234322571963,0.0314422673320561,5
A+B+C,overall,12,anchor_res_P,B2,0.025583079829812,0.0037220901152057,0.020961494535691,0.030204665123933,5
A+B+C,overall,13,num_aliphatic_rings,A,0.0231203317642211,0.0030393152665851,0.0193465234185113,0.026894140109931,5
A+B+C,overall,14,anchor_density,B1,0.0227469604462385,0.0010057450211614,0.0214981630620896,0.0239957578303873,5
A+B+C,overall,15,cyclization_ring_size,C,0.0225519131869077,0.0036389829464622,0.0180335190722081,0.0270703073016074,5
