Experiment,Split,Feature set,Estimator,Seeds,Optuna trials,Existing status,Reusable,Source or blocker
primary_ablation,random,Chemistry,XGBoost,0,50,reusable,True,results/final_experiments/raw_runs/primary_ablation/random/seed_0/chem_A_xgb/metrics.json
primary_ablation,random,Chemistry,XGBoost,1,50,reusable,True,results/final_experiments/raw_runs/primary_ablation/random/seed_1/chem_A_xgb/metrics.json
primary_ablation,random,Chemistry,XGBoost,2,50,reusable,True,results/final_experiments/raw_runs/primary_ablation/random/seed_2/chem_A_xgb/metrics.json
primary_ablation,random,Chemistry,XGBoost,3,50,reusable,True,results/final_experiments/raw_runs/primary_ablation/random/seed_3/chem_A_xgb/metrics.json
primary_ablation,random,Chemistry,XGBoost,4,50,reusable,True,results/final_experiments/raw_runs/primary_ablation/random/seed_4/chem_A_xgb/metrics.json
primary_ablation,random,Site,XGBoost,0,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_0/site_B_xgb/metrics.json
primary_ablation,random,Site,XGBoost,1,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_1/site_B_xgb/metrics.json
primary_ablation,random,Site,XGBoost,2,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_2/site_B_xgb/metrics.json
primary_ablation,random,Site,XGBoost,3,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_3/site_B_xgb/metrics.json
primary_ablation,random,Site,XGBoost,4,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_4/site_B_xgb/metrics.json
primary_ablation,random,Context,XGBoost,0,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_0/context_C_xgb/metrics.json
primary_ablation,random,Context,XGBoost,1,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_1/context_C_xgb/metrics.json
primary_ablation,random,Context,XGBoost,2,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_2/context_C_xgb/metrics.json
primary_ablation,random,Context,XGBoost,3,50,newly completed,False,results/final_experiments/raw_runs/primary_ablation/random/seed_3/context_C_xgb/metrics.json
