number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9201605347442289,TrialState.COMPLETE,962,9,0.04227655555859942,0.7417332863753886,0.8620126730844593,7,4.454499898459304e-05,1.807380458142653,8.492490245063827
1,0.9263607141416801,TrialState.COMPLETE,801,9,0.027721948946065625,0.756412321115327,0.5209642630762161,8,1.5898606055707856,0.029161673070074164,8.314067836796806
2,0.9063315438430762,TrialState.COMPLETE,1415,9,0.034154410443201236,0.6616989158856007,0.8201044136795825,12,0.15719335854973393,0.00015381404505785242,3.9268173905556725
3,0.8930381486001474,TrialState.COMPLETE,1524,5,0.06629187434997658,0.5907797164596493,0.7982275877708361,5,0.005742044740623824,0.6056529603402133,0.7992552732185887
4,0.9094383305533149,TrialState.COMPLETE,244,9,0.022008732050634364,0.8684716956291723,0.694917246101453,6,1.027220978867315e-08,6.6829528952228845,4.933198242128607
5,0.8927476967331568,TrialState.COMPLETE,312,8,0.019889282459682165,0.757894361076823,0.7419165887320649,11,1.5066657307681757e-07,1.9010323475465567e-08,1.3218524315447389
6,0.9190231094595862,TrialState.COMPLETE,606,6,0.055562016363234844,0.6599587263368634,0.6053427398670481,10,1.9480240559179862,8.900711206485065,5.300647236058582
7,0.9346301808408427,TrialState.COMPLETE,1381,4,0.06437915373439038,0.9310837393986204,0.5463343372053673,13,1.5572614593332585,0.012718317314738683,8.745461359008202
8,0.9045878979474389,TrialState.COMPLETE,1641,8,0.17559558678375448,0.7938889890003586,0.8524327428099461,17,2.0317284425730797e-08,0.004776770282976241,2.7852449097185907
9,0.9014947713745988,TrialState.COMPLETE,344,9,0.01573013838832969,0.7331311613130114,0.9580395606938064,20,7.595768278708267e-07,1.7746743483548823e-06,1.625863526939464
10,0.9331763048716453,TrialState.COMPLETE,1947,2,0.005493107124859951,0.5140473480580162,0.6932151268145006,1,0.00027483605924729775,4.878350860849694e-08,6.6504721040022
11,0.8844340518936813,TrialState.COMPLETE,1158,6,0.1405508923856076,0.5179144149425821,0.7453933078282551,3,0.004307206213418162,1.0772038652121135e-08,0.2494288624768124
12,0.8929201374115485,TrialState.COMPLETE,1068,7,0.18020275880067615,0.5212798930343523,0.7185965060907678,1,2.7598447922426035e-06,1.6415864869394613e-08,0.24710280405565757
13,0.8941519297475167,TrialState.COMPLETE,563,7,0.00912126750311135,0.9869743552274279,0.7546587762562269,4,0.006780698191505362,1.2626037146239544e-06,2.349244219078102
14,0.8839187831211922,TrialState.COMPLETE,1213,5,0.08772598935948397,0.8329377419370134,0.9215681209982057,14,8.518290515154565e-07,5.926224158926221e-07,0.015934161624658688
15,0.8884637371567965,TrialState.COMPLETE,1175,4,0.10851562377601928,0.6149860418492238,0.9766219025185507,16,2.61279148487082e-05,1.9662714927469556e-06,0.2136960741675832
16,0.9134705510734067,TrialState.COMPLETE,1774,2,0.11641075750770583,0.8531493266479921,0.9197156443991421,15,0.005582830162103649,1.5960502270980025e-05,2.899509328890133
17,0.8974390545434386,TrialState.COMPLETE,1211,5,0.10627877387593301,0.8638636146761325,0.6355857394034548,20,0.000436901057990665,2.0965345768178936e-07,1.677903819148879
18,0.8862369477337665,TrialState.COMPLETE,869,4,0.08997973679706064,0.5736605372362481,0.9178078239577699,3,0.10775253183056531,4.2570764791739914e-05,0.22645284909514488
19,0.909433434141995,TrialState.COMPLETE,1296,6,0.18883520921872396,0.9959604602525808,0.9977313941005601,9,8.015082188169587e-06,2.124365198276557e-07,3.7446857489336307
20,0.930408494414802,TrialState.COMPLETE,665,3,0.1339712433118365,0.6923229283937233,0.6377847223516936,14,1.7859779721293265e-07,0.0006527301586771857,9.950171117606127
21,0.8836428811715357,TrialState.COMPLETE,933,5,0.08181706533513497,0.5705831616618432,0.9152569784872057,3,0.10546274353114551,3.162349615766924e-05,0.08581643815833678
22,0.8886484916565606,TrialState.COMPLETE,1051,5,0.08136349995791302,0.5528268592168446,0.9022806708984852,2,0.07351489266535703,7.226245695146229e-06,1.0778242350983196
23,0.8882429624988627,TrialState.COMPLETE,791,6,0.05037120809212666,0.622197508587071,0.7959136456019954,4,0.0007192446397936641,1.9366428403634944e-07,0.1483838481249764
24,0.893305856599305,TrialState.COMPLETE,1134,7,0.07704587366112545,0.5470162926934078,0.8711956254932826,6,0.029183192674187532,0.00040113894833462165,1.9172756631941548
25,0.8941201268649727,TrialState.COMPLETE,958,5,0.1558454524735128,0.5002906171261069,0.9366388106776881,3,5.477262453111549,1.0485000088297988e-08,0.9302813134905636
26,0.8889029346047796,TrialState.COMPLETE,1517,3,0.04457169858288282,0.7990098073901267,0.8932771610225979,17,0.0021943024694335692,4.2449805300359825e-07,0.9296108649897483
27,0.9014581111829043,TrialState.COMPLETE,1283,6,0.09155519776341392,0.9330959213098715,0.8195183228336317,8,9.590075161144812e-05,7.533650394964406e-05,2.4265101414463217
28,0.8981762246006424,TrialState.COMPLETE,445,3,0.13493618710899835,0.636403554936815,0.9497532956813015,5,0.02685895641518438,4.581440022850228e-06,0.027381877634861967
29,0.8985870104589073,TrialState.COMPLETE,989,10,0.03748171190099664,0.6915882158542803,0.8566446046152093,7,4.131644108204651e-05,2.0235633224288558e-05,3.1634422272672365
30,0.8966015182866992,TrialState.COMPLETE,887,4,0.06387872520565116,0.5840699589798495,0.7705614193096207,18,0.3992131024153392,8.904343198671615e-08,2.0300434295698944
31,0.8875508739304572,TrialState.COMPLETE,824,4,0.0882927045747998,0.5689669731372332,0.9094100691687798,3,0.3450088875702845,3.500128214707315e-05,0.5359317897516976
32,0.9046639610714523,TrialState.COMPLETE,732,5,0.1298725905254442,0.5446972413951828,0.9983748484014855,2,0.035222728140262914,0.0016256651093932057,1.4294793566363708
33,0.8923144988310756,TrialState.COMPLETE,899,4,0.0962576653641131,0.5935884398730292,0.8665608464447242,3,8.71590274070851,0.00014285431046194105,0.7727400484866223
34,0.8868113246329312,TrialState.COMPLETE,1090,6,0.07141006676203956,0.529368014628262,0.8340979842048556,7,0.1418343838460372,0.16968351543039517,0.061589468643917344
35,0.8868295685356208,TrialState.COMPLETE,1293,5,0.05190709481377306,0.6512146604201733,0.8863778876448767,5,0.36901666528452237,7.40782185189379e-07,0.7243044947254743
36,0.8911707037753911,TrialState.COMPLETE,1417,3,0.03184074882220618,0.6834952251708243,0.9365107004374423,12,0.006711739930720268,5.009660972475147e-06,1.1763312970717392
37,0.887648759051002,TrialState.COMPLETE,962,7,0.13894939157950603,0.6024428768565915,0.5533447771231264,9,0.0020610181254293643,4.7854009267722424e-08,1.4282256118655163
38,0.8828103470719948,TrialState.COMPLETE,510,5,0.05726087716540628,0.5724687147982042,0.7844127203448794,6,0.9407762894408644,6.149478493316408e-05,0.5671628141987088
39,0.9199016054256581,TrialState.COMPLETE,470,5,0.04296786839030696,0.743023302741373,0.7821828799956144,11,1.461362507926838,32.47587598907881,3.5464369704505403
40,0.9078370460668349,TrialState.COMPLETE,218,8,0.056704032583441324,0.803977343672931,0.68138439037373,6,5.318595513508757e-08,0.0005154252162246771,4.936863669288378
41,0.8886512762903288,TrialState.COMPLETE,691,6,0.07402110519371702,0.5712069304962659,0.8202115506571526,4,0.7634471545458442,0.00013530248429368067,0.6447950849549825
42,0.8875376740106493,TrialState.COMPLETE,573,4,0.10304713273638845,0.5003420866648975,0.7288173272786039,1,0.12708542031117645,5.885357401509606e-05,0.48787575114411097
43,0.8895528359755943,TrialState.COMPLETE,1217,6,0.02670304262285331,0.565505469404135,0.9731121046189458,2,0.015010891982710581,0.01106382065525531,1.207620526174546
44,0.896934067216828,TrialState.COMPLETE,836,5,0.05930844249788441,0.5324530620178989,0.8381410288825923,5,2.5025042672092446,1.4182786719790925e-05,2.0133498543180384
45,0.8800960539210225,TrialState.COMPLETE,459,4,0.08746079418060489,0.9012580924780115,0.925535249536068,3,3.74914943567854e-07,0.002237697642827181,0.40019917484469825
46,0.9135827535524677,TrialState.COMPLETE,339,5,0.11758415946268058,0.9377533055985501,0.752212640752138,4,2.4012800252966344e-07,0.0014801627980518704,6.778513597351267
47,0.8955739888482013,TrialState.COMPLETE,422,7,0.15196974966070068,0.8886030410678839,0.6728811004279356,2,1.7631694607358938e-06,0.08564234339646878,2.370282239022595
48,0.8863649315000866,TrialState.COMPLETE,1506,4,0.014610320028648002,0.835674958691578,0.9560590033469193,1,8.413205696067935e-06,0.004847793179807446,0.5222377022469221
49,0.8943156123766905,TrialState.COMPLETE,512,6,0.06877615447839942,0.909668916866668,0.8749508151460511,10,4.033638811686317e-07,0.7352894630720305,1.6465312212783563
