number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,1.0397780295276315,TrialState.COMPLETE,1067,6,0.006140005781657032,0.6979416117703524,0.5966206653346566,16,5.0694416513985665,0.0003120195303918433,8.164685334201845
1,1.0272448059413157,TrialState.COMPLETE,1681,2,0.007679092769037541,0.963320676862349,0.8090254486189582,2,3.054627655542259e-05,0.0028616190815631613,5.168187165680438
2,1.0007326791522446,TrialState.COMPLETE,860,8,0.0060437564541801336,0.7771324946061052,0.708041464495627,3,3.2134902601088667e-06,4.767056358921318,1.5623534214930168
3,1.0482829373075049,TrialState.COMPLETE,617,2,0.04707885995908502,0.9218142892961869,0.5657643895411417,1,0.003174926037140738,19.04762178806835,8.790678779094538
4,1.026371020271119,TrialState.COMPLETE,891,2,0.10247652528597564,0.524257742830661,0.7918410842887574,4,3.82881172800176e-08,6.864344545836443e-06,5.689462482898896
5,0.9878596230362356,TrialState.COMPLETE,1313,6,0.11642429109821746,0.8345729809955715,0.9617946353792037,5,3.359309709486036e-05,13.326229826970717,0.07583187736019514
6,1.009118674142713,TrialState.COMPLETE,280,7,0.07422095689806031,0.658716526145166,0.9624581851345178,1,1.651459965740813e-07,2.944479220830688e-06,5.61832536637138
7,1.0239455826042108,TrialState.COMPLETE,1332,9,0.012083568722755527,0.6823872731069488,0.7393052763409245,16,3.917037112729225e-06,0.001585402463238438,6.173172421160357
8,1.0281762004045791,TrialState.COMPLETE,983,2,0.009772339469562318,0.5423717802368935,0.5074666831448762,1,0.29264412828713987,0.00026501249343862374,4.922695655433211
9,1.0162496113230588,TrialState.COMPLETE,1549,8,0.023686879792467405,0.5676897671955001,0.7054416799506442,15,0.015541584038106826,0.00040313509509756686,3.8711416914340333
10,0.9881606977419174,TrialState.COMPLETE,1924,5,0.19625305508721916,0.8524864279862944,0.9954460210221634,9,0.00037604761559200826,1.901926630616564e-08,0.04834233555538425
11,0.9881783461186445,TrialState.COMPLETE,1998,5,0.13021508233092333,0.8370169354078512,0.9949913410249009,8,0.0004830200510816336,6.85790191648224e-08,0.3663438814339893
12,0.9859357785763813,TrialState.COMPLETE,1982,4,0.1904755937695765,0.8712414639246221,0.9101110794041518,9,0.00015002439939305746,0.4668249812030858,0.1190456114571025
13,1.0083715815479042,TrialState.COMPLETE,1424,4,0.19089245499997112,0.8816636561137117,0.8858277812125396,8,3.6904645639379455e-05,0.4741853909235091,2.307235421624971
14,1.0040262483115097,TrialState.COMPLETE,1738,4,0.05318520158509025,0.7940339129151658,0.8954222845957968,12,0.03407156889216299,0.19553097635070357,2.0210994644374396
15,1.0186644050898572,TrialState.COMPLETE,1218,4,0.10425322946428081,0.9777347176641822,0.9083658426117747,20,1.594834955653194e-06,54.53995320665264,0.9779775495410471
16,1.0035189256923585,TrialState.COMPLETE,587,10,0.03711781329239194,0.7586071481949591,0.8418094382864307,6,0.0001386225009460486,0.08965852569445511,3.013039812073457
17,0.9887631010842409,TrialState.COMPLETE,1774,6,0.13678863773422167,0.90648485474802,0.9376706530624157,12,4.101752186187472e-07,2.1891442888179564,0.006397246157259576
18,1.0047932405397617,TrialState.COMPLETE,1206,6,0.07132930830227527,0.7364252369996105,0.8503430350622899,5,0.0037850212187674377,0.035383428990230045,3.5583428515621556
19,1.0021716694073335,TrialState.COMPLETE,1553,3,0.02693772270345655,0.8239175114976758,0.9423278899784981,11,1.1803692314041646e-05,0.014880647269440186,1.1041270563948018
20,1.001126469555224,TrialState.COMPLETE,1883,5,0.07905884610747786,0.603639541857691,0.7821334121297833,6,1.579082365382373e-08,1.5100174548702183,2.4594195286139113
21,0.991441760237268,TrialState.COMPLETE,1971,5,0.19888976651763413,0.8585545641337354,0.9859580988177282,8,0.0005920011986023053,1.592891634108813e-08,0.2007879058397286
22,1.0117387195544805,TrialState.COMPLETE,1843,7,0.15058486824371833,0.9092093020054582,0.9314274416212629,9,0.00019292952841862553,98.23276755519728,1.0553372646297594
23,0.9985337234294533,TrialState.COMPLETE,1560,3,0.10441846745764152,0.8125271775986,0.9995430114538457,10,0.0020310953781280555,1.7016048979842877e-06,0.8134198206711771
24,0.9869161234954683,TrialState.COMPLETE,1655,5,0.1619773869010353,0.864896829143347,0.8789920531190694,6,6.224050330183978e-05,1.645790944873159e-05,0.02118259671523863
25,0.9976404642028615,TrialState.COMPLETE,1410,7,0.1447791871443853,0.9433953765652459,0.8612617387876215,6,2.5775413038143106e-05,4.7577577942981885e-05,1.7506719194677212
26,1.0077823994875263,TrialState.COMPLETE,1656,3,0.09156311260487918,0.9933217147625069,0.8945798073339155,5,7.450188493678315e-05,3.2355660911774134e-07,1.3167864136706293
27,1.0386269359804894,TrialState.COMPLETE,1323,4,0.12950963359373174,0.879166448750489,0.8207717491354692,7,9.152737232393961e-07,7.780029304314648,9.93866741080831
28,0.987320491264379,TrialState.COMPLETE,1639,6,0.06360337053011703,0.7204683881394329,0.762553788875067,4,9.4809384594983e-06,2.0142560441723186e-05,0.4925028295800733
29,1.0148720992458347,TrialState.COMPLETE,1803,5,0.05934161316077265,0.7205513486719561,0.6662952702663978,14,1.2907188277858903,8.143864138704691e-06,2.767432576263934
30,0.9887610517461116,TrialState.COMPLETE,1609,6,0.03518269502510659,0.6534581438842232,0.6319933041542458,4,7.917768997469935e-06,4.437343493486622e-05,0.7264076599577959
31,0.9895314151256533,TrialState.COMPLETE,1124,6,0.14717280184897577,0.7891780677808753,0.7408235040951701,4,1.299699092402058e-05,4.2693287068863e-07,0.4961160997248703
