number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8674691449915044,TrialState.COMPLETE,1691,3,0.019346548802564142,0.507924828016207,0.7510403766185989,19,1.2384576958099117e-08,0.059599936126378164,0.6934183452771037
1,0.8626630749215152,TrialState.COMPLETE,856,4,0.02190996735257649,0.9840065413543898,0.8289701815199509,16,9.371747448533307,0.0018549300082019654,6.039002878591492
2,0.8058661569884592,TrialState.COMPLETE,1931,5,0.060151602818472365,0.8563068775109127,0.717691973804152,7,2.3896604247617574e-07,2.8838663345162343e-07,8.077606196501195
3,0.8560180696461187,TrialState.COMPLETE,1244,9,0.007003436964566507,0.6035428718121113,0.9755853204923741,13,0.0010614222883361466,27.295520089517915,7.713229370447822
4,0.804689883301869,TrialState.COMPLETE,1728,9,0.10595567053590543,0.9547350299978961,0.7625519327963894,4,9.839768412370119e-07,1.3181968370889393e-07,0.9877179386159685
5,0.8674780650672208,TrialState.COMPLETE,1714,7,0.07877431395150293,0.9065049425826791,0.8008366145564789,11,0.1591201719359263,2.599308193134261e-07,8.708770866234717
6,0.8451389328520168,TrialState.COMPLETE,949,4,0.02316379515278809,0.854737000703903,0.584078235780377,16,0.4019507765847045,0.000888292942735308,6.085664148360546
7,0.8522375955687816,TrialState.COMPLETE,586,5,0.017517897383808236,0.650208385673408,0.7070688643801402,14,0.40483646059853096,0.005896979056067432,0.32731180340450194
8,0.8746568421901721,TrialState.COMPLETE,847,10,0.06972463957741191,0.9246073665699093,0.5949635842742367,18,2.0935421515381533e-07,8.325463817182652e-07,5.66997025801445
9,0.8568214366824101,TrialState.COMPLETE,481,5,0.1673202242248737,0.6452525008183502,0.82911223011795,5,0.9750924551864054,0.1384949393573854,1.550638987982067
10,0.8345767799955527,TrialState.COMPLETE,277,8,0.005472936439711568,0.7555953641714939,0.5027688166926577,1,0.0002680431499751964,1.2425865275780546e-05,3.266978937518449
11,0.8365269306295916,TrialState.COMPLETE,1931,7,0.07828099966455873,0.801010853949891,0.6777770108643619,7,5.70379967623037e-06,3.174703722148312e-08,9.90545321325741
12,0.8429697772148753,TrialState.COMPLETE,1459,2,0.1562987276611768,0.999563424862634,0.9303087090293037,7,2.696414491665719e-06,1.9306887445170086e-05,3.2106884796823985
13,0.8477166640074909,TrialState.COMPLETE,1941,6,0.04186100673170208,0.7808140764326311,0.6435143788889112,2,2.2024101753819465e-08,1.0625501505679437e-08,3.810115138444667
14,0.8098776200426373,TrialState.COMPLETE,1479,10,0.04654547112057792,0.8894912068211163,0.9004091842194228,9,1.336894623755328e-05,6.110629249991572e-06,4.658123284991775
15,0.833761471637195,TrialState.COMPLETE,1717,8,0.10835129069110609,0.8455791356202769,0.7407524441584525,4,3.376126162692161e-07,3.441492066452206e-07,2.117463334439444
16,0.8814955447709701,TrialState.COMPLETE,1335,2,0.04763413630045317,0.9420362730746485,0.7817350713752912,4,0.0002726035940496492,0.00012796437700920773,7.603527823967827
17,0.8051135036593337,TrialState.COMPLETE,1983,6,0.10218236643839741,0.7111582553277653,0.8798746246367741,8,3.760438810897546e-07,1.0957281135339901e-07,9.862324906112427
18,0.8260587300088504,TrialState.COMPLETE,1652,9,0.11619208665000753,0.7002752598149202,0.8840504563179155,9,3.359439372957745e-05,1.4804292106662458e-06,9.852427224368856
19,0.8214787523582432,TrialState.COMPLETE,1104,7,0.19855039272470687,0.5003370100701318,0.9895676765179665,10,0.01784008856430207,4.3112964040348506e-08,4.7685949307341335
20,0.8815301358815586,TrialState.COMPLETE,1814,6,0.11523260389836873,0.5601912550361439,0.8566537190823349,3,9.994612465524702e-07,4.44178324119791e-05,6.95252245444137
21,0.8113490298106307,TrialState.COMPLETE,1942,5,0.034532639092691435,0.7443829701958284,0.7275655636321012,6,1.5279199911557233e-07,1.1038365412546318e-07,8.73974186024211
22,0.8775551038785391,TrialState.COMPLETE,1990,6,0.06497378467868256,0.8251592029302632,0.6604809763383328,8,4.634797564808106e-08,1.3060499350307529e-06,8.892982617398047
23,0.8292400369142693,TrialState.COMPLETE,1554,4,0.1002998788490604,0.9599722059066902,0.7857327761620658,11,7.389782027355283e-07,1.2776618285940304e-08,7.865018645701653
24,0.8095776647147566,TrialState.COMPLETE,1841,8,0.030522327989474508,0.8781553494775713,0.9363018737505728,6,4.8806231093790486e-05,1.4261638487285202e-07,9.38564822710722
25,0.8373361711677539,TrialState.COMPLETE,1818,3,0.054868857536588815,0.7196375728731421,0.6165239142680183,5,6.476537381635367e-08,5.480814645996618e-06,7.111688677993183
26,0.8774525715976991,TrialState.COMPLETE,1573,9,0.13912138024208617,0.6769255159738106,0.6997846186437756,1,2.2240936440371007e-06,1.8801887007247022e-06,1.5448576415976714
27,0.8218526854999554,TrialState.COMPLETE,1363,6,0.09250370322618788,0.954856977669415,0.7684912878252321,12,7.1741665992258574e-06,1.0313300830089132e-07,8.41697876345827
28,0.8294895520074359,TrialState.COMPLETE,1811,5,0.013329485301652717,0.8167592985905625,0.8293005463199501,8,1.1258811337958704e-07,0.0002456428356055332,6.7969986764487675
29,0.8466743202871728,TrialState.COMPLETE,1626,3,0.06153679281265433,0.9079017285857682,0.5314836025442529,3,2.4248290963039006e-08,8.50204541103244,1.0134851615082061
30,0.8407384337492977,TrialState.COMPLETE,1808,7,0.13408618717096596,0.5564424461168176,0.7486367680556529,6,6.932014363165232e-07,4.915160982988419e-07,4.933889459952754
31,0.8042035530726332,TrialState.COMPLETE,1868,8,0.034902279153371484,0.8867255059859596,0.9421025845528496,6,7.816852130187707e-05,8.807284481451105e-08,9.325962279979512
32,0.8176642975542124,TrialState.COMPLETE,1735,9,0.03142847483683584,0.8654499489592401,0.9208481530112085,8,0.0033215913533474464,2.5065225934457546e-08,9.29058717209323
33,0.8329443440859188,TrialState.COMPLETE,1988,8,0.08565324135909089,0.9752362323651624,0.9546681827289921,4,0.00017804758371996947,7.523869916669366e-08,8.257544463479006
34,0.8188196296071175,TrialState.COMPLETE,1897,10,0.011351599155959891,0.9135240391120473,0.8819526176581571,10,2.0493999745065743e-05,2.518543239954823e-06,9.572712813754267
35,0.8244154865420296,TrialState.COMPLETE,1712,9,0.03754036508082766,0.787858551008388,0.8622712944793522,7,8.626249443122214e-05,3.6768881691644097e-07,9.302637503749834
36,0.8101986194025578,TrialState.COMPLETE,1503,7,0.026805145809669376,0.9321574779441918,0.9661874096207421,5,1.2237448173935896e-08,1.0000976230702094e-08,7.969819878588176
37,0.7969936369410242,TrialState.COMPLETE,1619,8,0.05395373452018786,0.8354741441269858,0.8037979876998537,13,0.001859723790724365,1.9023338123047275e-07,0.03363683540828433
38,0.8173196504371267,TrialState.COMPLETE,1368,8,0.017621802728532986,0.8427448641503696,0.8072773508368544,14,0.00274532153497971,5.757919543319104e-08,0.29858830974685446
39,0.8100095531087983,TrialState.COMPLETE,1636,9,0.05381051855642493,0.893097597383574,0.8619738941184544,19,0.029225916993840317,2.3459578317813465e-07,2.2700074892777473
