number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8694222001060942,TrialState.COMPLETE,1824,8,0.007467222151397992,0.9875269584759623,0.5708067609288383,1,0.024465275215186655,0.3497348280202159,7.580558379094917
1,0.8696949822829159,TrialState.COMPLETE,523,9,0.0184763373519819,0.8863295548186588,0.5434763344677755,3,2.350984821631046e-07,5.318121022286219,3.616420323597768
2,0.864087439800466,TrialState.COMPLETE,634,5,0.03539061362552798,0.645316730124,0.8979205483816801,18,8.172902286427018e-06,0.05720478862698578,4.754697091942224
3,0.8689889436623839,TrialState.COMPLETE,813,9,0.01385356005884512,0.9473600377727267,0.9864056234259201,1,7.881093629877265e-06,0.00048377129583938915,9.031343078253974
4,0.8865130063868077,TrialState.COMPLETE,361,3,0.045638303334511354,0.5503748090846554,0.7957201648267642,1,7.743922772135753e-07,0.0037023541200009308,2.46015682261345
5,0.8707660650402819,TrialState.COMPLETE,343,3,0.027097510058185174,0.6503517496501998,0.7584620171326988,19,1.2053401101532996e-06,1.0810100295723242,2.309858204976918
6,0.8766440709418869,TrialState.COMPLETE,1298,5,0.07131462234526743,0.837394817220946,0.5871195434620362,15,2.649254313868974e-07,47.181104103509604,6.873386113084879
7,0.8704072399609929,TrialState.COMPLETE,787,9,0.008274465262422398,0.7318501589416995,0.6188146376679715,13,0.0005741015347407803,44.23453045531644,3.223600881702758
8,0.8765116143034457,TrialState.COMPLETE,795,3,0.011613527946281458,0.5018328442242634,0.5899596728119294,8,0.024913555066172193,0.052117186760399094,0.8313898308017853
9,0.8691766449914828,TrialState.COMPLETE,471,9,0.012357366124878923,0.6612647814464768,0.8525498218775326,17,0.17644982596492975,7.894700700577626e-08,8.652728204501198
10,0.8786411776893612,TrialState.COMPLETE,1925,6,0.1997418522667362,0.7852156621143437,0.9927909138862663,9,7.990929289393189,1.6750278048071448e-06,5.348454197546883
11,0.8708069977475524,TrialState.COMPLETE,1054,6,0.03556720750436211,0.9656109205258019,0.9762610422814996,8,8.759913485700513e-05,0.0002741754524265792,9.933125410181898
12,0.862011251375105,TrialState.COMPLETE,1147,7,0.07704122102798537,0.6381013016817672,0.9011937471776724,11,3.166277573601055e-05,8.534162004969069e-05,5.51247820952821
13,0.8658523352657204,TrialState.COMPLETE,1422,5,0.09862125479648137,0.6178093540652504,0.9002704388653094,12,8.255172983697637e-05,1.346246814341414e-05,5.241585193882325
14,0.8769341902478618,TrialState.COMPLETE,1481,7,0.07809327684814286,0.7285220389762632,0.8960769706668064,19,1.7591990686927808e-08,0.009093590851807122,5.229027424972589
15,0.8659988504181793,TrialState.COMPLETE,1073,5,0.13791022184112198,0.6096522386810593,0.7104274122748073,11,0.0003468023731905121,3.09873981476989e-05,6.5157353759342795
16,0.8748326292472783,TrialState.COMPLETE,1083,7,0.05133287866196084,0.7203282905639043,0.9017474858673955,5,1.3802149655840771e-08,2.4389024727134956e-08,4.506851467846285
17,0.8821905933889648,TrialState.COMPLETE,204,2,0.023449581387057414,0.5494570773864528,0.7944591167302814,15,9.268017081205465e-06,1.5102102298997215e-06,1.2944979630098175
18,0.8694566469139879,TrialState.COMPLETE,1637,4,0.052225766990725904,0.6743503947193398,0.6782688949722651,20,0.006425645671258097,0.04763502953114592,6.196383952128043
19,0.8625717378795207,TrialState.COMPLETE,626,7,0.09948226094153434,0.5980333223579519,0.8500589957780246,15,1.0740228141726817e-05,0.0005840302619865059,4.177280133957854
