number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8048718456907047,TrialState.COMPLETE,517,8,0.02192435499174364,0.5614790247057058,0.5403594672806411,16,4.3574728018732187e-07,0.08407132612065081,5.4172659975846935
1,0.8000278602443451,TrialState.COMPLETE,510,5,0.06433016757890717,0.9967380265139252,0.7555239774666386,17,0.004273867112557707,0.5280770584935125,2.2728411567174622
2,0.8020830835213532,TrialState.COMPLETE,1992,2,0.013413360794802936,0.8058964254500789,0.7083513800287069,4,2.4070704471355045e-05,4.784747712843788,2.643302874351053
3,0.8080471167458372,TrialState.COMPLETE,1947,5,0.033996101405458716,0.9720447983916563,0.7643827410322984,8,8.497003645555067e-08,0.26004904504172743,7.9821872755898
4,0.8025131795832936,TrialState.COMPLETE,1835,2,0.021415336550813544,0.9370506999378926,0.9302000753169235,13,0.0010068353145467625,0.08731946265511019,4.410899935519646
5,0.8032185844289206,TrialState.COMPLETE,622,4,0.06242638165810502,0.6436289548906767,0.5737013901998389,16,0.0010950126565825063,0.040465597553144675,5.548347128800857
6,0.8108424651552251,TrialState.COMPLETE,311,3,0.010936635874676182,0.7686364835130575,0.9264093291539686,13,0.002613290160582048,2.807661546938478e-06,4.937970178376223
7,0.8006578526967406,TrialState.COMPLETE,688,6,0.008171968813560717,0.8918651893864675,0.7419698296403259,15,2.0179440852608738e-07,0.08752424614673844,1.355072822431097
8,0.8036199006460675,TrialState.COMPLETE,1527,9,0.018924018907787183,0.8311138717058657,0.7991762537140854,8,2.4075967756582545e-05,0.023648496972950492,9.347492491634176
9,0.8071894684482681,TrialState.COMPLETE,881,2,0.10666152426521824,0.9361481381435917,0.6918053717564805,12,0.06643548275366455,0.5943309202913748,9.721852518911193
10,0.7953979505512146,TrialState.COMPLETE,1178,7,0.18335212408199106,0.6923516110747239,0.9951342618650937,20,0.5123706284853861,9.522970836185377e-08,1.1989141365368323
11,0.8038639607170677,TrialState.COMPLETE,1149,7,0.15684718481353901,0.6839591152316782,0.9841672155118838,20,3.7803273064934815,1.1510704656503824e-08,0.01324131732223166
12,0.8196752415755798,TrialState.COMPLETE,1103,10,0.19322961697521726,0.5275736806421213,0.850859753424516,20,5.614463796558006,0.00013087363803861027,2.452001186984994
13,0.7985594814505839,TrialState.COMPLETE,1400,6,0.06687472308939327,0.6944565783698745,0.6416811152669482,18,0.1249082283935326,0.0002309803147433521,0.08186895134335859
14,0.8025224054129798,TrialState.COMPLETE,1485,7,0.0735333834441605,0.6968835731047912,0.6351135468016316,19,0.16866926791152437,1.2586628731750363e-08,0.028786542224295025
15,0.7942857734482592,TrialState.COMPLETE,1360,7,0.040692178096654846,0.6047292415295054,0.624189902375285,18,0.1805269167374873,2.4573395089173044e-05,1.2964340637387786
16,0.7962086510017539,TrialState.COMPLETE,1252,8,0.04107885848359448,0.6010858551527875,0.8585790134782968,11,0.8072811919584423,8.879971008906009e-07,3.5270445236228225
17,0.8006310661442042,TrialState.COMPLETE,1705,10,0.005401539343410655,0.5029480926963705,0.5171088647750415,18,0.03195665989095054,6.190274218246103e-07,1.494177738221464
18,0.7819300392897853,TrialState.COMPLETE,968,8,0.1075649173727078,0.6236341910249563,0.996794968228846,15,0.7991326189321447,4.724150565250327e-05,1.1875243416073156
19,0.8293959240968789,TrialState.COMPLETE,907,9,0.11013649567130672,0.6016615296396597,0.6033547635727323,1,0.01856521980321315,7.805848060777877e-05,3.811939521744449
20,0.7993364119723231,TrialState.COMPLETE,911,8,0.038430339206531564,0.7513844423097451,0.8285480065185191,10,8.116364709651001e-05,0.0016890510039389438,6.754539343464247
21,0.797050001315323,TrialState.COMPLETE,1290,7,0.1242707501907983,0.6299937661676214,0.9754883359012836,15,0.5980689806397521,6.784611016367364e-06,1.3617269684435942
22,0.8169360878636507,TrialState.COMPLETE,1027,6,0.19331369205556911,0.5595525081751069,0.9287025301156348,14,1.0936015274327786,1.6294034195791588e-07,1.0044231440184799
23,0.7911714962360101,TrialState.COMPLETE,1639,9,0.095449570218258,0.6606777923637568,0.9060106412092768,18,7.450717520099747,1.7610770514073547e-05,3.106327277960891
24,0.8028574806361479,TrialState.COMPLETE,1619,9,0.08765826566207985,0.633501649213712,0.8856743220697397,17,8.836509539562732,0.0016426735536572282,3.083020607545074
25,0.8003082515243465,TrialState.COMPLETE,1354,9,0.04727768117195582,0.745681374525912,0.9004130966941578,18,2.052143582039672,1.8296473324373798e-05,2.3184449400297247
26,0.8010694525638852,TrialState.COMPLETE,1713,8,0.027711242841821828,0.5881647762715297,0.9549406228132344,15,0.015210382961994085,0.0013590278368771664,3.8294166690841593
27,0.7960069713952062,TrialState.COMPLETE,1527,8,0.0540364406772643,0.6685030224850406,0.8023655468419266,17,0.163700966535073,2.46367124575999e-05,0.711279336171702
28,0.7915343499249741,TrialState.COMPLETE,746,10,0.13731814428852857,0.7314239545303717,0.8913407976763041,9,0.2892863570456553,0.0004554455608343947,1.9862077349730094
29,0.7991838409261846,TrialState.COMPLETE,232,10,0.0887703931592309,0.722586041325922,0.8642341522193169,6,1.5570278724914205e-08,0.005570758936674882,6.209975891553705
30,0.8125778070408921,TrialState.COMPLETE,741,10,0.13742946839952797,0.8091414764048095,0.9571113669257674,9,9.588108079348027,0.00042862106925761284,3.109024496434913
31,0.8141939071663874,TrialState.COMPLETE,513,9,0.08534649071728426,0.5685694059494297,0.9004162356972065,6,0.3466256327942991,5.270213097350435e-05,1.9861156688473884
32,0.7890871357187285,TrialState.COMPLETE,772,8,0.14821639608509965,0.6585975311162816,0.8215193619752735,16,1.3210860189152072,7.494375497185272e-06,1.816995458347714
33,0.8025882273643545,TrialState.COMPLETE,796,8,0.1498354475826737,0.6579378420329292,0.8139909677415952,16,2.2167716767350707,4.681857473833872e-06,2.0689209893325917
34,0.7937486274347242,TrialState.COMPLETE,405,9,0.10498680365966409,0.7230698995684798,0.7741427226355984,3,0.0074488768302631205,1.8958434334059065e-06,2.866675505114272
35,0.7977266963531797,TrialState.COMPLETE,617,10,0.13967630425110777,0.7183346004641386,0.8846758049569886,13,0.0507486300943847,0.000499657208876823,4.273785409030958
36,0.8132177649055518,TrialState.COMPLETE,968,8,0.11290030835193268,0.7837323584240968,0.9408703343502725,16,1.7523421475602567,39.55557694311717,1.7929450830797993
37,0.8056642156374134,TrialState.COMPLETE,424,9,0.07706082950994284,0.6270798156989518,0.9172760179680247,11,2.3184525870174505e-06,0.00925282252079292,0.6732407479524628
38,0.7977573883523185,TrialState.COMPLETE,1894,10,0.0566209291538953,0.8469255176512376,0.8331581532690013,14,0.38539896856175004,8.316990911269874e-06,4.689321664310432
39,0.7983648081213286,TrialState.COMPLETE,813,5,0.10233822459089485,0.6630064894697616,0.7219020513893254,7,0.0028193475741210157,2.1976732640726575e-07,2.652798546105304
40,0.8081288143657109,TrialState.COMPLETE,638,9,0.1653350329343805,0.5357768044193577,0.8793499698912068,4,0.00019032624440024214,4.692416916087211e-05,3.398047196868456
41,0.804552586535339,TrialState.COMPLETE,394,9,0.0990368203750053,0.7412440549858582,0.7731884727937821,1,0.007862192248205205,2.188394896333921e-06,2.6833633114807207
42,0.8015474544562738,TrialState.COMPLETE,200,9,0.12718564483378814,0.7164832351278173,0.7746003539139835,2,3.1236552065750525,1.2153101270389707e-06,2.962803723137691
43,0.793532354761858,TrialState.COMPLETE,575,8,0.11849052586250847,0.6430947763609252,0.6836644163158268,4,0.0005743411795943972,1.3385589895807914e-05,1.861384130962331
44,0.7955300301317729,TrialState.COMPLETE,724,8,0.15408425547913215,0.6484843238168824,0.6888535360058734,6,1.938572998587972e-06,0.0002289243703760225,0.591356181000485
45,0.7974009046183038,TrialState.COMPLETE,573,8,0.06938954374310266,0.6781778658791735,0.6697479442771309,4,0.06405358676371699,1.5096043643408073e-05,1.9248892226079983
46,0.8044826839811949,TrialState.COMPLETE,1025,7,0.12435346872994871,0.6181933978232848,0.564738720380227,8,0.0004862828618816544,0.00011075199511034758,1.764582072750159
47,0.8037114860517467,TrialState.COMPLETE,832,10,0.17030324429868082,0.5832108303353727,0.7399489447234606,19,2.9687405245383827e-06,0.00047195718510629944,0.962355075828902
48,0.803494426499862,TrialState.COMPLETE,1996,6,0.0817558204964973,0.769973721439802,0.9679934649708625,12,1.082290664788399,5.6433080096734e-07,2.3727906569016968
49,0.8095599241314421,TrialState.COMPLETE,471,8,0.09520843837351446,0.6909469229682348,0.986801616024331,5,0.0012652465503984606,7.666395666577634e-06,4.143336965694502
