number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.0216812546339824,2026-07-17 22:03:40.407779,2026-07-17 22:03:40.421770,0 days 00:00:00.013991,0.0031778400068840666,0.7159180035733149,COMPLETE
1,1.020126251247674,2026-07-17 22:03:40.421814,2026-07-17 22:03:40.656272,0 days 00:00:00.234458,1.0015813955858965e-05,0.306285921179203,COMPLETE
2,1.0199958650985672,2026-07-17 22:03:40.656311,2026-07-17 22:03:40.888406,0 days 00:00:00.232095,7.595132328682394e-05,0.10049182287342184,COMPLETE
3,1.019791448910002,2026-07-17 22:03:40.888440,2026-07-17 22:03:41.116391,0 days 00:00:00.227951,0.0001310874961526334,0.3486495125021868,COMPLETE
4,1.0202946619335733,2026-07-17 22:03:41.116425,2026-07-17 22:03:41.141136,0 days 00:00:00.024711,0.00240217612024316,0.5380403993232898,COMPLETE
5,1.0216475403144638,2026-07-17 22:03:41.141167,2026-07-17 22:03:41.155721,0 days 00:00:00.014554,0.003274666571225386,0.6815151103888243,COMPLETE
6,1.0195530806504496,2026-07-17 22:03:41.155751,2026-07-17 22:03:41.255553,0 days 00:00:00.099802,0.00016854407828169375,0.8705550876631265,COMPLETE
7,1.0201099385397583,2026-07-17 22:03:41.255585,2026-07-17 22:03:41.485970,0 days 00:00:00.230385,1.4599082378876646e-05,0.6670581599748342,COMPLETE
8,1.0211466305212071,2026-07-17 22:03:41.486004,2026-07-17 22:03:41.501058,0 days 00:00:00.015054,0.0031902800949575984,0.5575160318768366,COMPLETE
9,1.0200005897977509,2026-07-17 22:03:41.501090,2026-07-17 22:03:41.733180,0 days 00:00:00.232090,6.955392321661599e-05,0.20413945930318123,COMPLETE
