number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8786669478961622,2026-07-17 22:03:49.814950,2026-07-17 22:03:50.546565,0 days 00:00:00.731615,15,6,6,298,COMPLETE
1,0.8808459292298849,2026-07-17 22:03:50.546648,2026-07-17 22:03:51.777762,0 days 00:00:01.231114,19,3,3,452,COMPLETE
2,0.8774375145758604,2026-07-17 22:03:51.777847,2026-07-17 22:03:51.967242,0 days 00:00:00.189395,10,5,2,73,COMPLETE
3,0.8835756729490732,2026-07-17 22:03:51.967297,2026-07-17 22:03:52.633393,0 days 00:00:00.666096,8,6,11,342,COMPLETE
4,0.8764901588217845,2026-07-17 22:03:52.633445,2026-07-17 22:03:52.808262,0 days 00:00:00.174817,13,5,5,60,COMPLETE
5,0.8788294441648528,2026-07-17 22:03:52.808313,2026-07-17 22:03:53.282891,0 days 00:00:00.474578,15,2,8,177,COMPLETE
6,0.8791327927476437,2026-07-17 22:03:53.282946,2026-07-17 22:03:54.094726,0 days 00:00:00.811780,17,3,6,295,COMPLETE
7,0.8809952401306187,2026-07-17 22:03:54.095130,2026-07-17 22:03:54.654510,0 days 00:00:00.559380,19,7,15,224,COMPLETE
8,0.8848030853146176,2026-07-17 22:03:54.654577,2026-07-17 22:03:55.930494,0 days 00:00:01.275917,18,1,7,457,COMPLETE
9,0.8738001420730742,2026-07-17 22:03:55.930549,2026-07-17 22:03:56.782488,0 days 00:00:00.851939,13,3,7,344,COMPLETE
