number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,1.019451379543245,2026-07-17 22:03:30.827161,2026-07-17 22:03:30.829792,0 days 00:00:00.002631,3.1778400068840686,COMPLETE
1,1.0258745380382015,2026-07-17 22:03:30.829846,2026-07-17 22:03:30.831388,0 days 00:00:00.001542,209.8683560764661,COMPLETE
2,1.020148091002251,2026-07-17 22:03:30.831419,2026-07-17 22:03:30.833415,0 days 00:00:00.001996,0.01001581395585897,COMPLETE
3,1.0199108228244076,2026-07-17 22:03:30.833445,2026-07-17 22:03:30.834969,0 days 00:00:00.001524,0.6516215458215692,COMPLETE
4,1.0201197550684509,2026-07-17 22:03:30.834999,2026-07-17 22:03:30.836514,0 days 00:00:00.001515,0.07595132328682395,COMPLETE
5,1.0201372222809442,2026-07-17 22:03:30.836543,2026-07-17 22:03:30.838062,0 days 00:00:00.001519,0.0358122467870023,COMPLETE
6,1.0200976503150347,2026-07-17 22:03:30.838092,2026-07-17 22:03:30.839598,0 days 00:00:00.001506,0.13108749615263338,COMPLETE
7,1.0197617236651857,2026-07-17 22:03:30.839627,2026-07-17 22:03:30.841145,0 days 00:00:00.001518,1.184034514613516,COMPLETE
8,1.019535641620667,2026-07-17 22:03:30.841173,2026-07-17 22:03:30.842658,0 days 00:00:00.001485,2.4021761202431615,COMPLETE
9,1.0199616268252645,2026-07-17 22:03:30.842695,2026-07-17 22:03:30.844193,0 days 00:00:00.001498,17.096232052870352,COMPLETE
