number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.8858822997407281,2026-07-17 22:03:54.091365,2026-07-17 22:03:55.517355,0 days 00:00:01.425990,4.430375245218266,0.04234871839273793,0.07257005721594278,COMPLETE
1,0.942025531139184,2026-07-17 22:03:55.517419,2026-07-17 22:03:56.762130,0 days 00:00:01.244711,4.31171005868549,0.05536672523555753,0.004950159553733192,COMPLETE
2,0.9159277658686132,2026-07-17 22:03:56.762196,2026-07-17 22:03:57.391846,0 days 00:00:00.629650,2.0547625125911337,0.3989301725992402,0.36905577292137587,COMPLETE
3,0.8954171518054332,2026-07-17 22:03:57.391906,2026-07-17 22:03:58.745898,0 days 00:00:01.353992,1.4135935551752299,0.02675910131396018,0.1468588598920085,COMPLETE
4,0.9494117916507472,2026-07-17 22:03:58.745963,2026-07-17 22:04:00.313121,0 days 00:00:01.567158,5.059803874660431,0.0015549777899775822,0.503948959867121,COMPLETE
5,1.123191434639509,2026-07-17 22:04:00.313192,2026-07-17 22:04:01.314584,0 days 00:00:01.001392,0.18255254802399,0.1766916344643917,0.00012046852412030328,COMPLETE
6,0.9458738292131934,2026-07-17 22:04:01.314651,2026-07-17 22:04:02.004904,0 days 00:00:00.690253,21.600820741402043,0.43778567971542487,0.3020289640158664,COMPLETE
7,0.9050007767567193,2026-07-17 22:04:02.004958,2026-07-17 22:04:03.239429,0 days 00:00:01.234471,24.973286104060584,0.12782765866475082,0.007013219779945793,COMPLETE
8,0.9392650352967902,2026-07-17 22:04:03.239494,2026-07-17 22:04:04.504556,0 days 00:00:01.265062,0.2263722969739548,0.002437284478412157,0.036281404040243805,COMPLETE
9,0.8992385159442864,2026-07-17 22:04:04.504620,2026-07-17 22:04:06.216029,0 days 00:00:01.711409,68.23493012435793,0.013157098861922905,0.012229065947034361,COMPLETE
