number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9241348852469635,2026-07-17 22:04:21.167378,2026-07-17 22:04:22.088471,0 days 00:00:00.921093,0.8488644122986354,0.18428565417571438,7,3,971,0.7205211419490812,1.1056350207510567e-06,0.8574079968371824,COMPLETE
1,0.89450093834448,2026-07-17 22:04:22.088535,2026-07-17 22:04:22.393349,0 days 00:00:00.304814,0.9314966177996111,0.10327627359366248,6,10,327,9.617306308605307e-06,0.015182301355022222,0.5988425373001265,COMPLETE
2,0.9294043451239583,2026-07-17 22:04:22.393415,2026-07-17 22:04:22.532545,0 days 00:00:00.139130,0.7180733234398988,0.011414412413840403,6,10,108,0.05221988554554216,1.158844303003922,0.978326483857118,COMPLETE
3,0.88402209920677,2026-07-17 22:04:22.532592,2026-07-17 22:04:22.727925,0 days 00:00:00.195333,0.8666900837552849,0.06047617292593411,3,5,256,0.0014704590700531503,3.655957072178593,0.5839860918592019,COMPLETE
4,0.8840556783242868,2026-07-17 22:04:22.727969,2026-07-17 22:04:22.991531,0 days 00:00:00.263562,0.7622020400342366,0.0160639890253987,3,7,570,0.00025643226095680994,0.035370057280192095,0.7726013258516065,COMPLETE
5,0.9133093464540564,2026-07-17 22:04:22.991579,2026-07-17 22:04:23.441582,0 days 00:00:00.450003,0.6877878842937712,0.09963613697206214,7,6,457,0.0131826426484217,5.967020647596202e-05,0.5894869550205655,COMPLETE
6,0.9463029918884375,2026-07-17 22:04:23.441653,2026-07-17 22:04:24.055828,0 days 00:00:00.614175,0.8187785365093683,0.14624259277743543,7,2,599,0.0009699842615774048,1.892857115572625e-05,0.6814267942165633,COMPLETE
7,0.9286439999778638,2026-07-17 22:04:24.055891,2026-07-17 22:04:24.744165,0 days 00:00:00.688274,0.9523337943716834,0.12025402538618708,6,5,927,9.706150444232985e-05,0.010115128211229155,0.7083881523391813,COMPLETE
8,0.9296719111876914,2026-07-17 22:04:24.744226,2026-07-17 22:04:25.980258,0 days 00:00:01.236032,0.7986333036595874,0.05956732647664627,9,3,861,0.02486340999727873,1.830454956108552,0.5423308055102052,COMPLETE
9,0.8688698403717804,2026-07-17 22:04:25.980325,2026-07-17 22:04:26.533947,0 days 00:00:00.553622,0.5645933918352188,0.012152207475605059,7,7,563,0.00015202047397894664,0.2367588600814848,0.7700373648214032,COMPLETE
