number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.028783581566006,2026-07-17 22:02:47.561034,2026-07-17 22:02:47.573994,0 days 00:00:00.012960,0.020173786271782252,0.7039848661657427,COMPLETE
1,1.0195121667341678,2026-07-17 22:02:47.574034,2026-07-17 22:02:47.861241,0 days 00:00:00.287207,0.0005564529299329963,0.5106110530937098,COMPLETE
2,1.1400575098598156,2026-07-17 22:02:47.861293,2026-07-17 22:02:47.863213,0 days 00:00:00.001920,2.2786715292020596,0.8883672271547693,COMPLETE
3,1.0191524933197236,2026-07-17 22:02:47.863254,2026-07-17 22:02:48.221671,0 days 00:00:00.358417,5.669070564161233e-05,0.21309802057542304,COMPLETE
4,1.019183555043552,2026-07-17 22:02:48.221718,2026-07-17 22:02:48.528851,0 days 00:00:00.307133,2.036119296609856e-05,0.44199364677762376,COMPLETE
5,1.0191907505495066,2026-07-17 22:02:48.528888,2026-07-17 22:02:48.834666,0 days 00:00:00.305778,1.5109749531677805e-05,0.45769655990681685,COMPLETE
6,1.0387021044228604,2026-07-17 22:02:48.834708,2026-07-17 22:02:48.838085,0 days 00:00:00.003377,0.07849902917177078,0.28291753699501576,COMPLETE
7,1.056199058136858,2026-07-17 22:02:48.838117,2026-07-17 22:02:48.841070,0 days 00:00:00.002953,0.11416406177374214,0.5890455610680239,COMPLETE
8,1.0191924230879654,2026-07-17 22:02:48.841102,2026-07-17 22:02:49.148424,0 days 00:00:00.307322,1.3928081335714793e-05,0.5576770062310643,COMPLETE
9,1.0193172097210508,2026-07-17 22:02:49.148461,2026-07-17 22:02:49.428242,0 days 00:00:00.279781,0.00035934754439295166,0.41679917306986825,COMPLETE
