number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8656210601033352,2026-07-17 22:02:49.415320,2026-07-17 22:02:51.218882,0 days 00:00:01.803562,12,8,15,486,COMPLETE
1,0.9076483852902361,2026-07-17 22:02:51.218958,2026-07-17 22:02:52.090301,0 days 00:00:00.871343,6,1,15,364,COMPLETE
2,0.8681627815551766,2026-07-17 22:02:52.090366,2026-07-17 22:02:52.683579,0 days 00:00:00.593213,10,2,12,164,COMPLETE
3,0.8539530528770385,2026-07-17 22:02:52.683643,2026-07-17 22:02:54.612572,0 days 00:00:01.928929,20,6,4,439,COMPLETE
4,0.8856364857397349,2026-07-17 22:02:54.612689,2026-07-17 22:02:54.817423,0 days 00:00:00.204734,9,10,2,54,COMPLETE
5,0.8631830008647813,2026-07-17 22:02:54.817490,2026-07-17 22:02:55.854251,0 days 00:00:01.036761,20,9,13,246,COMPLETE
6,0.9496289915609661,2026-07-17 22:02:55.854320,2026-07-17 22:02:56.117549,0 days 00:00:00.263229,4,2,10,128,COMPLETE
7,0.8778272502231255,2026-07-17 22:02:56.117613,2026-07-17 22:02:57.362969,0 days 00:00:01.245356,10,10,9,380,COMPLETE
8,0.9517065409520382,2026-07-17 22:02:57.363106,2026-07-17 22:02:57.884511,0 days 00:00:00.521405,4,6,4,285,COMPLETE
9,0.8577541093056363,2026-07-17 22:02:57.884575,2026-07-17 22:02:58.998574,0 days 00:00:01.113999,14,7,7,286,COMPLETE
