number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,1.0596607275606733,2026-07-17 22:02:36.477826,2026-07-17 22:02:36.481524,0 days 00:00:00.003698,6341.310723409245,COMPLETE
1,1.0212650420926281,2026-07-17 22:02:36.481607,2026-07-17 22:02:36.483334,0 days 00:00:00.001727,19.204079494910193,COMPLETE
2,1.061190547590231,2026-07-17 22:02:36.483364,2026-07-17 22:02:36.485019,0 days 00:00:00.001655,6856.558090115635,COMPLETE
3,1.0249369009419922,2026-07-17 22:02:36.485047,2026-07-17 22:02:36.486668,0 days 00:00:00.001621,194.48941142879616,COMPLETE
4,1.0243722825820123,2026-07-17 22:02:36.486705,2026-07-17 22:02:36.488338,0 days 00:00:00.001633,153.5935391236006,COMPLETE
5,1.0192084734550493,2026-07-17 22:02:36.488367,2026-07-17 22:02:36.490009,0 days 00:00:00.001642,0.1979415530792323,COMPLETE
6,1.0621803293397591,2026-07-17 22:02:36.490038,2026-07-17 22:02:36.491698,0 days 00:00:00.001660,7205.211419490805,COMPLETE
7,1.0193348691724895,2026-07-17 22:02:36.491727,2026-07-17 22:02:36.493400,0 days 00:00:00.001673,0.010898871475877325,COMPLETE
8,1.019171676293154,2026-07-17 22:02:36.493429,2026-07-17 22:02:36.495097,0 days 00:00:00.001668,0.32952940508100004,COMPLETE
9,1.0196961649518457,2026-07-17 22:02:36.495125,2026-07-17 22:02:36.496793,0 days 00:00:00.001668,4.062086754282275,COMPLETE
