number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.8738601623165794,2026-07-17 22:03:01.124944,2026-07-17 22:03:02.818471,0 days 00:00:01.693527,1.7826497151386944,0.0010007110473405194,0.07608481233714794,COMPLETE
1,1.0692449196167029,2026-07-17 22:03:02.818532,2026-07-17 22:03:04.252288,0 days 00:00:01.433756,0.8072307884499755,0.0017750847687815876,0.00038638794051587327,COMPLETE
2,1.0325727106892557,2026-07-17 22:03:04.252347,2026-07-17 22:03:05.677448,0 days 00:00:01.425101,0.362060072574474,0.01177235938314069,0.002411253706147574,COMPLETE
3,0.9139137327903851,2026-07-17 22:03:05.677506,2026-07-17 22:03:07.076152,0 days 00:00:01.398646,4.134759007834719,0.07069470359901726,0.004750923721030617,COMPLETE
4,0.9561863222224231,2026-07-17 22:03:07.076209,2026-07-17 22:03:08.606850,0 days 00:00:01.530641,0.4105412016858891,0.0011855456805196045,0.3254391115088485,COMPLETE
5,0.896213693354767,2026-07-17 22:03:08.606907,2026-07-17 22:03:10.187603,0 days 00:00:01.580696,10.266030035164244,0.03220231461321968,0.004668949853708897,COMPLETE
6,1.0775887920130234,2026-07-17 22:03:10.187661,2026-07-17 22:03:11.327623,0 days 00:00:01.139962,0.2637307779092461,0.1449391039224441,0.0006200203677164723,COMPLETE
7,0.9065966924680519,2026-07-17 22:03:11.327687,2026-07-17 22:03:13.051716,0 days 00:00:01.724029,80.31279258119082,0.07388528842571505,0.001793480721178979,COMPLETE
8,1.0539687937963578,2026-07-17 22:03:13.051775,2026-07-17 22:03:14.875405,0 days 00:00:01.823630,42.57625486011379,0.001696413717288784,0.3788145521097117,COMPLETE
9,1.0962480291305932,2026-07-17 22:03:14.875471,2026-07-17 22:03:15.935370,0 days 00:00:01.059899,0.13096774493777608,0.2344662169622342,0.0004778831065857704,COMPLETE
