number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8395526389953822,2026-07-17 22:03:13.075303,2026-07-17 22:03:14.037035,0 days 00:00:00.961732,0.5733779454085566,0.010003426950381346,8,1,475,1.3108749615263326e-05,0.00026237659355350326,0.6511662863159199,COMPLETE
1,0.8414254103421053,2026-07-17 22:03:14.037100,2026-07-17 22:03:14.588461,0 days 00:00:00.551361,0.6022261248657588,0.035106265846620216,7,9,457,1.4599082378876657e-06,0.04934834261073348,0.8426097501983798,COMPLETE
2,0.8359380541475073,2026-07-17 22:03:14.588525,2026-07-17 22:03:15.059123,0 days 00:00:00.470598,0.9003722843377684,0.015228166552729147,7,10,475,7.59530238908504e-05,0.07018726341229387,0.5990507445424393,COMPLETE
3,0.8436501525497471,2026-07-17 22:03:15.059185,2026-07-17 22:03:16.394429,0 days 00:00:01.335244,0.5849152097822845,0.012901644471753394,10,9,889,3.891177150213839e-06,0.0008866523613656275,0.5195273916164411,COMPLETE
4,0.9474232528294134,2026-07-17 22:03:16.394496,2026-07-17 22:03:17.385843,0 days 00:00:00.991347,0.8432504638407918,0.07946079001133136,7,9,963,1.2874479025981936e-06,0.17824206484830735,0.6577578155030315,COMPLETE
5,0.8847931533281643,2026-07-17 22:03:17.385913,2026-07-17 22:03:18.787068,0 days 00:00:01.401155,0.551613003288821,0.023166799806880304,8,5,990,0.28286096492961027,0.00011357926099553671,0.8946396642257443,COMPLETE
6,0.8840881987670158,2026-07-17 22:03:18.787132,2026-07-17 22:03:19.173739,0 days 00:00:00.386607,0.6058140580000295,0.010597343046697785,4,3,359,0.0008901003169508541,2.3634031814999105e-06,0.8394177664699455,COMPLETE
7,0.8307850936602675,2026-07-17 22:03:19.173805,2026-07-17 22:03:19.748568,0 days 00:00:00.574763,0.5511672144139129,0.05843918897511942,4,5,617,0.014669014787121605,0.0007929665846703914,0.8498791800104656,COMPLETE
8,0.8375359910041158,2026-07-17 22:03:19.748634,2026-07-17 22:03:20.007741,0 days 00:00:00.259107,0.9722973779954067,0.0730494153462687,7,6,145,0.2632761337952031,9.169020189687926e-06,0.7574445560291543,COMPLETE
9,0.8507406973293105,2026-07-17 22:03:20.007812,2026-07-17 22:03:20.431108,0 days 00:00:00.423296,0.963754290198017,0.032914669109690764,9,4,225,0.031979569921044386,0.12077746152333053,0.5826770985584664,COMPLETE
