number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.895375873257606,TrialState.COMPLETE,1202,9,0.13634316725530332,0.6121404013818518,0.8430293447877908,5,4.4681695699418173e-05,0.8102597567918772,9.1793593739622
1,0.9020705063199552,TrialState.COMPLETE,834,3,0.09477188963632167,0.6681241959674775,0.6599758050618335,7,1.7004428780619804e-05,0.1482644349569486,7.254981627781055
2,0.9119193865958746,TrialState.COMPLETE,1553,2,0.18204000990383845,0.7673824894352826,0.6576222819375291,12,4.428509995734916e-07,0.20247585618846137,9.853299482261193
3,0.8711555921460254,TrialState.COMPLETE,1402,8,0.00781533327985451,0.8856829430747442,0.6368514759905627,18,0.10283172351951408,1.7738540257970257e-08,0.4558334141014053
4,0.8669087866105931,TrialState.COMPLETE,534,4,0.07443021870800272,0.8270497180806708,0.8190292725845758,7,0.042351468594117724,1.595217345364051e-06,0.6846364759650825
5,0.9095860271530345,TrialState.COMPLETE,1298,5,0.010027556576178093,0.7362565911841137,0.6710283645107911,20,2.1755867353525582e-06,1.5694335446654086,9.697277438667603
6,0.8903223084288673,TrialState.COMPLETE,1871,9,0.005265977374564762,0.8506574972536154,0.9453768485529362,9,3.307862225416477e-08,0.0004917661024601119,7.3835236736565255
7,0.8919155205284881,TrialState.COMPLETE,395,5,0.19500411302203874,0.913227453941861,0.5358325694898098,16,1.3579221440719209e-05,0.037048251113931445,3.324164693596219
8,0.8749876502692607,TrialState.COMPLETE,1307,7,0.04550221590396909,0.9281349192768549,0.9201380233615186,1,1.2334945472033827e-07,7.5504901366907975e-06,5.120281530031462
9,0.8889213114012166,TrialState.COMPLETE,592,2,0.1947399301111916,0.622255594885703,0.6752573450814476,10,3.6745940710130546e-07,0.00023688247959139177,0.1615543617609172
10,0.8842137368248659,TrialState.COMPLETE,206,5,0.023662629611934254,0.5015013312807393,0.8084409588987986,1,2.325250323580292,1.1405514394707557e-08,2.7869197437346824
11,0.865466631920935,TrialState.COMPLETE,882,7,0.022099620026166913,0.9837545964376893,0.7821245195116097,15,0.09855518412695335,1.026525913978946e-08,0.3679369332238668
12,0.8721728155139368,TrialState.COMPLETE,846,7,0.031504833255962476,0.9940846599410379,0.7766506236012357,14,0.005148557265498008,9.009926423700699e-07,1.826856354277705
13,0.8729506531950194,TrialState.COMPLETE,815,4,0.0645250632533003,0.9936788358604977,0.8695850471675041,5,0.003157644934693268,4.041979405533381e-07,1.500286151412758
14,0.8903796599238096,TrialState.COMPLETE,588,10,0.01858535544995026,0.8103281689647132,0.7496063631794658,14,4.064533455745525,2.5094878647681614e-05,4.047213226191602
15,0.864852083925166,TrialState.COMPLETE,966,6,0.013564236086878106,0.8240624694952028,0.9981421136638016,4,0.05386277902838734,1.8839544776007506e-07,1.416618352312979
16,0.8663297910590347,TrialState.COMPLETE,1015,7,0.01626601488128388,0.9447557583453134,0.9898255769536657,4,0.00045428935483601655,8.941677019033436e-08,2.108452239263098
17,0.8945401620384743,TrialState.COMPLETE,1031,6,0.012537446177576766,0.7342993336547098,0.5173733501057103,20,0.23325740147593338,9.370319638661305e-08,4.777898469255009
18,0.8801001033128312,TrialState.COMPLETE,1719,6,0.03395515238438169,0.8566392715277289,0.9950862783022765,11,0.5663347722372731,56.91444717024896,1.366175291701244
19,0.8792856637792232,TrialState.COMPLETE,999,8,0.006211757364676548,0.7971187790902974,0.7348496223364556,16,0.012177483868158274,4.566712605175762e-05,2.7424154229114204
20,0.8674707299190868,TrialState.COMPLETE,716,6,0.013162335760470717,0.938728170460434,0.5911101100292198,8,0.0004839914916052087,0.0014992185578924459,1.1468928893751102
21,0.8676717148172954,TrialState.COMPLETE,1096,7,0.018053005090986333,0.9614428072459018,0.979735357386422,4,0.0004085832333106714,8.605648937279467e-08,2.014754507835024
22,0.8657484392503345,TrialState.COMPLETE,955,8,0.018941379208215505,0.8852477742730582,0.8987150656474645,3,0.0003271335285856077,1.0625423255015378e-07,2.243192670824602
23,0.8677080502704251,TrialState.COMPLETE,853,8,0.027196184770942645,0.8815102540035287,0.8959488989156238,3,0.01827476389548852,2.6703122942759366e-06,3.228179074778267
24,0.8649779907095606,TrialState.COMPLETE,961,9,0.0434654814723937,0.900023043039385,0.9406787309191041,2,0.8404523793103792,1.0083925585573536e-08,0.000779758135722286
25,0.8724345794843271,TrialState.COMPLETE,1150,10,0.04951785869880532,0.9766688014484836,0.947835710998863,1,0.6897354209008768,1.1139487310572936e-08,0.1223192984028859
26,0.8693202461289644,TrialState.COMPLETE,695,9,0.04012720075711696,0.9083029755837209,0.9490713273899909,13,0.09385571750242376,3.5266780727737384e-07,0.7416224269955638
27,0.8804690065060399,TrialState.COMPLETE,405,6,0.009007356320664706,0.7652745694505773,0.8620785802037887,6,6.086156463247158,3.041781834514042e-08,0.022742196534285775
28,0.8655000603582219,TrialState.COMPLETE,1428,9,0.024156574390136992,0.8526897295938444,0.7185373931044003,2,0.8373095059076407,4.304769042707003e-07,1.0882413938251196
29,0.8836166602179925,TrialState.COMPLETE,1290,9,0.12494097380519678,0.5260841342780025,0.8119600878126869,5,9.873389749614471,7.858245863978866e-06,1.0760873584565698
30,0.8809211185601103,TrialState.COMPLETE,1167,10,0.05988105694319195,0.684951379547561,0.8447543580620842,16,0.003365002295061603,4.7004107063874145e-08,3.64992589687681
31,0.8651242456774362,TrialState.COMPLETE,1453,9,0.02115909233899456,0.8468849875776101,0.7029192799638997,2,0.9437444248086044,3.21380363004832e-07,1.1115259835227491
32,0.8704319139348496,TrialState.COMPLETE,1547,8,0.012963969266467645,0.837749158712826,0.6161992419837025,2,0.21144704221460012,2.126715532098498e-07,2.5465510017764026
33,0.8679191532151564,TrialState.COMPLETE,1693,9,0.022081343600646758,0.7970534035970083,0.7060367116290515,3,0.03471808420402695,2.6929744022153496e-06,1.70405325910929
34,0.8635051304231304,TrialState.COMPLETE,924,7,0.03314458738754856,0.8892426585165976,0.9608126576712785,6,1.1055297035661655,1.1650010991280575e-08,0.7782039337434423
35,0.8701111356270658,TrialState.COMPLETE,737,10,0.08970378659380995,0.8789327611085671,0.970389141793984,7,1.5920079876556519,3.306350734316546e-08,0.8073056592064642
36,0.8716856510903956,TrialState.COMPLETE,1430,4,0.03451690753263699,0.7553443596168248,0.9150622266476437,5,0.2083583996813248,8.768740764792478e-07,1.548070317813457
37,0.8946342900537512,TrialState.COMPLETE,1965,8,0.02847210567559098,0.8136418928812453,0.9312131294436792,6,1.7042355365425783,2.176243240970904e-07,7.9672169148042205
38,0.8689987045770858,TrialState.COMPLETE,1213,5,0.040959258986346336,0.713943713830935,0.8814829321065345,8,0.3526141069232602,5.510290522744822e-06,0.6063602725763334
39,0.9021473920260711,TrialState.COMPLETE,934,3,0.014816744601031332,0.9124367821200062,0.5608878380281817,4,0.06452442197836682,3.3774658587039923e-05,5.704185457945334
40,0.8652983413658256,TrialState.COMPLETE,1563,9,0.009995368001357335,0.7787986378329819,0.9604250579379698,2,0.015443335457068072,3.444628571237813e-08,0.6383943151592313
41,0.8655769064532097,TrialState.COMPLETE,1542,9,0.010465368769265675,0.773271899170519,0.959204689312078,2,0.014868293680502551,3.345737345061957e-08,0.6458363616940747
42,0.8650039231316777,TrialState.COMPLETE,1709,9,0.007412036808482608,0.8643199759642379,0.9981811143703916,3,1.0932995693021839,3.774683831514506e-08,0.04728078417651238
43,0.8633691476593873,TrialState.COMPLETE,1782,8,0.006976446601394626,0.8630384275147072,0.9977596913381601,4,2.7819032357082287,9.468330506348729e-07,0.02360163025353924
44,0.8678390150953305,TrialState.COMPLETE,1729,8,0.007658114937710941,0.8645492345084288,0.9962528806783736,6,4.144041958419629,1.0333183690765137e-06,0.12036139864924841
45,0.8624544505428596,TrialState.COMPLETE,1892,7,0.0058944888528336455,0.9024798776110522,0.9285476771633119,4,2.5237090387750936,1.407494462265556e-08,0.07399888210825434
46,0.8666318473408311,TrialState.COMPLETE,1977,7,0.005075627276425041,0.9003599674996645,0.9289470081190874,7,3.0801880128672123,1.180367176737752e-08,0.524954020547474
47,0.8691245893711775,TrialState.COMPLETE,1874,6,0.006460049496430561,0.8286032271266213,0.901636049154493,9,0.3139181470972896,1.4772245281311812e-07,1.5877753708881723
48,0.8916448873642713,TrialState.COMPLETE,1813,7,0.005895485681791157,0.925781247432298,0.9316235970196213,4,9.933285767130403,7.483075450626217e-07,2.364517532584699
49,0.8597079575868722,TrialState.COMPLETE,1891,7,0.05316787880103026,0.9607738937485166,0.9714100426068484,6,0.03884002051509039,1.0066318286820718e-08,0.973452026774866
