number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.86994733436298,TrialState.COMPLETE,1490,7,0.025323170012038643,0.5229584904874085,0.8551268960706024,2,2.3062196504937783e-05,7.305811365081116e-07,5.444551286779168
1,0.8322354734815542,TrialState.COMPLETE,1413,8,0.02620185573908545,0.6418105823872311,0.8402225271081083,17,2.6035275581355735e-06,0.008824535484862527,0.5281971711065536
2,0.8592667566383255,TrialState.COMPLETE,1569,7,0.0054852644264712595,0.7971895485525181,0.9633818689687349,14,0.44629054536010765,3.895340743021186e-07,4.001466222139714
3,0.8947958807575275,TrialState.COMPLETE,1080,7,0.006310457895077254,0.5877135877915542,0.6400905957542395,12,3.3543725590785205e-06,0.009323221526668535,8.910204737665103
4,0.8571183982770647,TrialState.COMPLETE,1408,10,0.017494641621545768,0.9473405572060107,0.9611461935353521,16,0.0007641360083760702,0.015794466759301254,2.886106477599223
5,0.8414629568977281,TrialState.COMPLETE,1203,7,0.17146884179159863,0.6306240654958621,0.8143366930531641,18,9.010126240712416e-05,2.1909610603635615e-08,0.9364543802633685
6,0.8698823896408867,TrialState.COMPLETE,282,9,0.007746928995178552,0.9869821171648714,0.5510095480036095,15,4.667451341310723e-07,4.8845233654544654e-08,2.4875277192150924
7,0.853358520161012,TrialState.COMPLETE,1909,8,0.0739883369294191,0.6343054230386433,0.6610680259753374,17,1.8663202714007476e-08,9.107986434548727e-08,3.876775617281628
8,0.883474035766268,TrialState.COMPLETE,1001,9,0.005702158012583054,0.9402214984576374,0.5670408965925017,3,7.164480368624171e-06,5.445145188478438e-05,8.586233333306565
9,0.916068328492063,TrialState.COMPLETE,1906,2,0.005276871027692743,0.7126422114358162,0.852965059764313,20,1.401483230190213e-05,25.432009078767198,2.771506048614677
10,0.9060638600266921,TrialState.COMPLETE,566,4,0.04395773554395745,0.8142792519117763,0.7415098728008954,9,8.290422389845816,3.9933017305383154,6.7026131083683795
11,0.8478613512028527,TrialState.COMPLETE,1044,5,0.18808731447970733,0.6780698049694105,0.8117622758379845,20,0.001892417689698648,0.0007554157772317744,0.01878959484001541
12,0.8422411164126785,TrialState.COMPLETE,1280,5,0.18274596158542322,0.511875709131278,0.7672984692787177,10,0.000762442677081511,2.5458534574516932e-05,0.031164889867634216
13,0.8343817772768289,TrialState.COMPLETE,761,6,0.09577820537955613,0.7335879494943515,0.9030052074717176,18,9.256512310542253e-08,0.45765415699015016,1.2674530088118443
14,0.8368718385319961,TrialState.COMPLETE,762,5,0.08357166085296928,0.7704793424151924,0.9108015470359435,13,1.7111151139061494e-08,0.35964286065001067,1.5138328541332444
15,0.8503452143280127,TrialState.COMPLETE,725,3,0.01733699575392948,0.864047371047607,0.9912067930520735,6,3.348812278124046e-07,0.2264991086294696,1.447487359623254
16,0.8351451399416281,TrialState.COMPLETE,332,6,0.08737945166278321,0.7364410929025851,0.9062383205047251,18,2.997605607090043e-07,0.05371040957018199,1.4826157531094926
17,0.862448853497608,TrialState.COMPLETE,1722,10,0.04242292388484509,0.5687705371491071,0.6995931456632279,10,0.029262211806328004,0.0012037467939267472,4.318463683430403
18,0.8411668788282528,TrialState.COMPLETE,861,8,0.01243537434586305,0.6777280351889928,0.9024256096599764,20,1.0660865847320838e-07,2.9403383574403983,2.2424933591729665
19,0.8344710381987399,TrialState.COMPLETE,488,6,0.036246492349677806,0.840243182026089,0.7765928221937085,16,1.2974637142034187e-06,76.72659873893012,0.7340619548726202
20,0.8720947489703996,TrialState.COMPLETE,1739,8,0.10698700101526264,0.7492998138289482,0.8585255254335885,12,7.009902844349823e-05,0.0005593766538386266,5.092824434039171
