number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9357556359417222,TrialState.COMPLETE,1488,10,0.006286603363569892,0.8285670518262611,0.7211055423621487,2,0.5296725992100548,3.4567701389357203e-07,7.220131011897124
1,0.9592043085420612,TrialState.COMPLETE,1978,9,0.017458168080576823,0.5624935715519177,0.620283739322693,14,0.3768976060284204,0.3102282312514966,9.660355952971356
2,0.9555657947107339,TrialState.COMPLETE,1813,2,0.022181449756308876,0.9868543313279394,0.6057857748331122,10,1.8735693729744988e-08,1.0369005305585342e-08,1.7988841781871956
3,0.9236405127167762,TrialState.COMPLETE,793,8,0.007874427556137228,0.9969768398975019,0.677459040134953,11,1.1478818204773392e-06,0.0033413406449669097,4.459650621600662
4,0.8964483148611583,TrialState.COMPLETE,345,10,0.012600257251526747,0.8650168081397633,0.5295632669691297,13,2.918758957825842e-06,4.130852019852332e-06,0.9961769127924003
5,0.9224741708529826,TrialState.COMPLETE,296,7,0.183310198920609,0.6314732794400408,0.678986782479243,4,5.3014705505220965e-08,1.5311756207792846,3.706161933240332
6,0.9554430173496842,TrialState.COMPLETE,707,6,0.0155627001159466,0.7371483171798597,0.8876942870749482,15,0.009205064660804214,41.73590083498342,6.536398297787089
7,0.973628384023082,TrialState.COMPLETE,1909,2,0.04664056171859265,0.8659432486934836,0.7436289282712216,3,0.0001176761752555456,3.6827025049941935,5.310639775846965
8,0.9501890432568417,TrialState.COMPLETE,1633,8,0.020551167538809704,0.9272903766129477,0.8346831541994184,14,1.6184084255083578e-07,6.781906328869917e-05,9.863631762169518
9,0.9365535693759839,TrialState.COMPLETE,1001,6,0.03959612756356383,0.5782226710795209,0.8308098791141663,14,0.33148771458160986,32.49655608424597,4.652875591528108
10,0.8991206171422862,TrialState.COMPLETE,216,4,0.1898304248324677,0.7261931813960733,0.5371081176248578,20,2.1833747943667635e-05,0.00011414713929450471,0.9419981079096719
11,0.901893202458853,TrialState.COMPLETE,298,4,0.1635944658200375,0.7293952638354034,0.5047725767666833,20,2.1485432501859615e-05,5.187842273200215e-05,0.006414918277851789
12,0.9026045697659091,TrialState.COMPLETE,537,4,0.08782328382779628,0.7323397301057736,0.5367564855189907,20,0.00010207194169588554,1.856297243488392e-05,0.02094262785928347
13,0.9166810431454712,TrialState.COMPLETE,222,4,0.07976070631218089,0.8070612955998578,0.5709210265872869,7,6.453670711330478e-06,0.007570189528159624,2.1685144274034944
14,0.8990641587984681,TrialState.COMPLETE,543,10,0.010684951790063051,0.6610313963991779,0.9904220689678382,17,0.0017234325883759961,1.168449770053077e-06,1.6126689181100158
15,0.90518895221942,TrialState.COMPLETE,1108,10,0.010732427575926223,0.5016824319539894,0.9779144977590739,18,0.0026368445125753365,9.488748788712408e-07,2.773467548811741
16,0.8952582756009108,TrialState.COMPLETE,554,10,0.010091000463009096,0.6546737522668052,0.9865789586162341,17,0.0011951041533869314,4.5239344238889647e-07,1.3178793554768187
17,0.9388169837137732,TrialState.COMPLETE,544,9,0.00554614028988376,0.9036555844757,0.888506211573934,11,8.608658171190262,1.5682993423158076e-08,3.3138302899288226
18,0.894514936111776,TrialState.COMPLETE,1095,9,0.03429116604525351,0.7869554993377529,0.7951945965174935,9,1.7629168025207462e-06,2.1636733334291873e-07,1.2477922505629642
19,0.9006197679444176,TrialState.COMPLETE,1225,8,0.05257648477714716,0.6704694918064628,0.9227947193656514,6,0.0006339757963808647,1.374379348471978e-07,2.7577182764681982
20,0.8881752466317316,TrialState.COMPLETE,1359,9,0.03184273226410461,0.7957257226032756,0.8107137738026328,8,2.9575544129848814e-07,0.0012250356408331751,0.8591087417244251
21,0.8954872291395937,TrialState.COMPLETE,1410,9,0.029344223179105865,0.7644409054947583,0.7901694372281272,8,2.6139751366686526e-07,0.0024803215816276273,0.942607500134039
22,0.8926187725511164,TrialState.COMPLETE,1281,9,0.028666854059085343,0.8017240804346235,0.7918873408266135,9,5.392758339163294e-07,0.045527707140463454,0.9675324325981831
23,0.8900460176517114,TrialState.COMPLETE,1364,7,0.029401644799462032,0.7925994662586939,0.7746879106002716,9,5.87854575599047e-07,0.03394792274584357,0.30419245884091206
24,0.8931948878076187,TrialState.COMPLETE,1351,7,0.02871812325966095,0.8516953573497207,0.7534368796047362,5,1.21179801308752e-08,0.0630841192427096,0.003926890437106478
25,0.9025611915432687,TrialState.COMPLETE,1587,7,0.06636191399444187,0.7944729061913572,0.8343609874458694,8,2.6790711921338777e-07,0.0005451832145347475,2.2825488795422264
26,0.8870879318406413,TrialState.COMPLETE,1272,6,0.023542933179036857,0.896738629516833,0.697624101479863,11,4.85122822362757e-07,0.026456659140286796,0.5781698623002349
27,0.8907380933915047,TrialState.COMPLETE,934,5,0.02231129502778306,0.926795297950085,0.7136605926062701,12,6.399311916442608e-08,0.06750143832603374,0.20572620885566745
28,0.8960118869175279,TrialState.COMPLETE,1594,6,0.05595480258311886,0.8966079246517872,0.6524345109618518,1,7.230342364736045e-06,0.0008472842551460988,0.6061678292840171
29,0.9119217357627145,TrialState.COMPLETE,1754,7,0.03823745334921099,0.9613748027988476,0.7144021828104057,7,7.458689993158447e-08,0.011930730686014804,2.353302804681053
30,0.9559871984429711,TrialState.COMPLETE,1476,5,0.01670552237737167,0.8363335626357646,0.7633813139858453,10,9.075122573775192e-07,1.5015856701118206,8.784641456307849
31,0.8913737439751667,TrialState.COMPLETE,948,5,0.022756066975906784,0.9401478422114857,0.6975064491591164,12,6.166948314178339e-08,0.0779136247476918,0.4296551332720694
32,0.9094051238599069,TrialState.COMPLETE,1226,5,0.023725800480833913,0.8982886630471112,0.7253938007906232,12,3.169361194981158e-08,0.15522623776048197,1.6839454616723426
33,0.9359176491864662,TrialState.COMPLETE,890,3,0.014483446109329157,0.9518996375598143,0.6307897230227739,10,1.871743827336375e-07,0.020356263513892175,0.513702537993665
34,0.9005051157135142,TrialState.COMPLETE,1106,6,0.019066144154455306,0.8308291768618628,0.6482613369615777,12,1.0401420755913987e-08,0.35930881322465236,1.8739298394494222
35,0.888667061282954,TrialState.COMPLETE,1312,8,0.02558312016802329,0.8790339559203931,0.7759677692747797,9,3.5608731423043545e-06,0.0010624371254454284,0.5350208473379262
36,0.9101705618855813,TrialState.COMPLETE,1342,8,0.032443525718882614,0.880346740450897,0.8687767988477345,5,4.4749787064650185e-06,0.0007474285857589538,3.0332325702213296
37,0.8967631874368606,TrialState.COMPLETE,1467,8,0.04290543302540609,0.7602816447210183,0.7726386280607372,9,2.43394071210631e-05,0.003463984598903578,1.428236612439994
38,0.9110566659446102,TrialState.COMPLETE,1187,7,0.007553080397600909,0.6892325167543529,0.8274068894450523,7,6.940403426919659e-07,0.5287207505560424,3.6819250435048576
39,0.8915956133610855,TrialState.COMPLETE,1651,8,0.013773393142907042,0.8493492161055941,0.6709320088468882,11,0.00012109591890054832,8.708379437471247e-06,0.6928626374377568
40,0.903029842080895,TrialState.COMPLETE,1726,6,0.02753563765720806,0.8227237842928805,0.7346395547631217,3,2.5070119585624014e-06,0.00047405229242470845,1.8449443588767476
41,0.8920750941997797,TrialState.COMPLETE,820,5,0.022355682128039355,0.9701309906594546,0.6930848143836336,13,6.845276280034187e-08,0.019338013873558064,0.3907208903438765
42,0.894896905631056,TrialState.COMPLETE,1363,7,0.017911279635587668,0.9240755675485516,0.8065186995349444,10,7.306294515830958e-07,0.00019523113152157193,1.1322978475747136
43,0.8919736839295394,TrialState.COMPLETE,1001,6,0.02479073448399295,0.995247935953365,0.714755500098587,15,1.9294064093299295e-07,0.0023550188053202826,0.3479312391821563
44,0.8958194290172191,TrialState.COMPLETE,1480,9,0.03558832862875374,0.8634269902344813,0.8604304117424366,8,1.024635471534671e-05,0.006287062206932581,0.7925862749588273
45,0.8942516376122878,TrialState.COMPLETE,663,7,0.04621456179317714,0.9191065800997316,0.7644305579817458,11,2.1959028651879022e-08,4.12215230601842,0.10990827650223928
46,0.9357658883938842,TrialState.COMPLETE,1901,8,0.020987929278818686,0.8820164243596817,0.6071342535287398,9,1.9489911120545704e-06,0.03260842621624638,6.594478646352754
47,0.9203833915149457,TrialState.COMPLETE,1302,3,0.016853265576531756,0.7686378781747808,0.8139560836336576,13,3.860080545703467e-07,0.23580137978307691,2.1596802547620833
48,0.8983784770691188,TrialState.COMPLETE,1155,5,0.025678952611553913,0.8221137208442503,0.7418803421155409,6,1.065392548195606e-07,11.95070643410797,1.388392860522642
49,0.8949181244414313,TrialState.COMPLETE,1006,8,0.0329750170435448,0.9739713844145321,0.5739563305237758,13,4.4477265686344325e-05,3.036759760888827e-05,0.8063171798864455
