number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9948610409574009,TrialState.COMPLETE,517,5,0.06621168870858968,0.7411015292486932,0.6116704520572035,8,8.946114506481225e-06,0.002750656515264854,6.43391429011788
1,0.9964922817671562,TrialState.COMPLETE,259,6,0.13615885858651408,0.6369636143647446,0.8877679322126837,7,0.1267930973731509,0.0016207000980673378,9.062250105493046
2,1.0031569774353006,TrialState.COMPLETE,965,3,0.11556090509149869,0.8557311599990427,0.5667562969448954,8,0.042455394654770405,1.3736876436854282e-08,4.8402462229760745
3,0.999600496494274,TrialState.COMPLETE,664,6,0.011003929098848576,0.7577892316704661,0.5532093879464683,20,8.761982300689337e-07,3.2887713500777735e-07,4.959090867477377
4,0.9922971235962292,TrialState.COMPLETE,1766,8,0.006333516903677381,0.6892930149372223,0.8654861826241514,14,5.469788043019879e-05,2.616643298442767e-05,5.827470639277786
5,0.9784052247276057,TrialState.COMPLETE,1623,8,0.005253905041502952,0.8024103679665426,0.76854801187758,17,3.053974474871426e-05,7.766262616434807e-06,1.8124120464262294
6,0.9960896900360655,TrialState.COMPLETE,1483,8,0.03680290486818303,0.5645407904124007,0.5094426734724691,16,0.0005678415546014022,5.333753819815178e-06,5.045997942258028
7,1.0072673552817633,TrialState.COMPLETE,455,10,0.02476888787197423,0.7790761724039134,0.5233017056704482,17,0.4046954661469684,0.0010450021958096154,8.276876099395338
8,0.9756493719934417,TrialState.COMPLETE,910,9,0.06945473694647776,0.9647523056233838,0.8092179208182054,13,0.0002841425328346188,0.4254344882057684,1.5113545755483904
9,1.0078741019837323,TrialState.COMPLETE,607,7,0.006768281251977115,0.9359830130463553,0.6769833520126507,7,4.0374134801526285e-08,0.05300263350915903,9.909685184273002
10,0.9889716050581447,TrialState.COMPLETE,1244,3,0.018540186012384136,0.9920578381805296,0.9834374693294596,1,0.006185698481824118,6.403611171077252,0.781636073233507
11,0.9899355383036864,TrialState.COMPLETE,1904,10,0.05552788540547432,0.8939113125872156,0.7621545127242337,12,7.9226277885877625,47.25001045916735,0.9520962171335372
12,0.9790470313072572,TrialState.COMPLETE,1104,9,0.17945161727801376,0.8477539900383788,0.7654128159249459,12,0.0003709576453821142,1.0413969571179003,2.7843526569127226
13,0.9852169261992045,TrialState.COMPLETE,1568,8,0.015208743015105679,0.9648393919775866,0.7655302185150127,20,6.6510998519918495e-06,0.06545701285811462,2.7157326713048553
14,0.9827436516266681,TrialState.COMPLETE,954,9,0.0801150235465465,0.5201302255511511,0.8502760480905999,17,2.231070977521689e-07,3.5865727325001275e-05,2.448050105206553
15,0.9697582198903455,TrialState.COMPLETE,1357,5,0.03592296159766448,0.8396588543238823,0.6768307383432365,11,0.001024145934140171,6.235856742394984e-08,0.09272507513158423
16,0.9819952741031233,TrialState.COMPLETE,1312,2,0.03982225076803614,0.9155826935946232,0.6695496712705317,11,0.00242659418296082,8.53146892554506e-08,0.03242174394676489
17,1.0075594404278327,TrialState.COMPLETE,812,4,0.0321533386098787,0.8519920794461606,0.6895857590439233,4,0.0063224788566714355,92.14780956680353,3.3605995383451726
18,0.9651516876670007,TrialState.COMPLETE,1339,5,0.050015256782584346,0.9923213371417103,0.9515829982001434,10,0.0002500785827646635,0.1654421536880016,0.10757872657915381
19,0.9719348515920274,TrialState.COMPLETE,1348,5,0.048951588292234595,0.7002166869899017,0.9993768950106527,10,2.2897001652427833,0.00033246836298043877,0.2047775072194144
20,0.9857639419809727,TrialState.COMPLETE,1973,5,0.09088019203384091,0.9986819441910937,0.930684965511117,4,0.02224053911731739,6.915293606148667e-07,3.73154002200144
21,0.9757339954510101,TrialState.COMPLETE,1347,5,0.045608003989952926,0.6828795731763433,0.9970183592653319,10,6.783402210864125,0.00026089986271375204,0.01206779761897181
22,0.9761916600204675,TrialState.COMPLETE,1164,4,0.02644098010656651,0.6219003600873007,0.9284935311158882,10,1.3230298296441356,0.013202655868603088,0.8981546931836226
23,0.97074498444394,TrialState.COMPLETE,1446,6,0.0513642261671394,0.7222675002214357,0.9472815602155512,9,0.0016253571646090016,0.0002368018707528243,0.10697920683022778
24,0.9742847242332997,TrialState.COMPLETE,1489,6,0.02165310861395123,0.8203258577089124,0.9350859683325597,5,0.0010662477426240035,2.5262846431113012e-08,2.0366459883999086
25,0.9711491510013396,TrialState.COMPLETE,1766,7,0.03286667892982471,0.889402171478872,0.8160029588333941,14,8.998561340618271e-05,1.2322264120007224e-06,1.0372131574495147
26,0.977049562231094,TrialState.COMPLETE,1095,4,0.013700052526295296,0.7299450210186199,0.9509430431295757,9,7.935405249946408e-06,2.1507420175027083,1.6501004999553743
27,0.9692371500147829,TrialState.COMPLETE,1675,6,0.10364318277809459,0.6336437134795135,0.8848256369602299,6,0.013416614958076402,0.1488735752983313,0.6318424771210309
28,0.9744779637795675,TrialState.COMPLETE,1693,7,0.11093692224393482,0.6161758152427866,0.9013269782755813,6,0.01914557187606285,0.16063349459812398,1.2231250025031488
29,0.9824912789786395,TrialState.COMPLETE,1830,5,0.19317428870295725,0.5168475582719448,0.626414479587573,1,1.7054644432821178e-06,0.010289693861863587,3.634322182043337
30,0.9747074230485209,TrialState.COMPLETE,1618,3,0.06688483589415516,0.5843645117838954,0.7208330161202474,3,0.10369943641693688,12.520326517645126,0.636679282992001
31,0.9702584006403548,TrialState.COMPLETE,1456,6,0.05449360317630171,0.720577162021178,0.964008186998993,8,0.0036978036943556623,0.009726261214905975,0.4929154736905433
32,0.9693940239191967,TrialState.COMPLETE,1418,6,0.09896591470022155,0.6576223029717925,0.9012997164346674,7,0.005458838938263733,0.009255281021784672,0.5387298330797781
33,0.9699914397956175,TrialState.COMPLETE,1243,4,0.13895452939936995,0.6643296077780635,0.9046726364693674,6,0.00011411578090471535,0.17308961892230368,2.1235477992586897
34,0.9677303820589678,TrialState.COMPLETE,1559,5,0.10223859611309247,0.5948710549264715,0.8429758750708389,7,0.08834024567414153,0.003385234152266654,1.3781701442759868
35,0.974577238486239,TrialState.COMPLETE,1709,7,0.09973135745359671,0.5671869945280802,0.8569644071118405,7,0.19283072825757266,0.0022962440795866626,1.342199551237957
36,0.9690938720105842,TrialState.COMPLETE,1527,6,0.1347310145745307,0.6451274049125728,0.8298336281910625,3,0.0400636641495549,0.021682661680151444,3.2127821438582327
37,0.9765350185395114,TrialState.COMPLETE,1569,5,0.16378488173042977,0.5929944243496255,0.813999652842606,2,0.06785899343414335,0.038876720711168496,4.543685567255189
38,0.996944179801667,TrialState.COMPLETE,1880,4,0.13236220294203818,0.5444367420062612,0.8764272476622524,5,0.49554487268116626,0.46553075933959076,7.459778459062719
39,0.9785680239602321,TrialState.COMPLETE,1682,6,0.14032383817443791,0.6527529733759488,0.8320451980778175,4,0.02179951969539983,0.0009839826059976037,4.180534989834549
40,0.9963031037429966,TrialState.COMPLETE,1555,7,0.08370865030087551,0.7668524225100127,0.7834275060416268,3,0.2845654968737583,0.02495435239270915,6.551688506466885
41,0.9746921815303644,TrialState.COMPLETE,1398,6,0.11206149968310126,0.6385360490098947,0.8933686802239817,7,0.013182779192543783,0.007848936239467615,2.2850973040986107
42,0.9708198471988542,TrialState.COMPLETE,206,6,0.08096508917874863,0.6060395795838016,0.8458751363717105,6,0.039492024177772096,0.0037210441220310235,1.6033840739044831
43,0.9742434455177659,TrialState.COMPLETE,1227,6,0.07197018973945349,0.6643018887747211,0.9104134643475632,8,0.008361939056110013,0.08613842565337775,3.1193139058934976
44,0.9737838751921359,TrialState.COMPLETE,1482,7,0.1611605675169589,0.5450328143080909,0.872220876386382,8,3.082976369958823e-05,0.36399940510639917,1.8354926144346586
45,0.9665285679233213,TrialState.COMPLETE,1639,5,0.09890483555065849,0.7922134759894962,0.7975389315100984,5,0.00028305847403376313,1.8331009171065267,0.5390787368763901
46,0.9947685299375014,TrialState.COMPLETE,1780,5,0.06045762885121075,0.7906449639658869,0.7865544146124461,5,0.0007197267308915329,2.874758370950972,5.4797001228800095
47,0.973804307374175,TrialState.COMPLETE,1632,5,0.12110023195945498,0.6969239482944103,0.7392294342634484,2,0.0002613193580384432,15.249698178792931,1.2519668670467776
48,0.9858052480553772,TrialState.COMPLETE,1535,4,0.09875639760064936,0.8832723412804899,0.793095889537037,3,1.088968328553057,0.7622172145763145,2.722008158029398
49,0.9782943205681618,TrialState.COMPLETE,1924,2,0.1547162450475289,0.9481546337674498,0.8384752883935237,5,0.00016831251701568607,2.217114382509518,0.6305922211391801
