number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9906703756434456,TrialState.COMPLETE,1559,6,0.015003619927363267,0.5360925237649272,0.5806163278410993,20,0.0004042378891361019,0.0032823662681518207,7.267977093269129
1,0.9889724307252711,TrialState.COMPLETE,723,4,0.015775866381806638,0.883618556667564,0.8526963265550216,3,4.16490005461927e-06,0.0006015767732107405,7.218198709076287
2,0.9545549993683523,TrialState.COMPLETE,600,5,0.02173412712708642,0.7566516843850675,0.7881270662405776,16,4.399961813443185e-08,0.002474091029536835,2.797782130518466
3,0.9695096814345086,TrialState.COMPLETE,1648,8,0.031639955481958575,0.9048939972293661,0.7807749024608056,7,0.004969188886975951,0.00023320988192570614,6.679190154398018
4,0.9472956088345313,TrialState.COMPLETE,628,9,0.01598807212466034,0.8084985646850686,0.6084077461735158,16,6.547363113523488e-06,4.2706012269857903e-08,2.464250815866491
5,0.9746445793267392,TrialState.COMPLETE,964,4,0.044364425572805635,0.5736551270357363,0.8120759282792833,1,0.0007968384380697953,0.00013249289563498776,6.43589904121839
6,0.9523666739039485,TrialState.COMPLETE,1763,3,0.0118108775686208,0.749261054874776,0.7494505528879061,1,0.0004556617579556467,0.012014638759029125,0.7136352228153642
7,0.9369695056186225,TrialState.COMPLETE,625,10,0.03734493816234274,0.639163450365599,0.6209503087260753,16,9.917132457882116e-08,1.978338769795091e-08,1.4249019747847003
8,0.9765285729503348,TrialState.COMPLETE,353,10,0.006316309895917029,0.932572547184692,0.9994415866492559,3,0.03948431287412971,0.1422537003264311,7.569482673084412
9,0.9485632957525943,TrialState.COMPLETE,1809,8,0.06364497042893637,0.9486222338368979,0.9566370118336163,19,6.254387351811465,0.008053067913355593,1.0023045930301289
10,0.9979395386975275,TrialState.COMPLETE,1232,2,0.14222978194634178,0.6549324899005331,0.5078501963337054,10,2.6432599326799235e-08,38.23105638298393,4.577704312433237
11,0.9493441409428843,TrialState.COMPLETE,210,10,0.08494873114815191,0.7855884836958116,0.6607829628194601,14,8.578357676223384e-07,2.9746136965904543e-08,2.8697367598687404
12,0.9971555608601508,TrialState.COMPLETE,832,8,0.0067845069134499355,0.6517762800557547,0.6467073757472604,14,4.350921474554121e-06,1.846022861853051e-08,9.739859443071015
13,0.941791557686967,TrialState.COMPLETE,1167,9,0.028876218579806188,0.6646285555240303,0.6438893967174341,16,4.133315347000638e-07,1.1850389894369502e-06,2.4926284761437785
14,0.9593784839068273,TrialState.COMPLETE,1208,7,0.03071061508175095,0.6544189521493452,0.7152465880813966,11,2.2866116084307205e-07,1.5862945685573512e-06,4.295152623339131
15,0.9350888895012425,TrialState.COMPLETE,1347,10,0.06454988040370571,0.5968058979893078,0.5282357524822506,17,1.2598198038568342e-08,1.946832864698259e-06,0.08943721980184494
16,0.9440656732409682,TrialState.COMPLETE,1442,10,0.13700767638246591,0.5793527722749126,0.5307688208798688,18,1.0937917444714949e-08,2.821907545104625e-06,0.1882025065042796
17,0.9391151616909161,TrialState.COMPLETE,423,9,0.08245902173174709,0.5007809836181595,0.5785317887244854,12,1.4756139505693778e-05,1.869199273733498e-05,1.2390078688316344
18,0.9317624166092008,TrialState.COMPLETE,1986,7,0.05122090809035696,0.7018237589342858,0.5459402811597931,8,1.4714263998700045e-07,1.7873220822182827e-07,0.030188351033998195
19,0.9329123434785282,TrialState.COMPLETE,1989,6,0.056736749730444035,0.7356046825377784,0.5001056955140928,8,4.266444527092732e-05,6.821736692996256e-07,0.3833402407106593
20,0.9592443365388379,TrialState.COMPLETE,1946,6,0.05192385151196797,0.7107517933459322,0.5645877752669646,7,5.4972882771043786e-05,2.619766450447136e-07,4.171556853313035
21,0.9388397435501689,TrialState.COMPLETE,1995,6,0.0944832421083545,0.712534762008908,0.5017669786619461,8,1.0819961984275857e-08,1.4428616229609481e-05,0.43825594618033636
22,0.9332312502731726,TrialState.COMPLETE,1418,7,0.18728260623830298,0.8441875697537674,0.5404441047166203,5,0.11502165246401422,2.748610828143995e-07,0.005881198854273503
23,0.9373575902058808,TrialState.COMPLETE,1828,7,0.15426382749223438,0.833470138287027,0.5617452748633561,5,0.1871110839417207,2.1339843407790668e-07,1.8875310641582845
24,0.9596739116691957,TrialState.COMPLETE,1634,7,0.19263104769213685,0.8596849189402482,0.5445932522494178,9,6.916102657220013,2.770061833976337e-07,1.8590548703811367
25,0.9412907449021797,TrialState.COMPLETE,1489,5,0.10975621281508165,0.988563636674125,0.6909461071515293,5,0.5912345866361792,1.7698241189464626e-05,0.02512961188202256
26,0.9441818721598123,TrialState.COMPLETE,1909,7,0.05998398191604044,0.7085093991068365,0.6064620080058573,5,0.00884778042811661,1.7360151369450884e-07,3.4976452941995024
27,0.9344413900733767,TrialState.COMPLETE,1686,5,0.04156057351075534,0.7669224836214292,0.5072530497517856,7,6.267283481630163e-05,6.747167604667378e-06,1.5285631322632471
28,0.9411897916509224,TrialState.COMPLETE,1054,6,0.19393166018782612,0.8358296934428641,0.5907003251947924,12,0.7651979322920284,5.2289757274816646e-05,0.7989193690943691
29,0.9378465591117472,TrialState.COMPLETE,1517,8,0.020188769859837075,0.6932166339770601,0.5527067160118274,3,0.0029712625426703684,1.1775334764061463e-07,2.1125489592917517
30,0.932164539493558,TrialState.COMPLETE,1865,6,0.009554256182317668,0.801320483216274,0.6815125112814757,9,0.0001400148357952581,5.733201292764304e-07,0.843882717516894
31,0.9309650927116262,TrialState.COMPLETE,1868,6,0.011462490355584052,0.8027530906996974,0.6964235997602727,9,0.0001616603877174145,7.851433985906876e-07,0.9068785939267737
32,0.935700133670196,TrialState.COMPLETE,1845,5,0.00907841643598789,0.7911427294637327,0.6941262338724222,9,9.346758175164086e-05,5.804324838065535e-07,0.9722011649576378
33,0.9544156043304212,TrialState.COMPLETE,1999,6,0.010158325579916756,0.7392001299933304,0.8499301044160197,10,0.000178151726025981,3.803028024877895e-06,3.2501485405761255
34,0.9543609889748399,TrialState.COMPLETE,1738,4,0.005486357449746906,0.8832654439120432,0.7177168445434667,8,2.5151343641522766e-05,9.911890525332752e-07,1.5511415677038038
35,0.9381739195608906,TrialState.COMPLETE,1581,4,0.01267803620521765,0.8166485806846512,0.7520541295821321,6,1.3650773229840521e-06,8.118546812332886e-08,0.71268805972733
36,0.9463450525898313,TrialState.COMPLETE,1886,6,0.018951244348304207,0.7782467933795506,0.6721996585821846,13,0.0012722409867201771,4.699516064984456e-05,2.0870118524094052
37,0.9339067099648811,TrialState.COMPLETE,1683,5,0.024949177556735,0.7280292614293901,0.8042821735010196,9,0.0002479660302975298,0.00078644448526799,0.6712442979057258
38,0.9340604453688035,TrialState.COMPLETE,1785,6,0.008112499084548766,0.6870590536841762,0.6225642431060675,11,7.385262976565042e-06,7.356673230463934e-08,1.3483608260620163
39,0.9419443961463227,TrialState.COMPLETE,1905,7,0.015285604690701454,0.6102770470053291,0.7612989707334803,8,0.016151795161922194,0.00022318429776116435,2.565154837206421
40,0.9533520037432971,TrialState.COMPLETE,1715,3,0.012101074843513917,0.7495901998305534,0.8909641937383276,10,1.5000324625766464e-05,1.6538915123962934e-08,0.561593719670229
41,0.9259530084967099,TrialState.COMPLETE,1405,7,0.025098781936454317,0.8650555400323481,0.5873704871652243,4,0.0016505711992457677,5.361339039667225e-07,0.015423243557529467
42,0.9320466453345017,TrialState.COMPLETE,1618,6,0.04945155103786265,0.8876605155350666,0.590553589363264,2,0.00151063971940076,6.172421452974119e-07,0.9578167343760332
43,0.9373593032113613,TrialState.COMPLETE,1316,8,0.023158570566692634,0.9037424215150902,0.6293002188385124,2,0.0016555233149522927,1.0122937623475901e-08,1.2331727734592515
44,0.9353859127219241,TrialState.COMPLETE,1592,7,0.03555350980447326,0.8728754829369475,0.5915014989348301,2,0.0005631478542266504,6.251017947978586e-06,1.016339173925666
45,0.9444300447182171,TrialState.COMPLETE,1780,8,0.017668377025861586,0.9259051988871331,0.7139016313246156,4,0.003459104129141758,2.6591024928863667,1.7850668251245803
46,0.9897312047643599,TrialState.COMPLETE,1516,6,0.047643957656650616,0.9630403662886733,0.6733128535790461,1,0.02700693574863232,6.442902058811965e-08,8.212874661609986
47,0.9567811836943626,TrialState.COMPLETE,1623,5,0.007665225730612614,0.8011982135609573,0.6471769209794093,3,1.8148322168545992e-06,4.340456073777567e-08,3.0345239323409294
48,0.9511272599477035,TrialState.COMPLETE,1364,7,0.013528380461967098,0.9138260567424183,0.6012655712861461,6,9.161099079257491e-08,4.594347958448483e-07,2.2495128802650086
49,0.9303944869648942,TrialState.COMPLETE,1817,8,0.0715349627787806,0.8164789849023371,0.7272446594869472,4,0.0001864189827488546,1.7296421689093365e-06,0.4570627003542893
