number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9347255181610955,TrialState.COMPLETE,1581,2,0.014824826765292141,0.8561956559558144,0.6982514980593141,15,0.521041454958317,93.53077310754385,2.5283571355641135
1,0.9237483461853131,TrialState.COMPLETE,1068,7,0.007796019607263651,0.8780997886407391,0.7255954357091872,14,0.017150892752154517,0.00023493995329051321,9.672860094727545
2,0.9095437109912208,TrialState.COMPLETE,1639,9,0.010370525688593275,0.6335690548667507,0.6060511776746411,2,0.00027446414081089027,0.20510293571011717,7.592828415768836
3,0.9360059319580097,TrialState.COMPLETE,533,9,0.05129701525655591,0.856945217420825,0.845334690954129,12,0.18607737238919173,61.60839059272842,7.8267624412010415
4,0.8920881632613216,TrialState.COMPLETE,1109,8,0.12652519628440226,0.5499078327402371,0.657414172110605,3,0.0014521225828594535,1.247907834770138,4.230331628597827
5,0.912657306627412,TrialState.COMPLETE,610,5,0.025680700805127986,0.9708719418810524,0.9356540103172333,9,4.311796744287055e-06,5.397318286202464e-05,5.966722204825028
6,0.8889165980138248,TrialState.COMPLETE,1216,5,0.005391636939135444,0.8697969503899139,0.894694650676067,11,5.330669466269775e-07,2.3539062342940433e-08,2.3562589489615715
7,0.8999611995854094,TrialState.COMPLETE,1737,9,0.03901442576735201,0.5887713043997992,0.5801539547577963,14,0.4030630327581569,2.3393433852942893e-07,3.7753064766322577
8,0.9306596229249958,TrialState.COMPLETE,956,6,0.008744531098568431,0.7629684610466916,0.8519757124393581,11,1.0550243988823807e-08,37.82771188358103,7.046053668777544
9,0.8793361898343474,TrialState.COMPLETE,1040,7,0.03215831617462467,0.7409872946340967,0.5609340724269329,3,1.08819542906577,0.17594606565776064,2.266235901976615
10,0.8901049253866948,TrialState.COMPLETE,1990,3,0.1430941063698219,0.7055679238061128,0.513003704652121,19,6.957174752382445,0.002799354876963122,0.15545412475662168
11,0.8732063538531329,TrialState.COMPLETE,1205,5,0.005729107949115773,0.7413067079028366,0.9992643312774047,6,1.6984045945529753e-08,4.872276946896135e-08,1.0651473450424485
12,0.865900227386603,TrialState.COMPLETE,270,4,0.0706693424059114,0.7321067815587647,0.7802780167176231,6,2.8131979477631908e-05,2.7724645707948427e-06,0.38073047435952034
13,0.86844683346221,TrialState.COMPLETE,237,4,0.08177464704227243,0.679573147574343,0.9831888108125009,6,7.360460106309322e-06,1.2550339265394832e-06,0.26224454900939687
14,0.8796337721465423,TrialState.COMPLETE,273,3,0.07571351883690894,0.6687154559467584,0.7683810892118755,7,2.294964208977492e-05,1.1121392071983276e-06,0.173521718483265
15,0.8717759820758624,TrialState.COMPLETE,200,4,0.08566539373658018,0.7924934347396435,0.7913185887615832,5,1.0507967954698742e-06,3.903328679912137e-06,1.350835888135751
16,0.9049658896033366,TrialState.COMPLETE,492,2,0.07214583393752164,0.5049904059991066,0.9848256165974646,8,0.00013858859893664307,1.9142318094077135e-05,3.916548010347701
17,0.8695748787812111,TrialState.COMPLETE,365,4,0.1780107906638066,0.6302806104714557,0.9189114676159744,1,1.892731584619137e-07,0.002038441079542293,1.4582589082899837
18,0.8643500398318014,TrialState.COMPLETE,755,4,0.10004362707856693,0.6886201295774547,0.8105015331067353,5,1.621604493824987e-05,1.3579254761825464e-06,0.1650282536182041
19,0.8921944632832434,TrialState.COMPLETE,775,3,0.0229034633747335,0.8118467701992577,0.814030354398189,4,0.0047463079349636585,1.0416896813132434e-08,2.9188664839071814
20,0.8688403067096645,TrialState.COMPLETE,781,6,0.05339214735958883,0.5973065273481073,0.7281663132984793,9,0.00012845910468250207,0.0005890844500698062,1.215565614068817
21,0.8656597745690852,TrialState.COMPLETE,408,4,0.10965416828254448,0.676723005358026,0.6605905915362318,6,1.1511010182523809e-05,1.0197669938376673e-06,0.02885869625581261
22,0.8643835939641623,TrialState.COMPLETE,708,4,0.11307466738491871,0.7030117641875442,0.6568379753349112,5,3.456702555448947e-05,1.03190763971654e-05,0.08871971427558217
23,0.8821798249335294,TrialState.COMPLETE,761,3,0.11439116210296275,0.6671290586057083,0.6443042036008981,4,0.0006428199087763026,2.23341366320106e-07,1.6075969421336291
24,0.8687226472772409,TrialState.COMPLETE,633,6,0.1034998930212763,0.6958163042282349,0.678932548091287,1,1.0768057270259277e-07,2.3388892961715178e-05,0.8444853557744934
25,0.8754910370089559,TrialState.COMPLETE,900,5,0.1660600003773304,0.6264718154642005,0.6183328218633659,5,3.539515323169836e-06,9.7625920120538e-08,1.9210811783042954
26,0.9132853960975309,TrialState.COMPLETE,430,2,0.0515302377323478,0.8017199932183587,0.5173164932969534,8,5.6044334573909214e-05,9.310521444731673e-06,3.2410873654247734
27,0.872089931197641,TrialState.COMPLETE,696,4,0.10437617337554937,0.5595340961852717,0.7121286279031173,9,0.025731631952974343,0.0001144132296122929,0.7722019648193248
28,0.8662819723856642,TrialState.COMPLETE,1354,3,0.19626520696139194,0.6550752548686773,0.5598695471769909,3,1.018034177298976e-05,4.508339167836376e-07,0.11573588256668658
29,0.9082228571261957,TrialState.COMPLETE,896,2,0.13459083766811533,0.9196667749340133,0.7521983939453263,17,1.0693196452352353e-06,0.007354405496478575,2.048433304719189
30,0.898547123213247,TrialState.COMPLETE,558,5,0.06069058222094607,0.7115120580786645,0.6813745550787129,7,0.0009514970120145086,6.314412807715316e-06,5.208274715734358
31,0.8678737936851024,TrialState.COMPLETE,372,4,0.0991220130579933,0.7354929980648963,0.8047667857621379,5,3.2057641884554394e-05,2.2065738815076973e-06,0.675321090195693
32,0.8695429144427758,TrialState.COMPLETE,346,4,0.04279147458547025,0.7809664376369504,0.8510961732505707,6,2.2638169515004714e-05,5.093716422190658e-07,0.06766372890464639
33,0.8756833407912876,TrialState.COMPLETE,458,3,0.07084331954221447,0.7209458452697656,0.7422696800725141,7,8.509604413189971e-05,4.794184604619424e-05,0.9921075302044403
34,0.8689771788178937,TrialState.COMPLETE,651,6,0.08928845218181869,0.8381096541281796,0.6964347117330129,4,0.0003778716113442437,0.0003179740840831425,0.6170564369043858
35,0.9132175717369706,TrialState.COMPLETE,534,10,0.14294390161874287,0.7555124135778043,0.6525284352244191,2,0.005896827070169651,3.7002481880625683e-06,9.426683705816824
36,0.8775515249535533,TrialState.COMPLETE,314,4,0.12484178823293604,0.6444740532167592,0.6294376207368446,10,2.218510734140513e-06,1.0290451259443381e-07,1.7020544659682935
37,0.8874046459753677,TrialState.COMPLETE,872,5,0.013630311085097994,0.6925483534129866,0.8825351982591632,8,1.5075200244165954e-05,1.7816775661891474e-05,2.72844398421014
38,0.8727702985083781,TrialState.COMPLETE,716,7,0.061127090399730286,0.8279778158566322,0.830757988316157,13,0.0002832832819031254,0.00010066940942634319,0.6677009860327201
39,0.8697684957709833,TrialState.COMPLETE,460,5,0.0415890372222077,0.586437525657916,0.7692885992514964,2,4.1942424386165323e-07,9.395884858374232e-07,1.474091243647304
40,0.8622212678033823,TrialState.COMPLETE,582,4,0.15149511969304638,0.9025344103724946,0.5782690801280866,5,7.54621917615737e-08,0.022774908490912182,0.036619955457372066
41,0.8638652550538476,TrialState.COMPLETE,609,4,0.16415300095132523,0.9010850144192112,0.5847973050197313,5,1.2078650477259657e-07,0.5624831994364003,0.031639955558816324
42,0.8866132702828812,TrialState.COMPLETE,582,3,0.14581936781546667,0.9955985323885562,0.6006996130795255,4,4.375385963911125e-08,1.4555993596702574,0.6644049867319042
43,0.8640639186566831,TrialState.COMPLETE,1001,5,0.16785929978988062,0.9096753631182125,0.5832249629737406,5,1.1332572798899687e-07,0.020260480849128116,0.005211020496696875
44,0.8700746208917145,TrialState.COMPLETE,985,5,0.1999977913395895,0.8956546392127811,0.5444947649869483,3,4.274753086962247e-08,0.02934876982298075,1.079017584800355
45,0.8852430687726159,TrialState.COMPLETE,1113,6,0.17086492570067469,0.9205345848731367,0.5923948667512889,5,1.1668149132355313e-07,2.6881308253471548,2.3352869038408426
46,0.8650400239784474,TrialState.COMPLETE,851,5,0.1544012067567075,0.9550545816490745,0.5387039421809159,3,3.176928421117469e-08,0.2153371960556887,0.4817665150331722
47,0.8692950093939048,TrialState.COMPLETE,1357,5,0.09095394027597686,0.8778782375108997,0.5720896488851649,7,3.8111146426050776e-07,20.955597298543804,0.03108594167787556
