number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8665997712710901,TrialState.COMPLETE,1931,6,0.10010897707945848,0.839396222118286,0.5301344705618234,6,1.3746712837852564,97.75571936303515,2.7186568046836768
1,0.8526744371114964,TrialState.COMPLETE,934,9,0.010791814957864673,0.8077268793853903,0.748946628228335,15,3.4782729751741077,0.21819974067607378,2.7183408314982893
2,0.8985315295419434,TrialState.COMPLETE,1894,10,0.10348912567981734,0.7689065564792239,0.6055543744035239,2,5.388608613439345e-07,80.51021003825495,7.413297091113234
3,0.9072347739641602,TrialState.COMPLETE,1645,2,0.0068619677940919555,0.9362989814345394,0.9825170800609784,20,1.5373187524788336e-06,8.509628131872293e-08,7.202868553994981
4,0.8570331101296033,TrialState.COMPLETE,1850,10,0.006551813525888149,0.6435546129021361,0.5624179793857194,1,0.6490068270864456,5.9094640229546516e-08,4.46943333030031
5,0.8817304462752349,TrialState.COMPLETE,1579,6,0.006428302020353232,0.8892006113600367,0.9647329758472504,19,0.002905967213915215,0.0008831542061540368,8.434124722337451
6,0.8922334775310758,TrialState.COMPLETE,349,7,0.009313813302552227,0.5001808767795488,0.7275614677831053,7,0.003345431738973475,7.068176576067367e-07,9.199084052868011
7,0.8545847436612166,TrialState.COMPLETE,1506,10,0.0412505825142281,0.7377617999656246,0.9133452495364819,5,0.09333129078934267,2.8927879829392635,4.814589593876768
8,0.8499023487930709,TrialState.COMPLETE,1743,8,0.14395071762430667,0.8950507180817817,0.9749771084281715,10,1.7868573358459842e-08,5.219502777927985e-05,2.7616881151088526
9,0.8907266544631383,TrialState.COMPLETE,1589,6,0.012280891583921498,0.7292358785303968,0.7382508669486194,2,1.7420923802553345,0.15622885092626934,9.615605485713997
10,0.8644568941063645,TrialState.COMPLETE,1048,2,0.194601525075532,0.9995779496923248,0.8507331519328111,12,2.318540333808087e-08,2.1505171329108512e-05,1.0221213597841023
11,0.8289248701971459,TrialState.COMPLETE,1024,8,0.02469412678061325,0.8374048738527603,0.7969329778501334,14,6.470330081292828e-05,0.0035143415473899587,0.046776528833516906
12,0.8310938073538253,TrialState.COMPLETE,1133,8,0.028725765409157406,0.9086839403867197,0.8252081677616331,12,2.5980842869344746e-05,0.0004482215811485229,0.23077039875169492
13,0.8385603304648148,TrialState.COMPLETE,976,4,0.028375239107854836,0.9998646962507359,0.8256574635034652,15,7.692710036335562e-05,0.002564985424800122,0.435801459938913
14,0.8363667682215576,TrialState.COMPLETE,1290,8,0.026336200262380396,0.6533725234659108,0.6560937856637644,13,6.645752911101367e-05,0.00420475695403412,0.04702081346924886
15,0.8354330280366595,TrialState.COMPLETE,687,8,0.04649957668255552,0.8660234229798489,0.8460415028655526,17,2.9021646999569933e-05,3.458313981386544e-05,1.8255434941446838
16,0.846989371256169,TrialState.COMPLETE,1286,4,0.01770935236853655,0.956517715640231,0.7788751101844126,10,0.0011608382581006235,0.056646449754821665,1.4103581168808623
17,0.8506510854676318,TrialState.COMPLETE,614,7,0.056638836780012976,0.8159531305325266,0.6794666030536598,9,3.998284419268112e-06,0.00030917998185572214,4.270834254734521
18,0.8376103303420406,TrialState.COMPLETE,1250,9,0.018842999575476766,0.6700551372488064,0.8994378880286095,13,0.0003525780018672764,2.569821264964638e-06,1.9393008783522117
19,0.8307080458942036,TrialState.COMPLETE,737,5,0.06504289211967686,0.9215734950928256,0.7974160070730395,16,0.06856805495224556,0.01089329541196421,0.298934280377285
20,0.8519342477526506,TrialState.COMPLETE,774,4,0.07225582274216039,0.5362327638714306,0.6738142753864049,17,0.03156969321568414,0.022659944651485065,3.4373912964944595
21,0.8327846209425182,TrialState.COMPLETE,471,5,0.03445717996948666,0.9313467045435228,0.8064885146831762,15,1.3130937538634732e-05,0.009604640226493646,0.10976965036412345
22,0.8332337722142422,TrialState.COMPLETE,1133,7,0.01868602300255434,0.8972182773960176,0.8908972642069395,17,2.778545002205331e-07,0.0002454604397018826,0.9749364970552735
23,0.8458092037832996,TrialState.COMPLETE,841,3,0.06437919444383097,0.7934764483220551,0.7750588489252944,12,0.027568282213588285,1.4552319369889115,0.862480278619782
24,0.830024054525428,TrialState.COMPLETE,235,9,0.026020259929442856,0.8552753260928415,0.8717649236388807,14,0.0003028788399655819,1.1564387339287092,0.030164125537822745
25,0.8506128483837069,TrialState.COMPLETE,219,9,0.013509150486056831,0.8505138324734579,0.891615664764308,18,0.00030462551376042645,2.774260417450918,2.109903931072007
