number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8233775956128447,TrialState.COMPLETE,1922,4,0.01255648550251091,0.8284635817989384,0.6049573275000759,18,5.272708385439429,0.001817371047607356,8.303773290959853
1,0.8170410450459129,TrialState.COMPLETE,1991,2,0.18155252252685364,0.9298690343845668,0.9766238925884537,13,0.12474616818462322,1.324677694793025e-06,1.6946946490945658
2,0.8180990696125073,TrialState.COMPLETE,1055,10,0.031073497857479263,0.9019833165609714,0.5536800908247488,12,3.4463222039354023e-07,1.0285321205215119e-07,7.0049967615621185
3,0.8125205895953767,TrialState.COMPLETE,703,7,0.005042382982384479,0.9574356910787165,0.633155749395967,8,8.794985151426372e-06,2.2749304428719244e-06,2.581022788906455
4,0.8083461633472397,TrialState.COMPLETE,290,8,0.04888274433483421,0.8348107337745703,0.6587483879109096,16,0.07934601754282235,0.20876151456748923,4.059131900397613
5,0.8175233041719006,TrialState.COMPLETE,1039,6,0.1374057345756836,0.5264846440744542,0.5579496673263542,1,3.2070891716136093e-08,0.18596717216560837,8.136179799354355
6,0.7917571129510006,TrialState.COMPLETE,1301,9,0.0732547610911981,0.6663482447058613,0.9839867160099566,8,2.1494305279543453,9.382258433262526e-08,0.8860621952575509
7,0.8084780482376882,TrialState.COMPLETE,1019,9,0.02069177907137941,0.6792196420640505,0.8153129465937781,20,1.1761010665772302e-08,2.1934314119435077,6.783423780990025
8,0.8188832730937887,TrialState.COMPLETE,408,7,0.17174104011078406,0.9748180020718479,0.7879572131549408,5,2.739252081173057,0.9269533785447313,5.12226289890426
9,0.8197535214050404,TrialState.COMPLETE,827,6,0.08624356743665654,0.6594724965618204,0.9649897134678631,13,1.0183789132709941e-05,0.28745867886892745,8.89895339967764
10,0.8305934331021346,TrialState.COMPLETE,1556,2,0.006956409171767955,0.5057401539037553,0.843510986402179,1,0.000829615909306767,80.39744989079104,0.2111793634974617
11,0.8108272757871317,TrialState.COMPLETE,250,9,0.05538296415419864,0.763924696503802,0.7046468314110372,16,0.012580439264229306,0.000531195833951887,4.11309022364978
12,0.8057600156974599,TrialState.COMPLETE,1532,8,0.05059751040653019,0.6366890284453043,0.8892450550622741,9,0.0802864471553108,0.0004953560022000897,0.0716937903268029
13,0.8043908254791338,TrialState.COMPLETE,1462,10,0.07548068965850643,0.6029203977108804,0.9072709680493165,8,0.0015321679726723384,0.00019537936605603162,0.14963346019802493
14,0.808075025065006,TrialState.COMPLETE,1441,10,0.09093818334856002,0.5788310238751726,0.9111821714099224,5,0.0007409620429421131,1.336373958236518e-08,1.8460536535658543
15,0.7869451854238095,TrialState.COMPLETE,1342,10,0.09344615920454112,0.7195801766885725,0.9982892476031907,8,0.0006212363419016549,9.688516318687172e-06,1.4623245683202952
16,0.8094134131897764,TrialState.COMPLETE,1272,9,0.029348521020359827,0.7253942076461549,0.9967512932501604,6,5.0246935326449084e-05,8.05975974156626e-06,2.5927330642759636
17,0.8236789910310162,TrialState.COMPLETE,1668,8,0.11460007870328864,0.7360504647529779,0.9412647631164626,3,0.700469739584054,1.9039634814067404e-05,1.330288121800423
18,0.8146733160956913,TrialState.COMPLETE,1260,10,0.03409257962403386,0.7873165149673488,0.75417152195699,10,0.00905729599770002,1.564183237542572e-07,3.4122557102077455
19,0.8014226758612177,TrialState.COMPLETE,1787,9,0.06285876314380598,0.6991491214952004,0.8593366435730593,10,8.159589971636628e-05,1.2870463743972812e-08,1.3342080167240267
20,0.7981594944105709,TrialState.COMPLETE,1259,5,0.11697381002815517,0.5664491919648068,0.997432292278856,7,9.403422541285985e-07,0.015003598444179185,4.812167072875818
21,0.8024230326694045,TrialState.COMPLETE,1275,4,0.12033485355315902,0.5637151695557129,0.9982533415774539,7,4.053450386942829e-07,0.0057802379313202125,4.69676940805324
22,0.8134856925835704,TrialState.COMPLETE,1156,4,0.09590854310416018,0.6064804301113615,0.9348973108198833,4,1.4905358237576525e-07,0.014936627191937673,5.88241302304154
23,0.8208113285174329,TrialState.COMPLETE,836,6,0.1411263114117247,0.6506039868643625,0.9551039881623309,10,3.260191771493648e-06,3.235469901394234e-05,2.964642381463816
24,0.8180199022163086,TrialState.COMPLETE,1363,5,0.06701824971699276,0.5465628965251607,0.8796692742656036,12,0.00017006069784272367,3.552328623112517e-07,9.881789654666465
25,0.8306494172377232,TrialState.COMPLETE,1720,3,0.19947585853945485,0.6228956460149655,0.9985675891069263,7,1.3377482292886365e-06,9.031113744536573e-05,1.0607940878895454
26,0.8047305640227197,TrialState.COMPLETE,1171,7,0.04300973439660081,0.7146486619162893,0.9310474580680895,3,0.008725234727576163,2.287373195856392e-06,5.824055792950355
27,0.8179465907671446,TrialState.COMPLETE,886,5,0.02038190224092689,0.7912561707919644,0.9597935297696742,6,1.856903837828214e-05,0.02989484864183662,2.2232683058822675
28,0.8166503746876517,TrialState.COMPLETE,631,8,0.10518773303835026,0.5825376830479748,0.9186419330432376,11,1.3444889061579475,89.66936822924943,3.4847481936241564
29,0.8185512646196993,TrialState.COMPLETE,1813,3,0.03992654043167777,0.8407927304079467,0.8631610167808278,8,0.34473373231734716,0.0021717590437178814,0.7275871213239079
30,0.8150694692758379,TrialState.COMPLETE,1625,9,0.07328916802749857,0.6862543287660104,0.9637288552221921,3,9.44708114081915,3.286762640263134e-08,7.308340178079754
31,0.8026295253938848,TrialState.COMPLETE,1845,9,0.06959400695934138,0.7040978121259134,0.8475699502297545,10,7.253637604749303e-05,3.199907572590573e-08,0.883152881306915
32,0.7974622283121712,TrialState.COMPLETE,2000,10,0.06313051893529506,0.7537613652793855,0.7510636149179936,15,0.00021277262541231616,5.857350250807675e-07,1.8109865769253477
33,0.8205518402965719,TrialState.COMPLETE,1922,10,0.14625941438571313,0.8801042211228016,0.7213068371890414,15,0.00030177727337079386,4.2116613020010025e-07,1.9725028781745033
34,0.8053258449822875,TrialState.COMPLETE,1981,10,0.08460119769929872,0.7585291686354615,0.5886518708516452,19,0.0033137802464032547,8.228754816799444e-07,3.0884060927484573
35,0.8135462706243808,TrialState.COMPLETE,1147,10,0.058529716343263524,0.8109588762227644,0.5116733877948378,18,0.02542351479817817,4.751258676629775e-06,2.396968624135267
36,0.8195425496449817,TrialState.COMPLETE,951,8,0.10823094284970558,0.7490836962978535,0.6833692037416736,14,2.187150634279671e-06,1.0212426554916823e-07,1.515619119511704
37,0.8136199301470681,TrialState.COMPLETE,1374,5,0.023481954839830777,0.6466838768640394,0.8020330735222783,17,4.7769234369564794e-08,1.9287149602961154e-06,0.4870006464443606
38,0.8249658476078412,TrialState.COMPLETE,447,7,0.1546260411795438,0.8472670505706206,0.7543398023022307,12,5.752033785255342e-07,14.698603208511967,4.097514102521927
39,0.8155340408281063,TrialState.COMPLETE,679,10,0.014865689714307316,0.6700804726524392,0.6192820949557112,9,0.3498387042329989,3.429770651658565e-05,5.005542635345951
40,0.8135200173400293,TrialState.COMPLETE,1109,2,0.0401640026840276,0.526929053654518,0.9790626455735839,6,1.977959579850454e-05,1.0192724726679015e-07,1.7096252536783134
41,0.815700556470746,TrialState.COMPLETE,1788,9,0.05956173886267354,0.693901626559902,0.785215630672948,8,0.00017077559035730413,1.113438195209155e-08,1.2483942527513034
42,0.8018285106502343,TrialState.COMPLETE,1928,9,0.1244204362883581,0.7884304717177787,0.8320345301535017,11,4.460382863280133e-06,3.995569221956579e-08,0.8010464737180978
43,0.8105211147379424,TrialState.COMPLETE,1553,9,0.047762780817946396,0.7135296000163981,0.8880584743859418,9,0.00038386830559469,3.302952524446257e-07,2.893298216748452
44,0.7934835617045674,TrialState.COMPLETE,1735,7,0.08364817769818596,0.6806027466405162,0.9770909053913717,14,5.263152164374972e-05,8.583966578270801e-07,2.2138173689595058
45,0.79476020750013,TrialState.COMPLETE,1406,7,0.08048707261915582,0.6235136998282377,0.9757478212703297,16,0.0033655343478374814,6.170774435307222e-06,2.1019266255352087
46,0.7942014615255536,TrialState.COMPLETE,1412,7,0.08315793692198951,0.6766495991873978,0.9472489625833861,15,0.001295821089550806,8.91870054084959e-06,1.9973177027821738
47,0.8126983842711614,TrialState.COMPLETE,1440,7,0.08285397851141828,0.6683688158595756,0.971363488253802,17,0.03347680710868508,7.33239310383478e-06,2.397063627873084
48,0.7971244907013644,TrialState.COMPLETE,1633,6,0.09711749854408225,0.6193825541326878,0.9451552498200927,14,0.002202317822239383,1.587363286292778e-05,3.6004766753516275
49,0.8092709187527068,TrialState.COMPLETE,1346,7,0.006655927400359009,0.6455830573084548,0.9111626355742005,20,0.0012923876311877283,0.00010001392070221636,0.5531898810530755
