number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8275392399898441,TrialState.COMPLETE,986,4,0.02620380036893328,0.6113507575672872,0.6084906624451634,13,0.00011207404928924372,2.9754761478513913e-08,6.479698889719748
1,0.8308792504577521,TrialState.COMPLETE,1790,5,0.0094439916816333,0.8499276570256602,0.7781598114692758,15,1.0754205709772868,0.038185010138959,1.4066988496661037
2,0.8258571984144764,TrialState.COMPLETE,1414,4,0.01778278527714332,0.8306279782086519,0.6389500911619672,14,0.1937078419596964,1.5770523401444865,5.613386542773355
3,0.8385062964028231,TrialState.COMPLETE,855,4,0.17353151242243045,0.997448189599584,0.9722533081035242,6,0.004726445647360014,27.657149005879,2.782261769498385
4,0.8271475473458407,TrialState.COMPLETE,1119,9,0.02901467141733977,0.947319170486806,0.866351569017604,17,0.45989392858215233,52.59304167478612,4.858400583652153
5,0.8350473754567767,TrialState.COMPLETE,974,9,0.163749520963361,0.6238425833436523,0.7175961768716027,19,0.00021864702038258558,0.0004761156911472767,6.951418474546982
6,0.8265448824674073,TrialState.COMPLETE,398,10,0.016768347537549185,0.6498386942914891,0.7603566710349491,2,0.6991666677544262,2.299603076483995e-07,0.8048647174449242
7,0.8325996563009523,TrialState.COMPLETE,1869,5,0.14238280503161183,0.674479796784156,0.8745594964745946,20,0.9488426478312164,1.436659856016649e-08,9.441481430021563
8,0.8262363233287203,TrialState.COMPLETE,1473,7,0.010308645188390683,0.6612326881418491,0.6928964606573309,7,0.0321594599670104,0.00016596368478605627,6.629647891053611
9,0.8349665208145277,TrialState.COMPLETE,878,9,0.015569165228156939,0.5249060014104211,0.6794909199253487,20,0.05493640382658651,0.3823800389921392,8.096475394888193
10,0.832773714090399,TrialState.COMPLETE,271,7,0.005302384240862695,0.8011699717661072,0.5277407039562907,12,1.8323991169435652e-07,1.5421192624928903e-05,3.7911458019392783
