number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8359269800991205,TrialState.COMPLETE,1636,4,0.007641125485532909,0.5707182887862883,0.5199238418849484,10,0.24322448092197668,0.006020071503680439,8.295920719608088
1,0.8491562179072906,TrialState.COMPLETE,266,3,0.005173783048855598,0.6913131099222407,0.5733355402919997,10,3.376040768968162e-05,8.768921282102623,0.31227265728599574
2,0.8375834084209215,TrialState.COMPLETE,1322,8,0.012467667802655758,0.9168405711032109,0.5644750499557353,4,5.571431505633516e-05,0.0024486108773901735,2.7213210408921795
3,0.822368191653323,TrialState.COMPLETE,1325,7,0.0068204580645457435,0.7722034790698501,0.9174984819179937,17,0.00903386433325406,3.338955879740386e-06,4.170925675396343
4,0.8429920486871396,TrialState.COMPLETE,1023,5,0.156705408644091,0.6746423383957119,0.7655992562518272,9,2.0119089109228764e-06,0.015892532063632295,7.1774864127535185
5,0.8287556811671364,TrialState.COMPLETE,314,10,0.039173791596078346,0.5662745007480816,0.6377826794825746,6,1.8645119442966558,34.66509393510813,5.521367949736449
6,0.8308470759301131,TrialState.COMPLETE,1720,8,0.010397527204576111,0.8476923798923814,0.7447466699346621,2,6.892688167244673e-05,0.041744018388452916,2.1232224789021226
7,0.8262337975076746,TrialState.COMPLETE,234,6,0.021906276791688818,0.5598720003012312,0.5988671479059364,13,0.0006340656299205537,0.16238461218972172,5.2071042321447525
8,0.8291755143520582,TrialState.COMPLETE,611,6,0.05909829896383587,0.7751159540005794,0.6470174104645985,3,8.645999377798876e-07,24.01595388939117,0.8405282545483594
9,0.841381469165559,TrialState.COMPLETE,1211,2,0.11080215124045813,0.7752943923746494,0.9044844006801658,6,3.8589561223289623e-08,0.30569617150096634,8.343522717157688
10,0.824325169434974,TrialState.COMPLETE,774,10,0.025293358421772005,0.9665466716878821,0.9883130950426546,20,0.01950440504245249,1.1620090763180394e-08,5.040730441223993
11,0.8255320563495135,TrialState.COMPLETE,809,10,0.02391996240315022,0.9938419978697031,0.9844562472510731,20,0.0197101903803931,3.282728957459731e-08,4.460489782176607
12,0.8263198400280107,TrialState.COMPLETE,1969,8,0.02098666944536657,0.9904219780463286,0.9944161753572902,20,0.012344903734801887,2.5874584640181048e-08,3.705891788749244
13,0.8240864123748369,TrialState.COMPLETE,684,9,0.05868787770339997,0.8808348788624623,0.8975591730175856,16,0.00605889133783721,3.622659472449048e-06,6.490553033932844
14,0.8350911426760894,TrialState.COMPLETE,1320,7,0.0707853096970074,0.843721688606073,0.8326500126456589,16,9.288963674986874,5.523485654619977e-06,7.0430618272653716
15,0.8610682723805761,TrialState.COMPLETE,553,9,0.18555963295768277,0.8801490033009445,0.8916693195220301,16,0.001088483716996289,8.872406426906812e-06,9.653216057296863
16,0.8201582760393984,TrialState.COMPLETE,1568,7,0.04038186048055581,0.7724186308182731,0.9015934209432296,16,0.35575881381971564,1.7704196229031524e-05,6.75062155109824
17,0.8258197760962863,TrialState.COMPLETE,1547,6,0.013480315815597083,0.7266860035585296,0.8150874376484684,13,0.24870875947601567,0.0001959538503214559,3.327624011304229
18,0.8241283033422357,TrialState.COMPLETE,1912,7,0.005487128336712059,0.6294995683956357,0.9357323227820175,14,0.24516556159084632,6.322870274752866e-07,1.5562319477343398
19,0.8242302853630706,TrialState.COMPLETE,1466,5,0.0374074947441421,0.7809206403904838,0.8352619056313325,18,3.290348974798513,0.0003154667217394814,6.082275081558505
20,0.8448967146742663,TrialState.COMPLETE,1129,5,0.10513017265673215,0.7307479819895227,0.7360666458123727,14,0.5139106742313405,0.0001642464012193425,3.9661168534105413
21,0.8224372958896534,TrialState.COMPLETE,965,9,0.0545876616738076,0.8043840489916672,0.8913288999328396,17,0.003227749035438113,7.805210118010462e-07,6.593725741210307
22,0.8249551745208984,TrialState.COMPLETE,954,7,0.03946268391570661,0.8199243017686587,0.9368424455377171,18,0.001469129304040226,3.776291807700002e-07,7.9705424315756535
23,0.8295471022485389,TrialState.COMPLETE,1397,9,0.08915206971701083,0.8016661493571218,0.8507519618003909,18,0.05407060630687332,2.7953101678084167e-05,9.631245829482147
24,0.8194979994526308,TrialState.COMPLETE,1802,8,0.0316697155552587,0.729039585402955,0.9408578048610741,17,0.00046340457321786033,3.242197856409165e-07,6.230744511590236
25,0.8243285686950412,TrialState.COMPLETE,1792,7,0.017305913550564045,0.6314177532328531,0.944535742656832,15,0.00028702703848143394,1.602020542336631e-07,4.654491035382135
26,0.8234793823920595,TrialState.COMPLETE,1830,8,0.029913772388054802,0.7293625547103983,0.7796315945775689,12,8.600120908747143e-06,2.0383076832732926e-05,5.800892187462121
