number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.879870812673075,TrialState.COMPLETE,278,9,0.09959536099043625,0.9873831191106159,0.7401431484357076,7,0.0016393063355801063,1.7103116905858087e-07,5.885500028612995
1,0.8607451705388747,TrialState.COMPLETE,1890,3,0.007218715212805273,0.6864901076865964,0.9479174830460408,2,3.597756482351292,2.4069705115506095e-07,2.027854508141642
2,0.8567172471993119,TrialState.COMPLETE,1908,2,0.03339741925516462,0.9676857758357827,0.5328186382349698,6,7.733862578548788e-08,3.5932033768689336e-05,9.059164620311453
3,0.8576218567076974,TrialState.COMPLETE,1035,3,0.016211320434437026,0.7054820173474734,0.874410447318871,7,0.017082425203024075,0.0006674996286445731,1.044475576631897
4,0.8653381592344158,TrialState.COMPLETE,599,9,0.019027469370005764,0.8196230810541791,0.5234073800193761,7,0.3444686122189168,9.725788848371733e-06,5.402915979038444
5,0.8539506851871024,TrialState.COMPLETE,387,5,0.0684927472711869,0.8093251753812445,0.9730625376734858,10,3.7133580564738855e-06,0.00028447961271535466,5.136799190729833
6,0.852128135295029,TrialState.COMPLETE,703,3,0.11530131993562942,0.6177216631178264,0.6134582505295008,16,0.36168756077757747,2.2869500146233364e-07,5.051464544794312
7,0.862178548787337,TrialState.COMPLETE,767,5,0.02590865686659269,0.670155108887949,0.880314136880751,16,1.8615889142601332e-08,47.13649510843377,0.8230977567768527
8,0.859108809592679,TrialState.COMPLETE,1028,10,0.00596346842976267,0.9692577254933834,0.5399651353306094,1,0.006636372136984549,0.002032091211228032,3.3144738159437406
9,0.8506467586956726,TrialState.COMPLETE,1517,2,0.17583464926420656,0.6731836387880881,0.5811495085346379,11,0.09440848151495576,2.2746514499602415e-08,0.8403019584955285
10,0.8549439182441254,TrialState.COMPLETE,1502,7,0.17558239516249585,0.5047458653791905,0.7099967179503739,20,4.107048326039014e-05,0.2752329364584941,9.952718957576137
11,0.8718030831569372,TrialState.COMPLETE,1436,2,0.19785040730851228,0.5457031412002049,0.6630180997586044,14,0.3018692758969157,1.7623315590107922e-08,7.250337322596103
12,0.858943983490669,TrialState.COMPLETE,1393,4,0.08690113645473027,0.5985993309847653,0.6079523023548392,14,7.0393361573896005,1.2349334751550473e-08,3.3565456748651052
13,0.8523877263747772,TrialState.COMPLETE,1070,4,0.057554933604827094,0.6156120975772077,0.6059781523071082,18,0.062012812699513156,1.5019079210716205e-06,3.311119554555415
14,0.8773667952720791,TrialState.COMPLETE,1647,2,0.1296955655043991,0.7697826175860253,0.7596450934507949,11,0.0007419381190854239,8.367403373635405e-07,0.026805888195665872
15,0.8549351801058785,TrialState.COMPLETE,718,6,0.053758141660329675,0.6091947838007982,0.6163083241094626,12,0.43947025316899346,1.0350305057033416e-08,7.472338824384925
16,0.8547366333793157,TrialState.COMPLETE,1201,3,0.1255314273549072,0.7434044348716531,0.6709412239959744,16,0.0003122388868475367,1.1021556931512518e-05,4.303612737288548
17,0.8585937472904521,TrialState.COMPLETE,564,4,0.04199106199342671,0.8593603788249242,0.798091571386564,10,0.048930770796588294,0.020645386945125528,2.1227329029175057
18,0.8646607276310446,TrialState.COMPLETE,1724,7,0.13977359731112488,0.6482580380270504,0.5977518470214275,13,1.343346357809235,1.2061332928610753e-07,6.767775021813331
19,0.8603307798184066,TrialState.COMPLETE,876,3,0.09737896117852626,0.558853742119197,0.5650531713106571,17,2.327088109669597e-05,1.8465163432663462e-06,8.365898961314727
20,0.8740016189286441,TrialState.COMPLETE,1267,5,0.07589985449124886,0.734801839214222,0.5002792944704727,19,0.005596352770710577,7.673227134510608e-05,4.361322475837828
21,0.8529545545217311,TrialState.COMPLETE,1055,4,0.055992600963044814,0.6241380769607013,0.6612515384184225,18,0.05388929221848142,2.3786966219506243e-06,2.7663858219621273
22,0.8721506711026438,TrialState.COMPLETE,873,2,0.19653357424670034,0.5735604357373957,0.5953595081995577,15,0.09969286012899067,1.0667211825367551e-07,4.207094531257755
23,0.8459319559332762,TrialState.COMPLETE,1197,4,0.1341055199737513,0.5054519919044979,0.6432516291546527,18,1.3478797367798308,7.025748877551818e-07,1.5783845537142442
24,0.8547770733367497,TrialState.COMPLETE,1709,3,0.12685144804512957,0.5010772954455996,0.687978896901081,9,1.4122941618873308,7.565838657148188e-08,1.2972320481266966
25,0.8700226726115814,TrialState.COMPLETE,1277,6,0.15000003410613927,0.5328315769024625,0.6454056629814384,20,1.4453673599890924,6.549531358156261e-07,0.22218224891200777
26,0.8582002724462673,TrialState.COMPLETE,1537,2,0.10799187660150003,0.6532735647115367,0.5732137282612052,4,7.933891291900636,9.261043693993473e-06,2.2023689598446214
27,0.8515904935654651,TrialState.COMPLETE,482,4,0.08157680632602231,0.5816518686434389,0.7288885394286959,17,0.19682719424527112,4.7344175816019646e-08,1.5749436740541907
28,0.8661690122866493,TrialState.COMPLETE,413,6,0.074428495543089,0.575067877072455,0.8140598934860042,18,0.013088104274094958,3.9514987629613764e-08,1.526071253594214
29,0.8576253731214928,TrialState.COMPLETE,307,5,0.09306084680876234,0.5325782059090209,0.7352492392844518,13,0.0016285731384251803,3.770530927585031e-07,0.8702311350692167
