number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8455085369873744,TrialState.COMPLETE,1396,9,0.027646383708379817,0.8871333150431129,0.5419935269444849,13,1.995604307074251e-08,1.2645230120718768e-07,1.9271765484623016
1,0.8496277672878769,TrialState.COMPLETE,1188,9,0.01656751100439432,0.5644040026315835,0.6268162989100101,3,1.9623114193978288e-07,3.055258213550647e-06,4.428974590140809
2,0.8534975457733208,TrialState.COMPLETE,1596,3,0.006480468982568639,0.5163921698207106,0.5273969660628544,18,0.1962339800006045,0.00014826318983196058,3.0361620073071247
3,0.8476642792478386,TrialState.COMPLETE,723,4,0.0479712958427418,0.5287445671764991,0.9633050896310955,18,0.00899603719795701,1.08980658315156e-07,8.64596383201611
4,0.8555030517427135,TrialState.COMPLETE,1636,4,0.039888689660892866,0.8036223816731738,0.6184519926798515,9,8.58764899454883,0.16844873010970382,5.610297817085356
5,0.8431947221430999,TrialState.COMPLETE,1576,8,0.020134441839710204,0.8831833356016261,0.8313453788103385,18,4.721592993629224e-08,4.523826386675844e-08,8.437618456597342
6,0.8623304080080084,TrialState.COMPLETE,1605,2,0.04046770379516001,0.9970934891312329,0.7736671011128596,13,7.175635497127076e-06,2.0883068212522075e-06,3.8739628773881654
7,0.8486084471998528,TrialState.COMPLETE,1897,7,0.026806480980669418,0.7729242479544709,0.8330387506634777,9,2.674557214869321e-05,1.172242086930149e-08,4.215590207268615
8,0.8432413634341749,TrialState.COMPLETE,1210,7,0.08443142290058832,0.880484207060825,0.7644686409601991,14,1.8744126662291413e-05,10.023285908195245,0.3531604158580759
9,0.8552241906848237,TrialState.COMPLETE,679,3,0.0717725007560961,0.8292436869868918,0.9597721279408613,16,5.195216242197146e-08,0.0012842587919120506,0.255203948792756
10,0.8549658998031104,TrialState.COMPLETE,397,6,0.005026908990531837,0.6631653620277504,0.8786598497153034,1,0.0024606342053031184,26.821414492433497,8.522931376353347
11,0.8470466743042924,TrialState.COMPLETE,1112,7,0.16473582989398458,0.9402427096164512,0.7381873884967303,14,5.861823795414382e-06,4.98109175703609,6.88076972515305
12,0.8473599740290929,TrialState.COMPLETE,998,10,0.1756048038305021,0.7191594124479611,0.7228671584786195,19,0.00022444534658232632,0.008502574302884557,9.92042952660087
13,0.8473304601158255,TrialState.COMPLETE,1904,7,0.011178198004453424,0.890647661077418,0.8573540650744026,10,8.295638766176169e-07,0.2927111230444511,0.0659017864555329
14,0.8600168062426877,TrialState.COMPLETE,1346,6,0.09280601328371521,0.8818889991042197,0.6728161791073592,20,0.00023755971892961311,0.0001796406972191295,6.465292111760396
15,0.8436409235549589,TrialState.COMPLETE,929,8,0.011224373768102036,0.9965869488848172,0.8008669377992029,16,7.094218465591848e-07,0.06250257801690554,1.8196747547542365
