number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8354620949306677,TrialState.COMPLETE,1997,8,0.016570298446055735,0.9398795770368453,0.8980627147452479,2,1.2228342851333335e-06,2.9501823903671434e-05,2.8643289911512806
1,0.8452117406702672,TrialState.COMPLETE,1917,9,0.15837963978382003,0.7022633202411432,0.7769479397303178,12,0.8543914064580723,9.597220189039055e-06,5.810042391644535
2,0.8505082269186622,TrialState.COMPLETE,740,3,0.006743810608935596,0.7118640449437591,0.6989629967351069,10,0.005403975490000506,1.9196795722346793e-07,2.1309893079840347
3,0.8415507500992039,TrialState.COMPLETE,396,6,0.011751273222887,0.9247837043570779,0.8427415884740217,10,2.19620854694346e-07,1.814288812292606e-08,1.633010268430909
4,0.8583389673678603,TrialState.COMPLETE,1439,9,0.10138885039115567,0.6650048203130823,0.6320529663089349,6,0.014741380650086214,0.004470666202411991,4.410402394139341
5,0.8475107523620626,TrialState.COMPLETE,1715,3,0.025426750477911857,0.9358481309404507,0.5918106574683577,15,0.08717104389282072,0.044873815983889676,8.543506978961608
6,0.8429914330748499,TrialState.COMPLETE,1163,10,0.02297553403747603,0.9182439048566977,0.9255982186208405,3,0.00106873870221077,0.00014192720340050496,7.133683978238398
7,0.8496497007602843,TrialState.COMPLETE,998,4,0.18655466402315837,0.9701521530709565,0.7013344063955478,13,0.007981728776490924,0.00014825985584037478,0.4133956719436116
8,0.8456223231879555,TrialState.COMPLETE,598,3,0.09474354922092657,0.6087003152005273,0.6869744403338393,9,0.0002675763976504615,1.7788090531211356e-06,2.4772527433848532
9,0.8551073298895159,TrialState.COMPLETE,231,6,0.12861599067705007,0.9172537472057042,0.6929820078977339,3,3.231333152132449e-07,78.72041628702458,5.029564793545048
10,0.8495422745213417,TrialState.COMPLETE,1471,7,0.053405136555108264,0.5024881798796239,0.5003095863856597,20,1.906941158013689e-05,82.16300522266104,8.840054800506602
11,0.8386847201179549,TrialState.COMPLETE,284,6,0.008140866137527764,0.8199900897517602,0.9061961688038992,1,1.6589652576811805e-08,2.1688232952785285e-08,2.466074002658603
12,0.8337431547130937,TrialState.COMPLETE,991,7,0.006218137165368395,0.8262527059485169,0.9997168349196612,1,1.3683745491857519e-08,1.7196890539860442e-08,3.6276446472561146
13,0.8343787396986955,TrialState.COMPLETE,1023,8,0.015351691962770538,0.822668144140057,0.9930872343226753,5,2.8480490416573005e-06,0.1243386785934941,3.7238057081753357
14,0.8365677559063759,TrialState.COMPLETE,972,8,0.005683076166721096,0.8195483622482584,0.9964351496706756,6,1.0723406979555237e-08,0.5953453684019251,4.010377655024466
15,0.8438642456746418,TrialState.COMPLETE,1209,5,0.010826469471398112,0.8241516930296613,0.9817024863986802,5,7.1836436761728444e-06,0.9319834652747978,6.763339218045814
16,0.8377515174919754,TrialState.COMPLETE,786,7,0.035646973784612485,0.7622808788103053,0.9536575650452441,5,3.434899913214843e-05,0.0027647547959166133,3.783270856604976
17,0.8349935879297656,TrialState.COMPLETE,1369,10,0.005103565671238882,0.8788492343493158,0.8347967362730392,8,9.727205886537241e-08,2.5748739420002833,0.5046992244834927
18,0.8370619757813494,TrialState.COMPLETE,990,8,0.012515556782947027,0.7722630991041507,0.8554344832462188,4,2.3874190183209153e-06,0.0023797815234986733,5.5027076737729095
19,0.845854363734298,TrialState.COMPLETE,580,5,0.008624544012868001,0.8540572065913619,0.9896074023617777,1,0.00011801072959356836,1.2737484874099851e-06,3.3039169706893925
20,0.8482980804942667,TrialState.COMPLETE,1208,7,0.020230681987471882,0.991747245765541,0.9359813408272601,7,5.739319111049267e-08,0.04859847104312134,1.4089655975121325
21,0.835787463677503,TrialState.COMPLETE,1458,10,0.0059481672529752136,0.8611461186112924,0.8012345619206493,8,2.433427739400563e-07,3.043724311645422,0.03548072974577554
22,0.837145232549571,TrialState.COMPLETE,1291,9,0.00537885461756249,0.8803346991963628,0.8609497156572824,4,5.6834953111349344e-08,6.617460292361468,1.0077130821011426
23,0.8460726179906575,TrialState.COMPLETE,1625,10,0.008596683090222938,0.7921694512842058,0.7753812628016449,8,9.07755923194594e-07,0.03962577946259965,6.551000326330671
24,0.8469953592509073,TrialState.COMPLETE,882,9,0.014566283965687543,0.7342228376608184,0.8830711932357523,17,5.603145487468142e-08,17.15282879686674,4.7364689096808705
25,0.8388840699320861,TrialState.COMPLETE,1120,8,0.03604410690212897,0.8677990011021778,0.9532986802197774,12,4.595940049661272e-06,0.19953088321173676,3.4356005472053335
26,0.8332001570918853,TrialState.COMPLETE,1354,7,0.005000561349968038,0.8903173030800369,0.8228592781113626,2,3.31212902134209e-07,0.0004385220564232284,0.9076135949290016
27,0.8276339565756351,TrialState.COMPLETE,1678,7,0.008980041951600216,0.6553986525700458,0.7553367711271675,1,5.445787877532012e-07,0.0005625752049615851,1.8677324188592312
28,0.8378850969723477,TrialState.COMPLETE,1607,5,0.007475286002357993,0.5880601031590695,0.7436048416338105,1,5.905948340520724e-07,0.0006058922855141125,1.817408644264199
29,0.8305747836670822,TrialState.COMPLETE,1871,7,0.010438867305287496,0.624385052999187,0.6172097265045217,2,1.3542705591238172e-08,2.122020739867528e-05,2.8412255520611405
