family_id,source,model,n_historical,n_support,n_test,valid_pair_count,correct_pair_count,pairwise_accuracy,within_family_spearman
2006_Rezai_1|len=6|Circle,2006_Rezai_1,Sequence,7215,3,6,11,0,0.0,
2006_Rezai_1|len=6|Circle,2006_Rezai_1,Chemistry,7215,3,6,11,5,0.45454545454545453,0.12712834523274563
2006_Rezai_1|len=6|Circle,2006_Rezai_1,Chemistry + Site,7215,3,6,11,4,0.36363636363636365,-0.37032803990902063
2006_Rezai_1|len=6|Circle,2006_Rezai_1,Chemistry + Site + Context,7215,3,6,11,4,0.36363636363636365,-0.37032803990902063
2006_Rezai_1|len=6|Circle,2006_Rezai_1,ECFP,7215,3,6,11,0,0.0,
2013_CHUGAI|len=13|Lariat,2013_CHUGAI,Sequence,7057,50,117,6672,5023,0.752847721822542,0.6764777200139563
2013_CHUGAI|len=13|Lariat,2013_CHUGAI,Chemistry,7057,50,117,6672,5233,0.7843225419664268,0.7523567531883071
2013_CHUGAI|len=13|Lariat,2013_CHUGAI,Chemistry + Site,7057,50,117,6672,5113,0.7663369304556354,0.7185654151986671
2013_CHUGAI|len=13|Lariat,2013_CHUGAI,Chemistry + Site + Context,7057,50,117,6672,5208,0.7805755395683454,0.7460747757647495
2013_CHUGAI|len=13|Lariat,2013_CHUGAI,ECFP,7057,50,117,6672,4523,0.6779076738609112,0.49529697243568016
2013_CHUGAI|len=12|Lariat,2013_CHUGAI,Sequence,7030,58,136,9054,6043,0.6674398056107798,0.4808733219517956
2013_CHUGAI|len=12|Lariat,2013_CHUGAI,Chemistry,7030,58,136,9054,6451,0.7125027612105147,0.5898987700507549
2013_CHUGAI|len=12|Lariat,2013_CHUGAI,Chemistry + Site,7030,58,136,9054,6414,0.7084161696487741,0.5817105288543984
2013_CHUGAI|len=12|Lariat,2013_CHUGAI,Chemistry + Site + Context,7030,58,136,9054,6548,0.7232162580075104,0.6148578690959356
2013_CHUGAI|len=12|Lariat,2013_CHUGAI,ECFP,7030,58,136,9054,5150,0.5688093660260658,0.2031601469029118
2013_CHUGAI|len=11|Lariat,2013_CHUGAI,Sequence,7108,34,82,3288,2328,0.708029197080292,0.5504582275346188
2013_CHUGAI|len=11|Lariat,2013_CHUGAI,Chemistry,7108,34,82,3288,2603,0.7916666666666666,0.7802068694133413
2013_CHUGAI|len=11|Lariat,2013_CHUGAI,Chemistry + Site,7108,34,82,3288,2539,0.7722019464720195,0.7380737433781508
2013_CHUGAI|len=11|Lariat,2013_CHUGAI,Chemistry + Site + Context,7108,34,82,3288,2484,0.7554744525547445,0.6687714490898266
2013_CHUGAI|len=11|Lariat,2013_CHUGAI,ECFP,7108,34,82,3288,2167,0.6590632603406326,0.4515170448581502
2013_CHUGAI|len=10|Lariat,2013_CHUGAI,Sequence,7150,22,52,1315,766,0.5825095057034221,0.18804401298553836
2013_CHUGAI|len=10|Lariat,2013_CHUGAI,Chemistry,7150,22,52,1315,893,0.6790874524714829,0.5059790737050862
2013_CHUGAI|len=10|Lariat,2013_CHUGAI,Chemistry + Site,7150,22,52,1315,825,0.6273764258555133,0.36620049517592107
2013_CHUGAI|len=10|Lariat,2013_CHUGAI,Chemistry + Site + Context,7150,22,52,1315,837,0.6365019011406844,0.3894583988241065
2013_CHUGAI|len=10|Lariat,2013_CHUGAI,ECFP,7150,22,52,1315,853,0.6486692015209126,0.4602079828366141
2013_CHUGAI|len=14|Lariat,2013_CHUGAI,Sequence,7107,35,82,3259,2528,0.7756980668916845,0.7227099239038296
2013_CHUGAI|len=14|Lariat,2013_CHUGAI,Chemistry,7107,35,82,3259,2526,0.7750843817121816,0.729952685203551
2013_CHUGAI|len=14|Lariat,2013_CHUGAI,Chemistry + Site,7107,35,82,3259,2522,0.7738570113531759,0.7273021892526524
