representation_id,group,mean,sample_sd,ci95_low,ci95_high,n_seeds
A,A,1.0,0.0,1.0,1.0,5
A,B,0.0,0.0,0.0,0.0,5
A,C,0.0,0.0,0.0,0.0,5
A+B,A,0.44992310404777525,0.022888306062179873,0.4215035184304975,0.478342689665053,5
A+B,B,0.5500768780708313,0.022888303034301262,0.5216572962131614,0.5784964599285012,5
A+B,C,0.0,0.0,0.0,0.0,5
A+B+C,A,0.3557987451553345,0.014270704676230787,0.3380793249298606,0.3735181653808084,5
A+B+C,B,0.3710601806640625,0.01433747978402956,0.35325784819125866,0.3888625131368663,5
A+B+C,C,0.2731411039829254,0.0024985928091103456,0.27003869124568225,0.27624351672016856,5
B,A,0.0,0.0,0.0,0.0,5
B,B,0.9999999761581421,3.264680847556389e-08,0.9999999356217754,1.0000000166945089,5
B,C,0.0,0.0,0.0,0.0,5
