representation_id,representation,seed,group,attribution_proportion,n_explained,evaluation_population,shap_method
A,Contexthemistry,0,A,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,0,B1,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,0,B2,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,0,B3,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,0,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,0,B,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,1,A,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,1,B1,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,1,B2,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,1,B3,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,1,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,1,B,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,2,A,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,2,B1,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,2,B2,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,2,B3,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,2,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,2,B,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,3,A,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,3,B1,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,3,B2,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,3,B3,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,3,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,3,B,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,4,A,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,4,B1,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,4,B2,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,4,B3,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,4,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A,Contexthemistry,4,B,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,0,A,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,0,B1,0.3739526,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,0,B2,0.360354,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,0,B3,0.26569337,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,0,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,0,B,0.99999994,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,1,A,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,1,B1,0.40781185,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,1,B2,0.34405324,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,1,B3,0.2481349,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,1,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,1,B,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,2,A,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,2,B1,0.403212,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,2,B2,0.33678228,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,2,B3,0.26000568,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,2,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,2,B,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,3,A,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,3,B1,0.36235723,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,3,B2,0.37914422,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,3,B3,0.25849858,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,3,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,3,B,1.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,A,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,B1,0.40424937,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,B2,0.33864594,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,B3,0.25710464,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,B,0.99999994,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,A,0.4260073,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B1,0.24378316,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B2,0.16245124,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B3,0.16775821,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
