representation_id,group,mean,sample_sd,ci95_low,ci95_high,n_seeds
A,B1,0.0,0.0,0.0,0.0,5
A,B2,0.0,0.0,0.0,0.0,5
A,B3,0.0,0.0,0.0,0.0,5
A+B,B1,0.21933201253414153,0.0325349414925924,0.17893454699912364,0.2597294780691594,5
A+B,B2,0.15644823312759398,0.01326772546267309,0.1399741760825414,0.17292229017264657,5
A+B,B3,0.17429662644863128,0.004845718920502621,0.16827987171962835,0.1803133811776342,5
A+B+C,B1,0.14546468555927278,0.014233408510098465,0.1277915746405564,0.16313779647798915,5
A+B+C,B2,0.1333692654967308,0.0095054203802704,0.1215667272227567,0.14517180377070493,5
A+B+C,B3,0.0922008827328682,0.00839193928034138,0.08178091385335629,0.1026208516123801,5
B,B1,0.3903166115283966,0.020712342311057157,0.3645988417622843,0.41603438129450887,5
B,B2,0.35179593563079836,0.01788470816291734,0.3295891373865229,0.3740027338750738,5
B,B3,0.2578874319791794,0.00635448320045856,0.24999729896197936,0.26577756499637945,5
