feature_system,descriptor_name,dimension,input_object,calculation_level,aggregation,edit_type_indicators,missing_value_handling,feature_scaling,constant_feature_removal,exact_overlap_after_prefix_removal
Group A,mol_weight,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,logp,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,tpsa,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_h_acceptors,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_h_donors,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_rotatable_bonds,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_aromatic_rings,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_aliphatic_rings,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_edits,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,True,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,num_edit_families,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,True,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_count_total,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_count_unique,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_density,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_pos_mean,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_pos_std,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_pos_range,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_A,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_C,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_D,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_E,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_F,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_G,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
Group A,anchor_res_H,73,full peptide SMILES plus parsed edit records,full-molecule plus edit-count,none,False,non-finite to zero in benchmark,none for XGBoost,none,False
