cutoff,source,test_n,test_fraction
2020,2020_Townsend,1529,0.573088455772114
2020,2021_Kelly,760,0.2848575712143928
2020,2024_Faris,118,0.04422788605697151
2020,2022_Bhardwaj,67,0.025112443778110945
2020,2024_Koch,34,0.012743628185907047
2020,2022_Taechalertpaisarn,29,0.010869565217391304
2020,2021_Comeau,25,0.009370314842578711
2020,2020_Furukawa,20,0.0074962518740629685
2020,2023_Ghosh,17,0.006371814092953523
2020,2020_Barlow,14,0.005247376311844078
2020,2021_Golosov,13,0.004872563718140929
2020,2021_Wang,12,0.004497751124437781
2020,2022_Lee,11,0.004122938530734633
2020,2024_Otani,5,0.0018740629685157421
2020,2022_Tamura,4,0.0014992503748125937
2020,2020_Hosono,4,0.0014992503748125937
2020,2022_Saunders,3,0.0011244377811094452
2020,2021_Lee,2,0.0007496251874062968
2020,2024_Bergeron,1,0.0003748125937031484
2021,2021_Kelly,757,0.6957720588235294
2021,2024_Faris,109,0.10018382352941177
2021,2022_Bhardwaj,66,0.06066176470588235
2021,2024_Koch,33,0.030330882352941176
2021,2021_Comeau,26,0.02389705882352941
2021,2022_Taechalertpaisarn,23,0.021139705882352942
2021,2023_Ghosh,16,0.014705882352941176
2021,2022_Lee,15,0.013786764705882353
2021,2021_Wang,13,0.011948529411764705
2021,2021_Golosov,12,0.011029411764705883
2021,2022_Tamura,7,0.006433823529411764
2021,2024_Otani,5,0.004595588235294118
2021,2021_Lee,3,0.0027573529411764708
2021,2022_Saunders,2,0.001838235294117647
2021,2024_Bergeron,1,0.0009191176470588235
2023,2024_Faris,118,0.6982248520710059
2023,2024_Koch,26,0.15384615384615385
2023,2023_Ghosh,18,0.10650887573964497
2023,2024_Otani,6,0.03550295857988166
2023,2024_Bergeron,1,0.005917159763313609
