sample_id,sequence_cluster_id
CYCPEPTMPDB_PAMPA_000546,0
CYCPEPTMPDB_PAMPA_000548,1
CYCPEPTMPDB_PAMPA_000549,2
CYCPEPTMPDB_PAMPA_000550,3
CYCPEPTMPDB_PAMPA_000552,3
CYCPEPTMPDB_PAMPA_000600,4
CYCPEPTMPDB_PAMPA_000606,5
CYCPEPTMPDB_PAMPA_000611,6
CYCPEPTMPDB_PAMPA_000613,6
CYCPEPTMPDB_PAMPA_000870,7
CYCPEPTMPDB_PAMPA_000871,8
CYCPEPTMPDB_PAMPA_000872,9
CYCPEPTMPDB_PAMPA_000873,10
CYCPEPTMPDB_PAMPA_000879,11
CYCPEPTMPDB_PAMPA_000880,12
CYCPEPTMPDB_PAMPA_000881,13
CYCPEPTMPDB_PAMPA_000882,14
CYCPEPTMPDB_PAMPA_000883,15
CYCPEPTMPDB_PAMPA_000884,16
CYCPEPTMPDB_PAMPA_000885,17
CYCPEPTMPDB_PAMPA_000886,18
CYCPEPTMPDB_PAMPA_000887,19
CYCPEPTMPDB_PAMPA_000890,19
CYCPEPTMPDB_PAMPA_000888,20
CYCPEPTMPDB_PAMPA_000889,21
CYCPEPTMPDB_PAMPA_000891,22
CYCPEPTMPDB_PAMPA_000896,22
CYCPEPTMPDB_PAMPA_000894,23
CYCPEPTMPDB_PAMPA_000922,24
CYCPEPTMPDB_PAMPA_000923,24
CYCPEPTMPDB_PAMPA_000035,25
CYCPEPTMPDB_PAMPA_000036,26
CYCPEPTMPDB_PAMPA_000161,27
CYCPEPTMPDB_PAMPA_000163,27
CYCPEPTMPDB_PAMPA_000165,27
CYCPEPTMPDB_PAMPA_000162,28
CYCPEPTMPDB_PAMPA_000168,28
CYCPEPTMPDB_PAMPA_000164,29
CYCPEPTMPDB_PAMPA_000166,30
CYCPEPTMPDB_PAMPA_000167,31
CYCPEPTMPDB_PAMPA_000263,31
CYCPEPTMPDB_PAMPA_000169,32
CYCPEPTMPDB_PAMPA_000170,33
CYCPEPTMPDB_PAMPA_000187,34
CYCPEPTMPDB_PAMPA_000188,34
CYCPEPTMPDB_PAMPA_000192,34
CYCPEPTMPDB_PAMPA_000189,35
CYCPEPTMPDB_PAMPA_000487,35
CYCPEPTMPDB_PAMPA_000190,36
CYCPEPTMPDB_PAMPA_000284,36
CYCPEPTMPDB_PAMPA_000195,36
CYCPEPTMPDB_PAMPA_000191,37
CYCPEPTMPDB_PAMPA_000279,37
CYCPEPTMPDB_PAMPA_000262,38
CYCPEPTMPDB_PAMPA_000264,39
CYCPEPTMPDB_PAMPA_000265,40
CYCPEPTMPDB_PAMPA_000266,41
CYCPEPTMPDB_PAMPA_000267,42
CYCPEPTMPDB_PAMPA_000268,43
CYCPEPTMPDB_PAMPA_000269,44
CYCPEPTMPDB_PAMPA_000270,45
CYCPEPTMPDB_PAMPA_000273,45
CYCPEPTMPDB_PAMPA_000276,45
CYCPEPTMPDB_PAMPA_000173,45
CYCPEPTMPDB_PAMPA_000271,46
CYCPEPTMPDB_PAMPA_000485,46
CYCPEPTMPDB_PAMPA_000275,46
CYCPEPTMPDB_PAMPA_000277,47
CYCPEPTMPDB_PAMPA_000281,48
CYCPEPTMPDB_PAMPA_000282,49
CYCPEPTMPDB_PAMPA_000440,49
CYCPEPTMPDB_PAMPA_000286,50
CYCPEPTMPDB_PAMPA_000287,51
CYCPEPTMPDB_PAMPA_000328,52
CYCPEPTMPDB_PAMPA_000330,52
CYCPEPTMPDB_PAMPA_000429,52
CYCPEPTMPDB_PAMPA_000331,52
CYCPEPTMPDB_PAMPA_000346,52
CYCPEPTMPDB_PAMPA_000329,53
CYCPEPTMPDB_PAMPA_000332,54
CYCPEPTMPDB_PAMPA_000344,55
CYCPEPTMPDB_PAMPA_000345,56
CYCPEPTMPDB_PAMPA_000347,57
CYCPEPTMPDB_PAMPA_000351,58
CYCPEPTMPDB_PAMPA_000352,59
CYCPEPTMPDB_PAMPA_000373,60
CYCPEPTMPDB_PAMPA_000374,61
CYCPEPTMPDB_PAMPA_000375,62
CYCPEPTMPDB_PAMPA_000377,63
CYCPEPTMPDB_PAMPA_000488,63
CYCPEPTMPDB_PAMPA_000378,64
CYCPEPTMPDB_PAMPA_000379,65
CYCPEPTMPDB_PAMPA_000427,66
CYCPEPTMPDB_PAMPA_000428,67
CYCPEPTMPDB_PAMPA_000434,68
CYCPEPTMPDB_PAMPA_000493,68
CYCPEPTMPDB_PAMPA_000436,69
CYCPEPTMPDB_PAMPA_000438,70
CYCPEPTMPDB_PAMPA_000439,71
CYCPEPTMPDB_PAMPA_000441,72
CYCPEPTMPDB_PAMPA_000443,73
CYCPEPTMPDB_PAMPA_000444,74
CYCPEPTMPDB_PAMPA_000467,75
CYCPEPTMPDB_PAMPA_000468,76
CYCPEPTMPDB_PAMPA_000479,77
CYCPEPTMPDB_PAMPA_000480,78
CYCPEPTMPDB_PAMPA_000481,79
CYCPEPTMPDB_PAMPA_000482,80
CYCPEPTMPDB_PAMPA_000483,81
CYCPEPTMPDB_PAMPA_000484,82
CYCPEPTMPDB_PAMPA_000486,83
CYCPEPTMPDB_PAMPA_000489,84
CYCPEPTMPDB_PAMPA_000490,85
CYCPEPTMPDB_PAMPA_000491,86
CYCPEPTMPDB_PAMPA_000492,87
CYCPEPTMPDB_PAMPA_000494,88
CYCPEPTMPDB_PAMPA_000538,89
CYCPEPTMPDB_PAMPA_000542,90
CYCPEPTMPDB_PAMPA_000547,91
CYCPEPTMPDB_PAMPA_000551,92
CYCPEPTMPDB_PAMPA_000221,92
CYCPEPTMPDB_PAMPA_000227,92
CYCPEPTMPDB_PAMPA_000560,93
CYCPEPTMPDB_PAMPA_000562,93
CYCPEPTMPDB_PAMPA_000564,93
CYCPEPTMPDB_PAMPA_000566,93
CYCPEPTMPDB_PAMPA_000568,93
CYCPEPTMPDB_PAMPA_000561,94
CYCPEPTMPDB_PAMPA_000563,95
CYCPEPTMPDB_PAMPA_000565,96
CYCPEPTMPDB_PAMPA_000567,97
CYCPEPTMPDB_PAMPA_000601,98
CYCPEPTMPDB_PAMPA_000607,99
CYCPEPTMPDB_PAMPA_000608,100
CYCPEPTMPDB_PAMPA_000612,101
CYCPEPTMPDB_PAMPA_000860,102
CYCPEPTMPDB_PAMPA_000861,103
CYCPEPTMPDB_PAMPA_000862,104
CYCPEPTMPDB_PAMPA_000863,105
CYCPEPTMPDB_PAMPA_000864,106
CYCPEPTMPDB_PAMPA_000874,107
CYCPEPTMPDB_PAMPA_000544,107
CYCPEPTMPDB_PAMPA_000875,108
CYCPEPTMPDB_PAMPA_000876,109
CYCPEPTMPDB_PAMPA_000877,110
CYCPEPTMPDB_PAMPA_000878,111
CYCPEPTMPDB_PAMPA_000892,112
CYCPEPTMPDB_PAMPA_000893,113
CYCPEPTMPDB_PAMPA_000895,114
CYCPEPTMPDB_PAMPA_000932,115
CYCPEPTMPDB_PAMPA_000021,116
CYCPEPTMPDB_PAMPA_000022,117
CYCPEPTMPDB_PAMPA_000023,118
CYCPEPTMPDB_PAMPA_000745,118
CYCPEPTMPDB_PAMPA_000024,119
CYCPEPTMPDB_PAMPA_000026,119
CYCPEPTMPDB_PAMPA_000025,120
CYCPEPTMPDB_PAMPA_000030,121
CYCPEPTMPDB_PAMPA_000044,122
CYCPEPTMPDB_PAMPA_000045,123
CYCPEPTMPDB_PAMPA_000046,124
CYCPEPTMPDB_PAMPA_000047,125
CYCPEPTMPDB_PAMPA_000048,126
CYCPEPTMPDB_PAMPA_000049,127
CYCPEPTMPDB_PAMPA_000199,127
CYCPEPTMPDB_PAMPA_000050,128
CYCPEPTMPDB_PAMPA_000078,128
CYCPEPTMPDB_PAMPA_000052,129
CYCPEPTMPDB_PAMPA_000053,130
CYCPEPTMPDB_PAMPA_000692,130
CYCPEPTMPDB_PAMPA_000054,131
CYCPEPTMPDB_PAMPA_000075,131
CYCPEPTMPDB_PAMPA_000055,132
CYCPEPTMPDB_PAMPA_000073,133
CYCPEPTMPDB_PAMPA_000074,134
CYCPEPTMPDB_PAMPA_000076,135
CYCPEPTMPDB_PAMPA_000204,135
CYCPEPTMPDB_PAMPA_000077,136
CYCPEPTMPDB_PAMPA_000694,136
CYCPEPTMPDB_PAMPA_000079,137
