split,feature_set_id,seed,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,seed_bootstrap,interval
random,A,0,r2,0.4299771026877144,0.3594259568196447,0.5193824550473206,unique peptide sequence,2000,20260717,percentile
random,A,0,rmse,0.8625572526607316,0.6993435675262746,1.016368205285093,unique peptide sequence,2000,20260717,percentile
random,A,0,mae,0.5254368456557397,0.45102054998179714,0.6099959091300808,unique peptide sequence,2000,20260717,percentile
random,A,0,spearman,0.7152171795273617,0.6688035857977371,0.766722119482896,unique peptide sequence,2000,20260717,percentile
random,A,1,r2,0.40954852991572765,0.3362073420284097,0.4967423933899193,unique peptide sequence,2000,20260717,percentile
random,A,1,rmse,0.8778774322912306,0.7293279977110733,1.029924106839356,unique peptide sequence,2000,20260717,percentile
random,A,1,mae,0.5368331982809174,0.46724627679577446,0.6200653224944476,unique peptide sequence,2000,20260717,percentile
random,A,1,spearman,0.7013795466674821,0.6550170139707113,0.7536728503742378,unique peptide sequence,2000,20260717,percentile
random,A,2,r2,0.43119352157940216,0.35958700349013495,0.5253340605475787,unique peptide sequence,2000,20260717,percentile
random,A,2,rmse,0.86163642009381,0.701158614755116,1.0167730823362449,unique peptide sequence,2000,20260717,percentile
random,A,2,mae,0.5250372009256811,0.451982944215375,0.6092985184333303,unique peptide sequence,2000,20260717,percentile
random,A,2,spearman,0.718416495423739,0.6715442184283935,0.7721239372952937,unique peptide sequence,2000,20260717,percentile
random,A,3,r2,0.4331853753031548,0.3633489250899427,0.5271927756437869,unique peptide sequence,2000,20260717,percentile
random,A,3,rmse,0.8601264523690189,0.7041977593179172,1.0160159050452229,unique peptide sequence,2000,20260717,percentile
random,A,3,mae,0.5247425342186138,0.45306871062626364,0.6103104808186134,unique peptide sequence,2000,20260717,percentile
random,A,3,spearman,0.7189718244312491,0.6725125376560163,0.7710115809306789,unique peptide sequence,2000,20260717,percentile
random,A,4,r2,0.4227178503133455,0.34853743206229276,0.5047541036709864,unique peptide sequence,2000,20260717,percentile
random,A,4,rmse,0.868032218318476,0.7171610191769178,1.0189267174575884,unique peptide sequence,2000,20260717,percentile
random,A,4,mae,0.5294251381001784,0.45757812634737405,0.6148283216941591,unique peptide sequence,2000,20260717,percentile
random,A,4,spearman,0.7178533139252391,0.6706616828880839,0.7694573633334781,unique peptide sequence,2000,20260717,percentile
random,B,0,r2,0.32843005709541573,0.2476562352215112,0.42493276223974996,unique peptide sequence,2000,20260717,percentile
random,B,0,rmse,0.9362404608462718,0.7826023593261214,1.0898949247311702,unique peptide sequence,2000,20260717,percentile
random,B,0,mae,0.613997899216893,0.5350237392635614,0.7082424068473604,unique peptide sequence,2000,20260717,percentile
random,B,0,spearman,0.6112885819783025,0.5555504060112669,0.6732182755065023,unique peptide sequence,2000,20260717,percentile
random,B,1,r2,0.25733792020728885,0.1527337376715377,0.369455364882942,unique peptide sequence,2000,20260717,percentile
random,B,1,rmse,0.984549158509818,0.8226519354301778,1.1418615713143558,unique peptide sequence,2000,20260717,percentile
random,B,1,mae,0.6413298076587154,0.5555265035291335,0.7389417453054747,unique peptide sequence,2000,20260717,percentile
random,B,1,spearman,0.5932181334540219,0.5355909614246447,0.6540324551217995,unique peptide sequence,2000,20260717,percentile
random,B,2,r2,0.2714060736131696,0.17356442633920677,0.3838494817665016,unique peptide sequence,2000,20260717,percentile
random,B,2,rmse,0.9751794794009753,0.8173648245799433,1.1346417112955176,unique peptide sequence,2000,20260717,percentile
random,B,2,mae,0.6319494429767535,0.5503139905406553,0.7264386574216195,unique peptide sequence,2000,20260717,percentile
random,B,2,spearman,0.5987748895296502,0.5405180955649367,0.6623143901839228,unique peptide sequence,2000,20260717,percentile
random,B,3,r2,0.33416289584622394,0.25833105369680714,0.4290871542526326,unique peptide sequence,2000,20260717,percentile
random,B,3,rmse,0.9322358003563198,0.7768115128265904,1.0808891216130492,unique peptide sequence,2000,20260717,percentile
random,B,3,mae,0.5989446965396809,0.5201105218198803,0.6878590513732337,unique peptide sequence,2000,20260717,percentile
random,B,3,spearman,0.6222475685072515,0.5706712366844385,0.6837667506032921,unique peptide sequence,2000,20260717,percentile
random,B,4,r2,0.2697909974954861,0.1723147044129293,0.3838960071121574,unique peptide sequence,2000,20260717,percentile
random,B,4,rmse,0.9762597225762498,0.8164086750476437,1.131012014791002,unique peptide sequence,2000,20260717,percentile
random,B,4,mae,0.6415015184085491,0.5584417458944854,0.737499482359397,unique peptide sequence,2000,20260717,percentile
random,B,4,spearman,0.5916852193072903,0.5366630570132305,0.6529889539484711,unique peptide sequence,2000,20260717,percentile
random,C,0,r2,0.27650662335686527,0.20324595338410045,0.34694403839298005,unique peptide sequence,2000,20260717,percentile
random,C,0,rmse,0.9717600938201542,0.8289618031139698,1.1351436623513995,unique peptide sequence,2000,20260717,percentile
random,C,0,mae,0.6253276701131972,0.5550411801056729,0.7156134392988792,unique peptide sequence,2000,20260717,percentile
random,C,0,spearman,0.5664544430173784,0.5155128984874405,0.6299884394182075,unique peptide sequence,2000,20260717,percentile
