family,split,comparison,metric,mean_difference,sample_sd,ci95_low,ci95_high,ci_excludes_zero,seed_differences_json,test,p_value_unadjusted,n_pairs,p_value_holm,interpretation
primary,random,Chemistry + Site + Context minus Chemistry,r2,0.04119903438928232,0.006115574426817885,0.03360554579516691,0.04879252298339772,True,"[0.04360873381676256, 0.05073665503807068, 0.03780067961470113, 0.035385570862963456, 0.038463532613913776]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
primary,random,Chemistry + Site + Context minus Chemistry,rmse,-0.03160703102274735,0.00453508231013866,-0.037238079456137295,-0.02597598258935741,True,"[-0.03365071790090013, -0.03856443141500687, -0.02912267521204781, -0.02728098282332847, -0.0294163477624535]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
primary,random,Chemistry + Site + Context minus Chemistry,mae,-0.026401713239727,0.0029822573424221803,-0.03010467481519146,-0.022698751664262537,True,"[-0.026799731103544888, -0.02840727124743825, -0.027300543305244507, -0.021205519699261877, -0.02829550084314547]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
primary,random,Chemistry + Site + Context minus Chemistry,spearman,0.02514198958249838,0.006271397772960998,0.017355020749397432,0.03292895841559933,True,"[0.029593756802127613, 0.03087240516321177, 0.02635003303970207, 0.015068644509902973, 0.02382510839754748]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
primary,random,Chemistry + Site minus Chemistry,r2,0.020659409761924576,0.024924740707431635,-0.010288743439057162,0.05160756296290631,False,"[0.008534657775705945, 0.05874866342107654, 0.021000119208862023, 0.02395477965999837, -0.008941171256020009]",exact paired sign-flip permutation,0.1875,5,1.0,inconclusive
primary,random,Chemistry + Site minus Chemistry,rmse,-0.015805913686302263,0.018984274365562704,-0.03937800369804412,0.007766176325439595,False,"[-0.006481664779133034, -0.044817480258921516, -0.01605522656136027, -0.018371578320760307, 0.006696381488663805]",exact paired sign-flip permutation,0.1875,5,1.0,inconclusive
primary,random,Chemistry + Site minus Chemistry,mae,-0.012521404408091375,0.015444166467327294,-0.03169786989283752,0.006655061076654771,False,"[0.0002698619925683987, -0.03500267433101434, -0.016901282587583277, -0.014621588066059288, 0.0036486609516316326]",exact paired sign-flip permutation,0.25,5,1.0,inconclusive
primary,random,Chemistry + Site minus Chemistry,spearman,0.01796936545013108,0.015663408221019397,-0.0014793246270776127,0.037418055527339775,False,"[0.011688874531149862, 0.04115888701803794, 0.023973295972964936, 0.013779998290814666, -0.0007542285623119982]",exact paired sign-flip permutation,0.125,5,1.0,inconclusive
primary,random,Chemistry + Site + Context minus Chemistry + Site,r2,0.020539624627357745,0.02147748795699535,-0.006128198940698347,0.04720744819541384,False,"[0.03507407604105661, -0.008012008383005864, 0.016800560405839104, 0.011430791202965085, 0.047404703869933784]",exact paired sign-flip permutation,0.125,5,1.0,inconclusive
primary,random,Chemistry + Site + Context minus Chemistry + Site,rmse,-0.01580111733644509,0.016455595087769517,-0.03623343732594725,0.004631202653057068,False,"[-0.027169053121767095, 0.006253048843914644, -0.013067448650687541, -0.008909404502568163, -0.036112729251117304]",exact paired sign-flip permutation,0.125,5,1.0,inconclusive
primary,random,Chemistry + Site + Context minus Chemistry + Site,mae,-0.013880308831635624,0.01569131605308773,-0.03336365105919148,0.005603033395920229,False,"[-0.027069593096113287, 0.00659540308357609, -0.01039926071766123, -0.006583931633202589, -0.031944161794777104]",exact paired sign-flip permutation,0.1875,5,1.0,inconclusive
primary,random,Chemistry + Site + Context minus Chemistry + Site,spearman,0.0071726241323673,0.01396976312357192,-0.010173127801606549,0.02451837606634115,False,"[0.01790488227097775, -0.010286481854826168, 0.0023767370667371335, 0.0012886462190883075, 0.024579336959859477]",exact paired sign-flip permutation,0.3125,5,1.0,inconclusive
primary,random,Chemistry + Context minus Chemistry,r2,-0.011241523332218794,0.020272729045913207,-0.03641344113386902,0.013930394469431426,False,"[-0.004568160646982955, -0.021913105907440333, -0.0008455798881510379, -0.04048819359920863, 0.011607423380688986]",exact paired sign-flip permutation,0.3125,5,1.0,inconclusive
primary,random,Chemistry + Context minus Chemistry,rmse,0.008330050074523676,0.015118576165030135,-0.01044214165369581,0.027102241802743163,False,"[0.003449367740163689, 0.016141694889930003, 0.0006402105824077076, 0.030190061462324058, -0.008771084302207077]",exact paired sign-flip permutation,0.3125,5,1.0,inconclusive
primary,random,Chemistry + Context minus Chemistry,mae,-0.006804053946461397,0.005636856156220562,-0.013803135298693734,0.00019502740577094068,False,"[-0.006063469895148832, -0.007972024731042304, -0.009576870717685648, 0.00229187346848303, -0.01269977785691323]",exact paired sign-flip permutation,0.125,5,1.0,inconclusive
primary,random,Chemistry + Context minus Chemistry,spearman,-0.0025951873644577184,0.005630416752563767,-0.009586273140999512,0.004395898412084074,False,"[0.0007566514202096419, -0.0005726668302753479, 0.0018220077464654594, -0.012183089735232855, -0.0027988394234554903]",exact paired sign-flip permutation,0.4375,5,1.0,inconclusive
primary,random,Site + Context minus Site,r2,0.08662385469643097,0.03624997695760535,0.0416135633724563,0.13163414602040563,True,"[0.05622172982441953, 0.12921248137271124, 0.12140854730794115, 0.053013001780584657, 0.07326351319649826]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
primary,random,Site + Context minus Site,rmse,-0.06057681966484234,0.02493614063971714,-0.09153912775132494,-0.029614511578359724,True,"[-0.04004600586281282, -0.08973834486146026, -0.0849490537010954, -0.03788129426257025, -0.05026939963627297]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
primary,random,Site + Context minus Site,mae,-0.054725153980605915,0.01771047355657588,-0.076715611386946,-0.03273469657426582,True,"[-0.04614572567106634, -0.07438849364435585, -0.06921478193706376, -0.030592951261953938, -0.05328381738858967]",exact paired sign-flip permutation,0.0625,5,1.0,supported directional difference
