split,feature_set_id,feature_set,estimator,seed,r2,rmse,mae,spearman,validation_score,runtime_seconds,status,prediction_file,source,best_params_json
random,A,Chemistry,XGBoost,0,0.4299771026877144,0.8625572526607316,0.5254368456557397,0.7152171795273617,0.8811339380748967,,completed_reused,results/benchmark/random/seed_0/chem_A_xgb/predictions.csv,results/benchmark/random/seed_0/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.8178949783520619, ""gamma"": 0.01550526194835855, ""learning_rate"": 0.07252841858859484, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 980, ""reg_alpha"": 7.742042019037326e-05, ""reg_lambda"": 0.2274893708927674, ""subsample"": 0.930485288582931}"
random,A,Chemistry,XGBoost,1,0.40954852991572765,0.8778774322912306,0.5368331982809174,0.7013795466674821,0.9094903936057545,,completed_reused,results/benchmark/random/seed_1/chem_A_xgb/predictions.csv,results/benchmark/random/seed_1/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.6737781316832134, ""gamma"": 0.05929518431384032, ""learning_rate"": 0.07642355715984643, ""max_depth"": 7, ""min_child_weight"": 2, ""n_estimators"": 1134, ""reg_alpha"": 0.0007524235483989627, ""reg_lambda"": 1.3923022597646362, ""subsample"": 0.8528177348068894}"
random,A,Chemistry,XGBoost,2,0.43119352157940216,0.86163642009381,0.5250372009256811,0.718416495423739,0.8782945332768913,,completed_reused,results/benchmark/random/seed_2/chem_A_xgb/predictions.csv,results/benchmark/random/seed_2/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.6683598461587876, ""gamma"": 0.7052124242635367, ""learning_rate"": 0.08822833986489621, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 603, ""reg_alpha"": 0.05128722736890492, ""reg_lambda"": 1.0417315354603788e-08, ""subsample"": 0.6823547681025427}"
random,A,Chemistry,XGBoost,3,0.4331853753031548,0.8601264523690189,0.5247425342186138,0.7189718244312491,0.8701685192742118,,completed_reused,results/benchmark/random/seed_3/chem_A_xgb/predictions.csv,results/benchmark/random/seed_3/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.6880738408384546, ""gamma"": 0.17377193047833878, ""learning_rate"": 0.02235075408394498, ""max_depth"": 6, ""min_child_weight"": 8, ""n_estimators"": 1437, ""reg_alpha"": 1.917734641921136e-05, ""reg_lambda"": 8.50163511363795e-06, ""subsample"": 0.931006778339337}"
random,A,Chemistry,XGBoost,4,0.42271785031334563,0.868032218318476,0.5294251381001784,0.7178533139252391,0.8766640599558297,,completed_reused,results/benchmark/random/seed_4/chem_A_xgb/predictions.csv,results/benchmark/random/seed_4/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.5782690801280866, ""gamma"": 0.036619955457372066, ""learning_rate"": 0.15149511969304638, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 582, ""reg_alpha"": 7.54621917615737e-08, ""reg_lambda"": 0.022774908490912182, ""subsample"": 0.9025344103724946}"
random,A+B,Chemistry + Site,XGBoost,0,0.43851176046342033,0.8560755878815985,0.5257067076483081,0.7269060540585116,0.8566635442560011,,completed_reused,results/benchmark/random/seed_0/chem_site_AB_xgb/predictions.csv,results/benchmark/random/seed_0/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.6090708369846501, ""gamma"": 0.011003315335674238, ""learning_rate"": 0.13773880549853398, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 1381, ""reg_alpha"": 1.2819337647255962e-06, ""reg_lambda"": 55.66186754035031, ""subsample"": 0.9974006241958564}"
random,A+B,Chemistry + Site,XGBoost,1,0.4682971933368042,0.8330599520323091,0.501830523949903,0.7425384336855201,0.8281514735586168,,completed_reused,results/benchmark/random/seed_1/chem_site_AB_xgb/predictions.csv,results/benchmark/random/seed_1/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.8359912356281736, ""gamma"": 0.3421956738588189, ""learning_rate"": 0.020580509035337088, ""max_depth"": 7, ""min_child_weight"": 19, ""n_estimators"": 656, ""reg_alpha"": 3.953566181127682e-06, ""reg_lambda"": 0.00011676910881548716, ""subsample"": 0.8422044697081428}"
random,A+B,Chemistry + Site,XGBoost,2,0.4521936407882642,0.8455811935324498,0.5081359183380978,0.7423897913967039,0.8545031004862925,,completed_reused,results/benchmark/random/seed_2/chem_site_AB_xgb/predictions.csv,results/benchmark/random/seed_2/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.8519187154974787, ""gamma"": 0.09466620112057167, ""learning_rate"": 0.014848517702154769, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 1827, ""reg_alpha"": 0.0835138172636846, ""reg_lambda"": 2.855698489333864e-07, ""subsample"": 0.7998755202658479}"
random,A+B,Chemistry + Site,XGBoost,3,0.4571401549631532,0.8417548740482586,0.5101209461525545,0.7327518227220637,0.8258326936323037,,completed_reused,results/benchmark/random/seed_3/chem_site_AB_xgb/predictions.csv,results/benchmark/random/seed_3/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.653537798402253, ""gamma"": 1.5381353275006804, ""learning_rate"": 0.04181450893953744, ""max_depth"": 7, ""min_child_weight"": 9, ""n_estimators"": 886, ""reg_alpha"": 0.022978529393253774, ""reg_lambda"": 7.942594786978451e-07, ""subsample"": 0.8361599145623436}"
random,A+B,Chemistry + Site,XGBoost,4,0.4137766790573256,0.8747285998071398,0.5330737990518101,0.7170990853629271,0.8710682073665732,,completed_reused,results/benchmark/random/seed_4/chem_site_AB_xgb/predictions.csv,results/benchmark/random/seed_4/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.5338241575266861, ""gamma"": 0.09078767966461798, ""learning_rate"": 0.14299834051302093, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 540, ""reg_alpha"": 3.59282972918007e-05, ""reg_lambda"": 9.691611978640641e-05, ""subsample"": 0.9043768170872424}"
random,A+C,Chemistry + Context,XGBoost,0,0.3758683278313971,0.9025679162393404,0.538843002223848,0.7007750259294206,,,completed_reused,,results/supplement_5seed/tuning_A+C_seed0,"{""colsample_bytree"": 0.680615135162183, ""gamma"": 0.6495612373649051, ""learning_rate"": 0.125312659274222, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 1955, ""reg_alpha"": 3.495911869855114e-05, ""reg_lambda"": 0.0725314701024478, ""subsample"": 0.7698623671555607}"
random,A+C,Chemistry + Context,XGBoost,1,0.4190092597219818,0.8708159718800996,0.5273872390150953,0.7124622856148768,,,completed_reused,,results/supplement_5seed/tuning_A+C_seed1,"{""colsample_bytree"": 0.6187179693821602, ""gamma"": 1.2752072322777719, ""learning_rate"": 0.19456550285958368, ""max_depth"": 8, ""min_child_weight"": 6, ""n_estimators"": 1823, ""reg_alpha"": 3.072905420404867e-07, ""reg_lambda"": 0.03567575180137985, ""subsample"": 0.8300152122532277}"
random,A+C,Chemistry + Context,XGBoost,2,0.4173712945828461,0.8720426371222011,0.5244233984957515,0.7129734608051356,,,completed_reused,,results/supplement_5seed/tuning_A+C_seed2,"{""colsample_bytree"": 0.9893994830733914, ""gamma"": 0.8446700635128592, ""learning_rate"": 0.009163342563005586, ""max_depth"": 9, ""min_child_weight"": 2, ""n_estimators"": 1434, ""reg_alpha"": 0.0030298298341334363, ""reg_lambda"": 12.992726066519225, ""subsample"": 0.9572781018207693}"
random,A+C,Chemistry + Context,XGBoost,3,0.3645090572927655,0.9107443028086744,0.5421486139996675,0.6925006836725305,,,completed_reused,,results/supplement_5seed/tuning_A+C_seed3,"{""colsample_bytree"": 0.9485199840170133, ""gamma"": 0.015857460732192834, ""learning_rate"": 0.09515415660109143, ""max_depth"": 6, ""min_child_weight"": 8, ""n_estimators"": 1072, ""reg_alpha"": 3.5466019605744467e-06, ""reg_lambda"": 5.734630570400847e-08, ""subsample"": 0.9891703430651424}"
random,A+C,Chemistry + Context,XGBoost,4,0.3391561277646711,0.9287337205481796,0.5548889529025798,0.6814591591885595,,,completed_reused,,results/supplement_5seed/tuning_A+C_seed4,"{""colsample_bytree"": 0.7679476878096975, ""gamma"": 0.04364791690630651, ""learning_rate"": 0.1434603840610288, ""max_depth"": 7, ""min_child_weight"": 7, ""n_estimators"": 1670, ""reg_alpha"": 0.00023054015529330103, ""reg_lambda"": 3.1027144755872666e-06, ""subsample"": 0.9588613651929653}"
random,A+B+C,Chemistry + Site + Context,XGBoost,0,0.47358583650447694,0.8289065347598314,0.4986371145521948,0.7448109363294894,0.8263912280589225,,completed_reused,results/benchmark/random/seed_0/full_ABC_xgb/predictions.csv,results/benchmark/random/seed_0/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.9702801889737215, ""gamma"": 0.5556845225903524, ""learning_rate"": 0.00604042015368977, ""max_depth"": 7, ""min_child_weight"": 14, ""n_estimators"": 1304, ""reg_alpha"": 7.181045389460042e-07, ""reg_lambda"": 0.018183615517931233, ""subsample"": 0.933048684121363}"
