number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9091321902590382,TrialState.COMPLETE,1176,4,0.03988916517949705,0.5131422574065854,0.9180864734647468,6,0.025918591003027347,0.024945997442233653,7.5871345408386395
1,0.897833965585139,TrialState.COMPLETE,814,6,0.06581136298371171,0.6958362200068704,0.6734564010052013,10,1.3844309246847547e-08,0.6965798604608047,6.86622615139234
2,0.8777841469536336,TrialState.COMPLETE,866,5,0.010104817430961494,0.592244411054229,0.9780020227061665,4,0.1133644207867098,25.549265529767748,2.1236190275681577
3,0.8696628022801427,TrialState.COMPLETE,438,5,0.023205379778045397,0.5311452130111793,0.5336148256596275,3,0.023939387527112315,5.103105271146977,1.4998187296798604
4,0.9011801431209051,TrialState.COMPLETE,701,10,0.017591073475518564,0.8314543370046535,0.6533663460141941,11,0.07870009813692418,0.00022861082987631558,8.460144054221265
5,0.9126598017737554,TrialState.COMPLETE,742,7,0.05525839514814216,0.6815384553997919,0.5827723380698917,8,0.21297023145175836,3.594459919370457e-06,9.154665874102573
6,0.9037517933908409,TrialState.COMPLETE,1196,9,0.02163828962130655,0.9023457174209861,0.813000797327142,9,0.0007826913488941921,2.215091049031829,8.423669010515605
7,0.8720662019127071,TrialState.COMPLETE,1879,9,0.12640756575704648,0.9282107738401794,0.5678051732387204,18,0.0031931345049858576,0.8723792478313056,1.9508206774439263
8,0.893166856605181,TrialState.COMPLETE,835,7,0.17316415584461126,0.5300805179192531,0.6110908225611806,16,1.0175840299818275,0.016482647184609484,5.129052958874349
9,0.8700203772382148,TrialState.COMPLETE,263,7,0.1834448238993703,0.6065543982492135,0.5444860683357426,18,0.001213124573369034,22.732770814266527,0.7473489818692192
10,0.9291595947609574,TrialState.COMPLETE,1901,2,0.0057927679232641915,0.9973994813558212,0.7706146364809476,13,2.499619503854707e-06,1.6786342668991233e-08,4.581499899697217
11,0.875601259528638,TrialState.COMPLETE,205,4,0.10638309517503783,0.6395537136090622,0.5101880279016179,1,0.0001242037111325124,70.762720409602,0.3765474929974417
12,0.8824854987520273,TrialState.COMPLETE,205,7,0.027130318322862564,0.7610804874074055,0.5278670377016769,20,8.032276339453487,0.02492479377285396,0.13391717509474976
13,0.9994180373795889,TrialState.COMPLETE,462,2,0.008675474785305046,0.5936085161134076,0.7152122917499457,15,2.1107100381859454e-05,98.74379966681144,2.513913646039274
14,0.8813586318228337,TrialState.COMPLETE,452,5,0.08466895396160673,0.5749049053381717,0.504991388794557,3,0.0028606735782386395,1.987673635646808,3.8018509849142292
15,0.8795111310623178,TrialState.COMPLETE,461,8,0.17935287989907486,0.5050448833179269,0.6248309995990852,13,7.625935988221224e-07,0.0009236216637579694,1.2736934512809148
16,0.8831780977939827,TrialState.COMPLETE,1117,4,0.04054593346314392,0.7152147570488552,0.5513328128114456,6,0.0002076426581001138,6.397797964011339,3.3642164280070346
17,0.8737006734283155,TrialState.COMPLETE,405,6,0.013354118728752985,0.6365777105421057,0.7142220394143179,20,0.006673575549850939,0.15709457472129357,1.0633359253166403
18,0.901211476407524,TrialState.COMPLETE,1544,3,0.00510129063193998,0.5634584861149343,0.5944950743912181,1,1.9459913710726148e-05,0.0008896997277955974,3.1037257572836348
19,0.9019912829608294,TrialState.COMPLETE,651,6,0.03037158303115136,0.7745908651787533,0.663640969907503,17,3.1949234586399355,0.16270332758498315,5.768038758336733
20,0.8714524908277711,TrialState.COMPLETE,324,8,0.06161291840827499,0.6483910955116985,0.8361124120692436,13,0.01979424626737488,9.607527738102096,1.2187047644740958
21,0.8718965034771153,TrialState.COMPLETE,317,8,0.06190120170256578,0.6420880553745275,0.862815235108334,14,0.01135273624585083,19.305286748243926,1.2302688127007086
22,0.8695598949417719,TrialState.COMPLETE,586,8,0.11825123506535862,0.6193291881949251,0.9896248973617716,18,0.0006594096131172936,17.83524785665153,0.08352520695795884
23,0.8789139009101264,TrialState.COMPLETE,573,10,0.19976930505600946,0.5583988921468382,0.9377569606530352,18,0.000645637922475993,0.2354817356817938,0.11561305598297844
24,0.8719083553959195,TrialState.COMPLETE,968,5,0.1284469192007041,0.6112510752756878,0.7567929764546927,19,5.398277498526217e-05,5.554502828055845,2.1992717413404117
25,0.8758182141959434,TrialState.COMPLETE,587,9,0.09781273544114553,0.5446701877422103,0.982246907819644,16,0.0006367465813690578,93.29439035686522,0.7556092680935454
26,0.8718301649527179,TrialState.COMPLETE,613,7,0.14504186060860533,0.7394722987603304,0.9084623127354453,11,0.6568270783664337,12.966175803200148,1.8185890861835043
27,0.8677553607914484,TrialState.COMPLETE,324,6,0.08815354832161625,0.6672585122671921,0.5504256430642733,6,8.193748119818549e-06,0.5014783671319051,0.027536547513863696
28,0.8792223334603939,TrialState.COMPLETE,1002,6,0.03996657445175864,0.6766713620227144,0.7853026976819604,3,2.188587414190532e-06,0.0037868231861386587,2.840050246748558
29,0.8928801164922167,TrialState.COMPLETE,1351,3,0.08440303000957397,0.5029754127068176,0.8906788218761644,6,8.027486466655846e-08,0.18405177110297805,3.905454571225327
30,0.865582986419014,TrialState.COMPLETE,524,5,0.050140485502821,0.8238750804844187,0.717596649536118,6,9.090853223784098e-06,5.761837564904918e-05,1.6280039364109227
31,0.8703318473721203,TrialState.COMPLETE,523,5,0.049577672062682716,0.8472259892410038,0.7132373285118336,6,5.481097360566657e-06,5.111815043138746e-07,1.6342934051762028
32,0.8607305560745018,TrialState.COMPLETE,383,4,0.07783332557922924,0.7874572601875192,0.6183172040029239,4,2.1521619194744208e-07,1.010380530677024e-05,0.019661658595466876
33,0.8667053666697513,TrialState.COMPLETE,332,3,0.07925705404427916,0.8225063752680924,0.6353939402272433,7,2.0052022895567152e-07,2.0497074410582534e-05,0.03607398474497869
34,0.8658503879909285,TrialState.COMPLETE,362,3,0.07154701518773149,0.8331572527931921,0.6412846289426842,7,1.1315565428569067e-07,1.9703711776924802e-05,0.6545571586965309
35,0.8649198775909797,TrialState.COMPLETE,378,3,0.0708267598417068,0.8077564718445317,0.634036431102519,8,1.0987864861407886e-08,2.5440489464526422e-05,0.6826228596029764
36,0.8709481062169049,TrialState.COMPLETE,747,4,0.04882355564879415,0.8051129022463807,0.6989104118292451,4,1.0872918898856385e-08,3.832226697891484e-05,2.6092379663617242
37,0.8691935436619819,TrialState.COMPLETE,398,3,0.07171820423896003,0.8648043792368536,0.6774413239845877,9,5.598102388277032e-08,1.100980874990501e-06,0.7393894925691501
38,0.8738549424499624,TrialState.COMPLETE,724,4,0.03276387277061044,0.8894944890609052,0.746026738474703,4,4.654829652402286e-07,2.8137790246409758e-05,2.081587362925835
39,0.8897781152711043,TrialState.COMPLETE,508,2,0.04889633554602328,0.79957368082318,0.5977164435903908,8,3.96063679756224e-08,7.252350473761897e-06,0.6772797709804723
40,0.935496628261136,TrialState.COMPLETE,842,3,0.03740113395439378,0.9535600270013544,0.6518603756105139,10,2.5632844118649045e-08,9.912899636484077e-05,9.821477145226222
41,0.8712144376535029,TrialState.COMPLETE,339,3,0.07322342979483543,0.8187103135923696,0.6249436422100901,8,1.9695260625361736e-07,6.7687067886453575e-06,1.5209004708000216
42,0.8676206197466821,TrialState.COMPLETE,386,3,0.07547042537959445,0.781044606157554,0.6424312153951345,7,1.8099130261110075e-07,1.8920506252982304e-07,0.806057504680501
43,0.9155392556327884,TrialState.COMPLETE,265,4,0.05635873561979588,0.8543644872194998,0.6883057662778261,5,6.504490438936212e-07,0.0002666231431694669,7.334390206145045
44,0.8713155247216591,TrialState.COMPLETE,515,2,0.09746743833738236,0.8294732412350156,0.579455485451989,7,1.5240018233016943e-07,2.2420470210915857e-05,0.5109071199859063
45,0.8737120591113862,TrialState.COMPLETE,223,4,0.14346792936430305,0.8860819481649893,0.6295969194173439,5,1.54630493621986e-08,1.805026040126825e-06,1.6956629622606927
46,0.8701569666008007,TrialState.COMPLETE,689,5,0.04417555347410834,0.7385700124359862,0.7433314947067196,2,1.919926338642657e-06,0.00010483005120401198,0.4191011377407883
47,0.8857442112441511,TrialState.COMPLETE,386,3,0.06827812726044952,0.9166452068448823,0.6054486614262856,10,3.664037108856092e-07,9.107921288705207e-08,2.2132261475067576
48,0.9525617653530154,TrialState.COMPLETE,263,2,0.021921723454292007,0.7966170240575301,0.6625114899411525,8,7.68945082379763e-08,1.0760843072938515e-05,1.1420313315806956
49,0.8639158846929731,TrialState.COMPLETE,508,4,0.1110685372089108,0.7528222247360097,0.5690320517740182,5,9.01531668049397e-07,0.0005144396981723383,0.4312829488635011
