number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.7977459739753273,TrialState.COMPLETE,770,4,0.07142284434240158,0.6658994966878146,0.8267826101646234,10,3.078332189527436e-05,0.22948074680600453,1.392943738398873
1,0.8109131818279427,TrialState.COMPLETE,963,2,0.16589219510686906,0.580407677325249,0.9714349002701885,7,2.3344991527555713e-06,0.543981318261886,8.862595815128142
2,0.8063981053311775,TrialState.COMPLETE,1034,3,0.029099716046879318,0.9956935652807559,0.8328386436515554,10,0.17255188521929749,0.0060144606458427995,7.904410284042664
3,0.7993254320080718,TrialState.COMPLETE,1554,5,0.04358464164847554,0.5874537739613015,0.986026917241843,15,1.8775624054805323e-08,14.233568317536776,9.713794586021319
4,0.8003481038154804,TrialState.COMPLETE,966,4,0.0075785494376733355,0.7302546183320283,0.6678177591415984,17,1.457220154698629e-07,0.008554192258612335,3.9564410579576004
5,0.7953117735201417,TrialState.COMPLETE,755,7,0.028999376967384954,0.6989661064948566,0.8805838319171189,7,0.0007320965900430326,0.4978874704375414,2.3616543491002795
6,0.8007926412736746,TrialState.COMPLETE,1166,2,0.010352671710478054,0.5576413008285297,0.7716489165994544,7,2.575413550255478,5.5838339842049746e-08,6.867341795126603
7,0.7996698099133065,TrialState.COMPLETE,1064,4,0.009898098565967167,0.5915750035458187,0.766021588801,17,3.3682775270171563e-07,0.98293246763262,3.6231288861767172
8,0.8079287010773184,TrialState.COMPLETE,1014,2,0.006332726486322584,0.7310865140556855,0.7737606443107496,8,0.00017428611704584576,5.178717923342606e-05,7.862497334396263
9,0.7984345803362826,TrialState.COMPLETE,1869,3,0.009468477640516892,0.8133676276659618,0.8890633952905109,15,0.21728340316115344,3.982995330901006e-08,5.826339825704324
10,0.8137341230318986,TrialState.COMPLETE,200,9,0.025829571046797405,0.9268273856287221,0.5238040159120234,1,0.0016339566331919591,1.934467851133283e-05,0.17837215374512283
11,0.7990626048693618,TrialState.COMPLETE,485,7,0.08850397376725172,0.7076245689003918,0.8875654934208113,12,0.00018797252355405223,51.24087386837337,0.8599538103889697
12,0.7996803068364418,TrialState.COMPLETE,675,7,0.06056425181715603,0.6680548484569192,0.6804874921161022,2,1.2363223253201465e-05,0.023998486024739273,2.3506057738763912
13,0.8126856508677068,TrialState.COMPLETE,624,10,0.02067167324562114,0.8451101843503834,0.8961569946071396,4,0.00593974646090122,0.38183279120353936,2.1752723519061536
14,0.8026655044500737,TrialState.COMPLETE,1402,6,0.11839158816172181,0.5004172590884213,0.6551389630620401,11,3.884051089427526e-05,0.0006690282251096166,1.77329325885565
15,0.7927662958992403,TrialState.COMPLETE,346,8,0.04907004225329264,0.6605934215148405,0.8450194045951781,5,0.0033323055902596747,3.863770800797034,4.182264975025464
16,0.7976306845057033,TrialState.COMPLETE,328,8,0.01634528484173462,0.7979427027972877,0.9248201018581487,4,0.01090309834950284,6.657505273664185,4.7586150695414595
17,0.7967030402812534,TrialState.COMPLETE,396,8,0.043504730061705646,0.6458177112316604,0.8292061955323468,5,0.05293301025385629,4.9881302731128265,3.3947158097616996
18,0.8055029145121722,TrialState.COMPLETE,762,10,0.04480863575782179,0.7632642997216976,0.9417302086728899,6,8.5238872833374,0.04754085833078102,5.574567456588931
19,0.8045155113717289,TrialState.COMPLETE,473,6,0.015425577409232838,0.8728846834353718,0.7308175579498679,3,0.0005970729039783173,72.36822308372876,2.930884724377673
20,0.7990858684488322,TrialState.COMPLETE,1358,8,0.03067506140322172,0.6369635673913911,0.5628210479576118,20,0.015039031377326853,0.0010923949618498595,4.740157191776495
21,0.7958938851959275,TrialState.COMPLETE,380,8,0.045472817959508076,0.6558223888486615,0.8360864073512403,5,0.052834762745290254,2.830968266860332,3.099995274978017
22,0.7981077531373135,TrialState.COMPLETE,264,9,0.052835777101653374,0.7077764055665239,0.8553532085272139,8,0.7332470880944114,3.345824098849574,4.640216617475987
23,0.7985024130742726,TrialState.COMPLETE,546,7,0.034773545393636474,0.6283261560533543,0.8040651477686709,5,0.0023824743331553578,0.17996606086959846,2.8778426241231307
24,0.7983246836685908,TrialState.COMPLETE,815,9,0.10165120301663219,0.523485858994951,0.8693355602587161,9,0.041586254251583576,1.4125367733046792,5.822449551531099
25,0.7950267965412128,TrialState.COMPLETE,386,6,0.020247353146817627,0.6813018040501565,0.7223949826283533,1,0.0005410109990641469,22.952707609462205,4.211779117598404
26,0.8012240432697952,TrialState.COMPLETE,598,6,0.019973416789660144,0.7618774703528592,0.618839942911372,2,0.0002799420380784822,31.337661508090964,4.173613068547477
27,0.7915120748799864,TrialState.COMPLETE,857,5,0.014265526484909218,0.6162555754064061,0.75076935948178,2,5.1736387679749845e-06,0.07171059165045726,0.9215921285521498
28,0.7895921549350424,TrialState.COMPLETE,1934,5,0.01379344377696363,0.6002902864587535,0.7097242524889265,1,6.284930151882389e-06,0.07035059137790795,0.6338568840286127
29,0.7915943076727092,TrialState.COMPLETE,1938,5,0.014070916313001612,0.6092514160268985,0.7161990800553114,3,3.0073966681234834e-06,0.1358495895225325,1.0036665150636597
30,0.7940973045669728,TrialState.COMPLETE,1972,5,0.01213528748167193,0.5413571178774248,0.7137336392977296,3,3.2505305219812374e-06,0.07605916286936901,0.5159316681666781
31,0.7920981111224583,TrialState.COMPLETE,1732,5,0.01302955138538446,0.6110974707821724,0.7937126698195301,1,4.916293341704807e-07,0.006338666920235855,1.1034753839771003
32,0.7891909728283558,TrialState.COMPLETE,1744,5,0.014044212948256956,0.6148543423184407,0.6269885645128993,1,5.307702585107233e-07,0.001289907364153278,1.1324799959579226
33,0.7919618963395578,TrialState.COMPLETE,1718,5,0.0077320899898207125,0.5731347814710867,0.6240046663925282,3,3.839468033749002e-06,0.0005683418532021052,1.3519539516164178
34,0.7903571824829405,TrialState.COMPLETE,1797,4,0.01515307389044801,0.6168061643668753,0.6094808570774438,2,1.5332301693271154e-08,8.506060907407762e-05,0.23328074707450408
35,0.7960731435391836,TrialState.COMPLETE,1772,3,0.017645412856176424,0.6034378488235694,0.5832723101660304,2,1.6220165829508317e-08,8.506917604991406e-05,0.10765931528120087
36,0.7981296265957335,TrialState.COMPLETE,1548,4,0.02473898312814618,0.5580702537260304,0.6317401841471632,1,8.081935417188374e-08,0.0018486583459456278,1.7092990162716801
37,0.7975207558984228,TrialState.COMPLETE,1602,4,0.005397117253072715,0.5208993785756234,0.5951083709704196,4,3.918274882449531e-08,3.489055237519117e-06,0.6458373710193279
38,0.7939607667871067,TrialState.COMPLETE,1837,3,0.011175459979722312,0.5730805774102806,0.6870702828190669,2,7.98024490320762e-07,1.777828133260986e-06,0.00482318959099759
39,0.792296120299834,TrialState.COMPLETE,1409,4,0.00866169146847567,0.6244282094586799,0.5212609051235879,1,3.159069450760209e-05,0.00017459272797884577,1.7731501357553152
40,0.791658019972037,TrialState.COMPLETE,1245,5,0.012157950749922344,0.589257080710925,0.5566403125106715,6,1.1502413667847004e-06,0.01410533876989849,0.5787161736801654
41,0.790441160712264,TrialState.COMPLETE,1966,5,0.013528913914060942,0.6077120085402802,0.692847012940292,3,9.990474100161217e-06,0.12782218622847022,1.2308313916480094
42,0.7971187303086584,TrialState.COMPLETE,1605,4,0.007072504912241769,0.6858139117459378,0.7453049264548577,3,9.387798108939204e-06,0.0036916397853674504,1.4122585164480097
43,0.7973614741846002,TrialState.COMPLETE,1882,6,0.017189392875853502,0.561388355475762,0.6508434414238664,2,2.5460199047266665e-07,1.008370619668979e-05,2.0134913654731834
44,0.7949245584649469,TrialState.COMPLETE,1806,5,0.01011490186728082,0.6273655274392766,0.6948375349822394,4,9.410129086607067e-08,3.561861560838037e-07,1.2272098830545457
45,0.8056012843276832,TrialState.COMPLETE,1987,4,0.024009484541712117,0.9990529092596742,0.7570880453951971,1,8.74118308471816e-05,0.00023726191341354985,2.653853732070849
46,0.8003036065134349,TrialState.COMPLETE,881,3,0.013857463978022264,0.6043707970834106,0.6552040691798716,2,1.5394848750397447e-05,0.03876624010593471,9.944772840806564
47,0.796631196479373,TrialState.COMPLETE,1689,5,0.009162765660243176,0.5425681969679004,0.6983139356530043,6,1.4667546225556051e-06,0.003051852354103316,0.4348688057888429
48,0.789121042212211,TrialState.COMPLETE,1879,4,0.019572662351909464,0.5916950367012842,0.6026998259330579,4,7.055327969338948e-06,0.529655148588472,0.8636889066118949
49,0.7978249470429314,TrialState.COMPLETE,1898,2,0.018299563417565713,0.586740644921044,0.5448762330866073,4,1.0913304892602533e-08,0.40363963233986816,1.5313929726363984
