number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8803367696905773,2026-07-17 22:03:53.286916,2026-07-17 22:03:54.371352,0 days 00:00:01.084436,12,8,15,486,COMPLETE
1,0.8960520471358224,2026-07-17 22:03:54.371429,2026-07-17 22:03:54.990565,0 days 00:00:00.619136,6,1,15,364,COMPLETE
2,0.8737765359817472,2026-07-17 22:03:54.990639,2026-07-17 22:03:55.375017,0 days 00:00:00.384378,10,2,12,164,COMPLETE
3,0.8798852962538986,2026-07-17 22:03:55.375081,2026-07-17 22:03:56.424527,0 days 00:00:01.049446,20,6,4,439,COMPLETE
4,0.8888073926894854,2026-07-17 22:03:56.424603,2026-07-17 22:03:56.549442,0 days 00:00:00.124839,9,10,2,54,COMPLETE
5,0.8846811660223806,2026-07-17 22:03:56.549516,2026-07-17 22:03:57.133239,0 days 00:00:00.583723,20,9,13,246,COMPLETE
6,0.9403645040669407,2026-07-17 22:03:57.133297,2026-07-17 22:03:57.326404,0 days 00:00:00.193107,4,2,10,128,COMPLETE
7,0.8865510357198114,2026-07-17 22:03:57.326457,2026-07-17 22:03:58.111274,0 days 00:00:00.784817,10,10,9,380,COMPLETE
8,0.9414235025916695,2026-07-17 22:03:58.111331,2026-07-17 22:03:58.492720,0 days 00:00:00.381389,4,6,4,285,COMPLETE
9,0.880734119931913,2026-07-17 22:03:58.492792,2026-07-17 22:03:59.158143,0 days 00:00:00.665351,14,7,7,286,COMPLETE
