number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8742020279598725,2026-07-17 22:04:11.183305,2026-07-17 22:04:12.085480,0 days 00:00:00.902175,0.7101839010437445,0.051895221650230125,3,4,492,1.6900198445929524e-05,0.02162204487972218,0.7176611963091384,COMPLETE
1,0.8812770253151414,2026-07-17 22:04:12.085569,2026-07-17 22:04:12.384740,0 days 00:00:00.299171,0.5672899726724667,0.0642856068199064,5,6,369,1.2783188524672603e-05,0.3143011967884681,0.7645710471385195,COMPLETE
2,0.963014787043956,2026-07-17 22:04:12.384804,2026-07-17 22:04:13.129665,0 days 00:00:00.744861,0.752623045060852,0.12629957397449698,6,1,869,0.0003704537245820395,4.739324106112271e-06,0.5398227385045304,COMPLETE
3,0.8673869112140068,2026-07-17 22:04:13.129835,2026-07-17 22:04:13.400720,0 days 00:00:00.270885,0.6101531035352799,0.019681055777476822,7,4,214,0.0006408035477196705,2.583465009655243e-05,0.5534728421549915,COMPLETE
4,0.8904591433021538,2026-07-17 22:04:13.400880,2026-07-17 22:04:13.941912,0 days 00:00:00.541032,0.8968187272207886,0.04542847181351396,6,6,677,9.414377115189814e-06,0.08040192118743245,0.6934463255592797,COMPLETE
5,0.9462012551907064,2026-07-17 22:04:13.941973,2026-07-17 22:04:14.904947,0 days 00:00:00.962974,0.7835720638138546,0.14364558586220136,7,5,969,0.00041733381765596224,0.2728439291002305,0.6708068263355549,COMPLETE
6,0.9150250773055029,2026-07-17 22:04:14.905012,2026-07-17 22:04:15.752147,0 days 00:00:00.847135,0.6831712008375102,0.05105416060519467,10,9,582,0.00027393672434359516,1.550302906560003e-06,0.5410474611375125,COMPLETE
7,0.87187688579349,2026-07-17 22:04:15.752235,2026-07-17 22:04:15.936023,0 days 00:00:00.183788,0.9001291755662935,0.19635016841364633,3,7,322,0.03888294604589325,1.5296008845845667e-05,0.9852901566885868,COMPLETE
8,0.881403203656045,2026-07-17 22:04:15.936073,2026-07-17 22:04:16.320849,0 days 00:00:00.384776,0.9915767226786063,0.029105756179923944,7,5,364,0.0010568239243767842,0.00018398788316221468,0.5228394826227001,COMPLETE
9,0.9191460809079497,2026-07-17 22:04:16.320904,2026-07-17 22:04:16.632130,0 days 00:00:00.311226,0.6896052834708187,0.12091465563067423,6,1,334,0.06087369082371223,7.686375253646707e-05,0.8683735281435565,COMPLETE
