number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.028561328501413,2026-07-17 22:02:36.433931,2026-07-17 22:02:36.447776,0 days 00:00:00.013845,0.019628224813442792,0.7108855790449711,COMPLETE
1,1.0365521691834274,2026-07-17 22:02:36.447818,2026-07-17 22:02:36.453771,0 days 00:00:00.005953,0.04135997393839887,0.5439855193369589,COMPLETE
2,1.0223248208722053,2026-07-17 22:02:36.453806,2026-07-17 22:02:36.480956,0 days 00:00:00.027150,0.0034828020870283287,0.642976230805323,COMPLETE
3,1.022916373035316,2026-07-17 22:02:36.480989,2026-07-17 22:02:36.493185,0 days 00:00:00.012196,0.004222048983149826,0.8839375407664382,COMPLETE
4,1.1400575098598156,2026-07-17 22:02:36.493216,2026-07-17 22:02:36.494894,0 days 00:00:00.001678,6.053082080079015,0.38577268844926216,COMPLETE
5,1.1359730684853122,2026-07-17 22:02:36.494926,2026-07-17 22:02:36.496599,0 days 00:00:00.001673,0.5627949975223141,0.5283170213578464,COMPLETE
6,1.0363182248292429,2026-07-17 22:02:36.496630,2026-07-17 22:02:36.508312,0 days 00:00:00.011682,0.025601615250028693,0.9170847055268078,COMPLETE
7,1.0191762827609052,2026-07-17 22:02:36.508344,2026-07-17 22:02:36.829404,0 days 00:00:00.321060,2.66818752423705e-05,0.09538671370750988,COMPLETE
8,1.0191935436753876,2026-07-17 22:02:36.829440,2026-07-17 22:02:37.147038,0 days 00:00:00.317598,1.3222402845895935e-05,0.8259674486369792,COMPLETE
9,1.1400575098598156,2026-07-17 22:02:37.147073,2026-07-17 22:02:37.148783,0 days 00:00:00.001710,0.46659545670218433,0.8626119052818828,COMPLETE
