number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.85651521907811,2026-07-17 22:02:47.698747,2026-07-17 22:02:48.907613,0 days 00:00:01.208866,15,6,10,297,COMPLETE
1,0.864914649286638,2026-07-17 22:02:48.907704,2026-07-17 22:02:49.843033,0 days 00:00:00.935329,14,9,8,241,COMPLETE
2,0.8778505212953963,2026-07-17 22:02:49.843094,2026-07-17 22:02:51.381638,0 days 00:00:01.538544,9,6,13,484,COMPLETE
3,0.8655410671709691,2026-07-17 22:02:51.381770,2026-07-17 22:02:53.101978,0 days 00:00:01.720208,19,1,2,306,COMPLETE
4,0.8646197836661897,2026-07-17 22:02:53.102118,2026-07-17 22:02:53.377922,0 days 00:00:00.275804,17,9,12,59,COMPLETE
5,0.8601877551091751,2026-07-17 22:02:53.377976,2026-07-17 22:02:55.417147,0 days 00:00:02.039171,17,8,8,491,COMPLETE
6,0.8658112714178625,2026-07-17 22:02:55.417238,2026-07-17 22:02:55.847147,0 days 00:00:00.429909,14,10,4,103,COMPLETE
7,0.8752627815990083,2026-07-17 22:02:55.847197,2026-07-17 22:02:56.794766,0 days 00:00:00.947569,10,8,5,285,COMPLETE
8,0.8619900651099145,2026-07-17 22:02:56.794866,2026-07-17 22:02:57.773102,0 days 00:00:00.978236,13,7,2,255,COMPLETE
9,0.8598552882221537,2026-07-17 22:02:57.773153,2026-07-17 22:02:59.053086,0 days 00:00:01.279933,14,7,15,326,COMPLETE
