number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,1.0213294865107705,2026-07-17 22:02:36.375066,2026-07-17 22:02:36.378704,0 days 00:00:00.003638,20.173786271782262,COMPLETE
1,1.0247043505027786,2026-07-17 22:02:36.378771,2026-07-17 22:02:36.380487,0 days 00:00:00.001716,177.37276482506783,COMPLETE
2,1.0191564339781984,2026-07-17 22:02:36.380517,2026-07-17 22:02:36.382225,0 days 00:00:00.001708,0.5564529299329967,COMPLETE
3,1.0206387856217372,2026-07-17 22:02:36.382255,2026-07-17 22:02:36.383942,0 days 00:00:00.001687,11.6135670378017,COMPLETE
4,1.0429848739207093,2026-07-17 22:02:36.383971,2026-07-17 22:02:36.385657,0 days 00:00:00.001686,2278.6715292020613,COMPLETE
5,1.0436093319123705,2026-07-17 22:02:36.385695,2026-07-17 22:02:36.387361,0 days 00:00:00.001666,2386.4840361732645,COMPLETE
6,1.0192921006809699,2026-07-17 22:02:36.387390,2026-07-17 22:02:36.389094,0 days 00:00:00.001704,0.05669070564161237,COMPLETE
7,1.0192179629184106,2026-07-17 22:02:36.389124,2026-07-17 22:02:36.390808,0 days 00:00:00.001684,0.17516900731643942,COMPLETE
8,1.0193247798150602,2026-07-17 22:02:36.390839,2026-07-17 22:02:36.392540,0 days 00:00:00.001701,0.02036119296609856,COMPLETE
9,1.0197496334812002,2026-07-17 22:02:36.392570,2026-07-17 22:02:36.394267,0 days 00:00:00.001697,4.414271712959386,COMPLETE
