number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9392837889661055,TrialState.COMPLETE,463,4,0.00901743266517116,0.606077564097736,0.7027916327680593,20,3.542682757517589e-08,0.00015671079568492925,9.000873237284333
1,0.9250863396850562,TrialState.COMPLETE,1011,6,0.10344761348091651,0.8151491196938898,0.625814795209892,14,0.0011637836814476327,0.003315940649250124,8.808837567283694
2,0.889751938234655,TrialState.COMPLETE,798,5,0.0692866763726769,0.7339190168138234,0.7873512812183485,16,0.19154332127359444,5.501357951001762e-06,2.883569914001228
3,0.8863715123398971,TrialState.COMPLETE,1285,8,0.023237735234598135,0.7141233531255333,0.5898447119983339,5,0.0159086311332293,0.17684182427329573,3.743432993393191
4,0.9209976018947185,TrialState.COMPLETE,265,3,0.019191505804504957,0.6350689142286162,0.7419488550809767,8,2.1806392326937183e-07,1.225312958535377e-08,2.3632714257547347
5,0.9223417767592068,TrialState.COMPLETE,1484,5,0.00836726922614654,0.982052204152068,0.8601124963038668,20,0.056569312495132106,0.0022568477302179293,6.495072915333523
6,0.9116487251726336,TrialState.COMPLETE,749,5,0.005691222907514532,0.7206205498568983,0.8756276228737314,6,0.10805374526751853,0.23971723904273617,6.477366991077137
7,0.9079584546948474,TrialState.COMPLETE,777,8,0.08878557833179888,0.7202675008291757,0.9510138044196015,16,0.5685747263791734,0.033787699005907855,6.96429465284889
8,0.8688870490581997,TrialState.COMPLETE,1693,8,0.0576267605839407,0.624686167936803,0.7240733736209799,10,5.446778413831665e-05,0.006767015500942762,0.8701295981270596
9,0.916301425587698,TrialState.COMPLETE,1650,7,0.005722321595733895,0.8441902996666746,0.6257771940927894,3,8.553009520360316e-06,0.0007079036005129988,9.46559382604925
10,0.8751932706962138,TrialState.COMPLETE,1806,10,0.040099936092590986,0.5242415713362875,0.523710328751569,11,3.050336098949839e-05,16.8932955802062,0.05463256371611891
11,0.8780902570188507,TrialState.COMPLETE,1930,10,0.04373457824719171,0.5306397931075829,0.5042053547167432,10,2.9943709695868744e-05,30.235047015056615,0.07259338503597967
12,0.8810520151438983,TrialState.COMPLETE,1995,10,0.17521812740766965,0.5059580297361025,0.5468130306512651,11,0.00011802836271561632,96.99289617380387,0.11623667835675633
13,0.8802135801700137,TrialState.COMPLETE,1665,9,0.03565751557944774,0.5964480656968758,0.6859029891924147,11,0.0007721094842214267,2.2153060538190683,1.2910901024548889
14,0.8713276104312082,TrialState.COMPLETE,1326,9,0.047928236185821704,0.5567668976459983,0.8068818431654082,1,1.4869353059135644e-06,6.3924542237594886e-06,1.5541089105744956
15,0.8885787811898953,TrialState.COMPLETE,1279,8,0.16919198476282532,0.648837633835326,0.8084902918722421,1,5.422705976724536e-07,6.576990086885993e-06,4.449647660247437
16,0.8728463135186401,TrialState.COMPLETE,1317,7,0.06091291189845456,0.572636102839918,0.978116086937066,1,1.6154601229644906e-06,2.2155320427752093e-08,1.962255612143161
17,0.9321445119864981,TrialState.COMPLETE,1075,2,0.027522651554448753,0.6601626277141167,0.8810404523674346,5,6.239247543953753,4.998200204081577e-07,4.586537228866087
18,0.871338212172727,TrialState.COMPLETE,1521,7,0.01551886784545334,0.7956808141393324,0.7906925546947384,8,2.947230064651928e-08,5.660261024870676e-05,1.288518015070341
19,0.8908717511548683,TrialState.COMPLETE,1099,9,0.11627435996775366,0.5603450507155738,0.7106411708333288,14,0.0016605828495303485,2.741584646466476e-07,3.486423925813103
20,0.8726164727731718,TrialState.COMPLETE,1464,9,0.058716875373561045,0.901252348275572,0.9301894532454081,7,2.133134923529644e-06,1.660090474818542e-05,1.3292357496162186
21,0.8716864061439661,TrialState.COMPLETE,1583,7,0.015625623996606466,0.8134378768991843,0.793682841837695,8,1.7301940692377386e-08,8.903670985456898e-05,1.2306571412129865
22,0.8678068640499998,TrialState.COMPLETE,1759,6,0.01352402798832902,0.7705332532053735,0.771256857325162,3,1.1246839471539586e-07,0.009642453997093863,1.1017667394491557
23,0.8715537427581286,TrialState.COMPLETE,1846,6,0.012669463692230333,0.6890023815807184,0.7525333906085184,3,1.6649133178429154e-07,0.022932767248666875,2.1408917772094256
24,0.8666467710350094,TrialState.COMPLETE,1748,6,0.035494715656931713,0.7668133868651678,0.8401551895241406,3,6.48690472798628e-06,0.015640570921064467,0.8371112419192184
25,0.8657510729558853,TrialState.COMPLETE,1766,6,0.031176884644258166,0.7671367207843499,0.845941390745787,4,8.69219564894978e-05,0.013871808992002124,0.8492781303668323
26,0.864166943835159,TrialState.COMPLETE,1780,6,0.0305638617555502,0.7688322723791328,0.8518009568981498,3,4.788494748361317e-06,0.4976690945151546,0.7058401434889979
27,0.8848331189104581,TrialState.COMPLETE,1879,4,0.030411250042351998,0.8764592254575059,0.8494030053666406,4,0.000266529341260289,0.7955153845322,2.8907171396572533
28,0.8628217234785087,TrialState.COMPLETE,1987,4,0.022478544962895072,0.7610457696994114,0.9116162816765163,2,5.313961136885665e-06,0.09638850099294372,0.5755199261660628
29,0.8675333790277827,TrialState.COMPLETE,1979,4,0.022786388897494188,0.9303536723565032,0.9135255275530608,2,7.692715258187578e-06,4.130630412638942,0.4679331881958585
30,0.8844559227054787,TrialState.COMPLETE,1866,3,0.02229259330693137,0.7559543804042912,0.9961355991837473,5,0.0032603623402272623,0.11916943468053438,2.3912202948878964
31,0.8655044348109342,TrialState.COMPLETE,1731,5,0.03173209865201844,0.7673644119965631,0.8350720102681697,4,7.961742039453182e-06,0.0679801641944718,0.5149888273773366
32,0.8657381210040023,TrialState.COMPLETE,1595,5,0.028712757472649567,0.8488582510939578,0.9012880916614411,4,0.0002440604385959382,0.0009428392781198026,0.6345583490423331
33,0.8760969699390871,TrialState.COMPLETE,1594,5,0.010787879101441357,0.8625989770794489,0.9189076523157054,6,0.0003520912957766041,0.0007392363770952603,1.8255766428565163
34,0.8694230161489903,TrialState.COMPLETE,1387,3,0.02598741036417931,0.8275342915545266,0.9096793912360374,2,1.247942822902256e-05,0.7224464505045867,0.6269260362319551
35,0.8786265740412792,TrialState.COMPLETE,1541,4,0.018749131281679227,0.6841003128777365,0.9560781562095639,4,0.0036901490408808883,0.0009193749859091843,2.588035768651022
36,0.8651554221778816,TrialState.COMPLETE,1186,5,0.017819239200345127,0.8015380806713445,0.8894500194258007,6,2.4417319384344007e-06,0.03942664830121667,0.39350448259633475
37,0.884921204121557,TrialState.COMPLETE,1223,5,0.008661334199911231,0.7950958368781669,0.8277458594687854,6,5.797100979454776e-07,0.09901260408692421,2.9435408253721143
38,0.8757648954098132,TrialState.COMPLETE,916,4,0.019576599826403168,0.7376323956707419,0.8768181765397163,7,6.766144226239315e-08,0.34287025724390946,1.730528190340716
39,0.9429655775813831,TrialState.COMPLETE,561,2,0.017203494265676,0.7996726365865567,0.9498958973834762,2,4.882867801164571e-07,0.05444190648419365,8.018267307917604
40,0.9685127892599268,TrialState.COMPLETE,235,3,0.010815587508236304,0.688711150094805,0.8720960030300045,19,3.0628740659727197e-06,3.398595222762587,0.2874648027150406
41,0.8643927532072849,TrialState.COMPLETE,1402,5,0.025040083282168012,0.8400238523139227,0.8931886669369682,5,2.6401353110408084e-05,0.0026283902462398757,0.5035456236882503
42,0.8666215250980581,TrialState.COMPLETE,1207,5,0.02284765585567858,0.8857535458038631,0.8939453363586318,5,3.9627400328242975e-06,0.0030552568276011123,0.5899300744494996
43,0.8669083888460817,TrialState.COMPLETE,1384,5,0.038733133213329426,0.7442020357188077,0.8278240115794587,7,1.8748671207854336e-05,0.6266471693121805,0.055482313335581845
44,0.8772002050031675,TrialState.COMPLETE,870,6,0.05042426904779681,0.8368690174444675,0.9492397183528452,9,3.0433966125504656e-05,0.059807697715572615,1.6515300337025496
45,0.8704319014908134,TrialState.COMPLETE,1146,5,0.033982820295787364,0.7109546225178323,0.8624801041582214,6,1.210868631234134e-06,0.0003153385210787383,0.9525083171928864
46,0.8627961688455592,TrialState.COMPLETE,980,4,0.07252841858859484,0.930485288582931,0.8178949783520619,2,7.742042019037326e-05,0.2274893708927674,0.01550526194835855
47,0.8633477488415601,TrialState.COMPLETE,649,4,0.07813300885650985,0.9722862234013954,0.9301030998497818,2,0.01571368210611858,7.460116954561079,0.04306678879001513
48,0.8948404406433199,TrialState.COMPLETE,649,4,0.08114739327526559,0.9810523839133745,0.9284181714212457,2,0.4111550883766316,10.005960072701818,2.0970242130054495
49,0.8833942152507669,TrialState.COMPLETE,463,3,0.1087778839360759,0.9991091953225696,0.9654630861811799,1,0.018202657732731397,98.45497346312784,0.155727206131304
