number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9416309736500793,TrialState.COMPLETE,1291,9,0.12710622188613185,0.6892166018871374,0.8212481409306192,5,0.4750023025655925,0.07816804893098848,0.9034374314425098
1,0.9983360619891672,TrialState.COMPLETE,475,5,0.00782510557337081,0.6281507173263408,0.9976110765553095,7,0.07016520939672502,0.00013948560361118424,9.97538370549354
2,0.9992878920801129,TrialState.COMPLETE,1088,3,0.005100288839241842,0.7691599230252963,0.9103415349375779,14,0.00046505840626368395,0.0012744556805953091,5.623139651700989
3,0.9833658716986745,TrialState.COMPLETE,545,3,0.15111629268512,0.738727912746926,0.9573305384730793,13,9.120554469560066e-06,0.0003799083893853738,6.221608309067516
4,1.0086210637315685,TrialState.COMPLETE,776,6,0.008772343313335068,0.6678204318155392,0.8761782856834549,17,5.822308911835231,0.06312715799915168,9.231741075766237
5,0.9961388155142784,TrialState.COMPLETE,1424,4,0.13949509834736046,0.8599052044543751,0.9971349517129928,14,0.03527439912216496,0.012540812917793355,8.440188455043845
6,0.9417517586796204,TrialState.COMPLETE,1797,4,0.09220233705742262,0.9369537478663519,0.7121581654862874,6,0.006587204850168321,6.5973339697950735,0.8591112883606589
7,0.9985511005883229,TrialState.COMPLETE,1844,5,0.01494752969973088,0.7950738490278767,0.6820331386932764,15,0.11638846133762094,2.6087462816070333,9.152896404667485
8,1.023130750609607,TrialState.COMPLETE,465,5,0.02937142215092675,0.631022531408613,0.5481987802166056,1,1.497962023499974,47.15402065211496,9.559746174169083
9,0.980032573068793,TrialState.COMPLETE,1499,7,0.008675825270830861,0.7834755966229028,0.8327477814907804,11,2.8828881742831326e-05,0.003614728281625184,7.823860078955418
10,0.9362254339940601,TrialState.COMPLETE,216,10,0.0511634883160261,0.500027793881952,0.5142690582330851,1,1.3601208427576222e-08,4.1759495554887485e-08,0.3279373663985433
11,0.9428303386199169,TrialState.COMPLETE,968,10,0.05839313519889002,0.5095744021195989,0.5211741414568494,1,1.5267688220605656e-08,3.658426907382276e-08,0.5787087758425278
12,0.9489802310103231,TrialState.COMPLETE,238,10,0.04422005098411223,0.5030219271452158,0.6482857446208046,5,1.3049074868342057e-08,1.6191847356644464e-08,2.48835150624967
13,0.941357218696645,TrialState.COMPLETE,1310,8,0.07541401222682217,0.5754729235188569,0.7813918313919032,3,1.942729611371041e-06,3.2196312820621708e-06,2.7758831444478282
14,0.9461720639916,TrialState.COMPLETE,803,8,0.030264783923978744,0.5756544731255518,0.7508732278879123,3,3.687851914463749e-07,2.083124421025533e-06,2.933257385452485
15,0.9530741302970223,TrialState.COMPLETE,225,8,0.06624604499325418,0.5646740597173321,0.600502449940171,10,4.037925729140856e-07,3.1974609325331768e-06,2.832851778977603
