number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8561296131922147,TrialState.COMPLETE,1954,2,0.17158641796947735,0.8351579370758437,0.9062425221844468,19,0.0031532668892700405,1.9722654120682994e-08,2.027068625109274
1,0.8396322451670059,TrialState.COMPLETE,1836,4,0.04141475658423831,0.6064678288766367,0.8287402305892181,16,0.3337510032901096,0.01294038234872792,0.16543237087521478
2,0.8654361238422027,TrialState.COMPLETE,273,8,0.1597006273797212,0.7215724739027458,0.5796335896317599,5,0.014230356243854093,0.06824278627570993,5.3375137152415375
3,0.8623142391360087,TrialState.COMPLETE,1110,10,0.02482149122948854,0.886030736460846,0.8123217802336751,6,1.953120533712543e-05,3.970108967608319e-07,5.435657458361351
4,0.843278366958952,TrialState.COMPLETE,690,3,0.12899177729340452,0.8017208280946754,0.5191898374356467,11,1.0079976506264538e-06,0.1497808583802886,0.5466270945902596
5,0.8567119459089606,TrialState.COMPLETE,1657,3,0.00703013140019987,0.769285101131052,0.7019313697527835,1,0.00036066616341683876,1.2711550473076085e-05,2.018198722936928
6,0.8859714807957355,TrialState.COMPLETE,1482,6,0.005197135787843676,0.6538255950809216,0.6626984696159306,1,1.1247642374542589e-06,0.0005224069644656499,9.841005426828831
7,0.8505554478998353,TrialState.COMPLETE,568,9,0.014094016708982342,0.9902228319417812,0.9874017859515598,20,0.00010006772145410651,41.29751663544029,1.5013459278674646
8,0.9300149332958036,TrialState.COMPLETE,274,3,0.014883324345472662,0.8449299723472283,0.964076359019912,16,0.5279075238411026,88.94875904714782,6.069057877350378
9,0.885336911638494,TrialState.COMPLETE,886,5,0.033685699437318604,0.9980360783794324,0.6110354753386783,11,0.0005142847074695197,4.5462810847635975,6.602196772007698
10,0.8874761927136782,TrialState.COMPLETE,1335,6,0.05327857466190622,0.5301876813817459,0.759587212110277,14,0.7674929058818402,0.0007611394362541765,9.764465827832426
11,0.8418944683693762,TrialState.COMPLETE,1984,4,0.0763957953207959,0.5092600209396114,0.5252252835531059,11,2.4332355420143823e-08,0.10007139039667302,0.5611953796905578
12,0.8387010819323406,TrialState.COMPLETE,1892,5,0.06985194309917149,0.5190066414667942,0.8480487416691517,12,1.2389587993907886e-08,0.0266085006500213,0.19993764016491555
13,0.8661577347948777,TrialState.COMPLETE,1716,7,0.06976594331593662,0.6055940448170002,0.8190040814178472,15,9.55996376533758,0.0016338771698931893,3.512243551777946
14,0.8300975017939006,TrialState.COMPLETE,1732,5,0.04040425526792369,0.6060270612977826,0.8637985956928163,17,1.757459284853602e-08,0.007306223738067381,0.004365689631824626
15,0.8482128393477776,TrialState.COMPLETE,1463,5,0.0879869568592933,0.5671091393508049,0.8939989437639136,8,1.940293367101049e-08,1.2940069659874177e-05,3.596714198651941
16,0.8394772270370043,TrialState.COMPLETE,1243,7,0.02339343904558098,0.6668232040969093,0.8975606236125586,18,2.778542965472691e-07,0.8410828622660186,3.1187483225301422
17,0.8322951352844018,TrialState.COMPLETE,1624,5,0.09752857893910159,0.5710534858320647,0.7509676583807441,13,1.0146765475455163e-08,2.918068046058105e-05,0.026347681132985194
