number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8472614682167618,TrialState.COMPLETE,1075,7,0.008495038869801257,0.8855243374084008,0.7603424601780815,7,0.00017363424120428976,0.0006454748278538623,3.9647985769703142
1,0.8435210356090355,TrialState.COMPLETE,502,8,0.027585193235371577,0.7422449467444474,0.9878925701875242,7,0.2563189065798483,1.0633851200913774e-06,3.261221968843323
2,0.8580157675521497,TrialState.COMPLETE,1922,2,0.00979241019830919,0.5184152727139841,0.7847424193832975,5,1.2845481111244603,3.776974971061883e-07,3.9092088628589847
3,0.8494300179650945,TrialState.COMPLETE,307,4,0.021100264894240897,0.9378096333153241,0.7955587645206683,3,1.918093370040889e-06,3.361258589157681e-05,5.994859288830549
4,0.842790598599174,TrialState.COMPLETE,430,9,0.01263007152325863,0.780385640314887,0.7313556774154533,5,0.0006908490802467456,1.3124401026958845,2.541453316389899
5,0.855202447849456,TrialState.COMPLETE,1548,6,0.06681955922295353,0.6926484328089095,0.5571259887524567,13,8.00878900478076e-05,0.3165100050004735,2.7653799987579353
6,0.843112011041325,TrialState.COMPLETE,1615,6,0.05090858725411586,0.7445658654355027,0.9253702579863787,13,2.2897586217313033,0.0005332111348882076,0.5305619138656059
7,0.8605113371917748,TrialState.COMPLETE,358,2,0.012199537302565625,0.6633217893838615,0.8938254866171449,10,0.007338874998380268,0.005714780454476988,8.758280179804448
8,0.8442310702106035,TrialState.COMPLETE,444,7,0.06337863750984597,0.7468922815347118,0.7824464480098369,20,0.0021131666982710496,1.4327727904143524e-05,6.735562065709482
9,0.8506712477887388,TrialState.COMPLETE,817,5,0.005971992382206307,0.9612924786302854,0.8918734673010092,11,1.8447028663308484e-05,1.6093569419313542e-08,3.213910976243853
10,0.854764177640371,TrialState.COMPLETE,1074,10,0.15624412676034258,0.5070906295586675,0.5711927841072322,1,2.3032509131318616e-08,76.271174528127,0.1613963075639071
11,0.847049432234295,TrialState.COMPLETE,1994,10,0.035132062624582114,0.8190674450948439,0.6808100885359304,18,6.864104451886044,5.055427501228285,0.4647244343577225
12,0.8454091088884554,TrialState.COMPLETE,1520,9,0.18990271957028115,0.8236685669193875,0.6569401297314524,15,0.03853853380281718,0.033537607148583407,1.492092098406283
13,0.8504181602469381,TrialState.COMPLETE,1527,4,0.0708754853716487,0.607249443996441,0.9939037348387725,16,1.9594211307033823e-07,0.671012643663577,1.60612022385602
14,0.8469842728923664,TrialState.COMPLETE,778,8,0.01686478855025018,0.8168095927584116,0.886840925334043,10,0.0011826921440904858,0.0012621107999812161,5.139795797997592
15,0.8594078969094151,TrialState.COMPLETE,1216,6,0.03921361708776745,0.6125231159862339,0.6761834693023548,6,0.07096161855966496,73.54380245359128,1.2771525175024223
16,0.8463477085274513,TrialState.COMPLETE,712,9,0.12291349085790448,0.768471581366026,0.5006117410877555,1,7.410894939004047,6.926357740349809e-05,1.8592394057547295
17,0.8532250840775348,TrialState.COMPLETE,1754,4,0.005697595790758785,0.883888893038398,0.9335192180567453,12,6.2393469388426186e-06,0.2578436796874159,8.78163960415235
18,0.8452166173140956,TrialState.COMPLETE,1261,8,0.10046060823120884,0.6851135727791353,0.833373271835671,9,0.00970673644612376,0.020189919403221384,2.398465639664278
19,0.8488366371949457,TrialState.COMPLETE,624,6,0.015946409057823706,0.8831033607085068,0.7380340472600858,14,0.46642793071682354,4.609462209354792,4.888775309123772
