number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8381239858834542,TrialState.COMPLETE,481,5,0.0374979945485937,0.8099590124726381,0.5887781159822074,7,1.8239564372370143e-05,2.562621500794736,7.104995083580866
1,0.848053808712578,TrialState.COMPLETE,802,4,0.09559330018120554,0.5438908967072683,0.7164000405277904,15,0.2720472583333282,0.009114348799859466,8.671198291790548
2,0.8339359053767618,TrialState.COMPLETE,1932,7,0.1548754894232662,0.622832106597067,0.6022243544313197,8,4.316376567674492e-07,0.7766232425290921,3.680323764215554
3,0.8386401099062161,TrialState.COMPLETE,1775,6,0.0063364362551150575,0.718361383164497,0.7902724801323866,4,0.008338434829741222,1.781710828963661e-05,7.32884505675832
4,0.837326547151588,TrialState.COMPLETE,1043,9,0.04970778659493802,0.8906903380018747,0.8781175584306676,20,0.0002502150721165074,0.00020958564724416008,9.978814982838745
5,0.8254935363894043,TrialState.COMPLETE,1955,9,0.009951580485894103,0.543591226482959,0.845842279570882,3,0.18655841065437892,4.4429997591746246e-07,0.32116103994250245
6,0.844995031273226,TrialState.COMPLETE,1346,6,0.007998079599546385,0.991415798634534,0.5724031323748058,16,2.1813325767645004,18.12924174796604,2.719816182082182
7,0.8463480924142244,TrialState.COMPLETE,1617,10,0.10950535120429032,0.6769140334066984,0.5197248455200632,11,0.00023214603772512058,0.00011774836546760807,6.843339871049416
8,0.8434758784298765,TrialState.COMPLETE,284,3,0.11673878347742728,0.8989877163276414,0.7478142451130615,12,2.7026332186099213e-05,2.802818763202097,0.11175425139445805
9,0.8396995444801352,TrialState.COMPLETE,1222,9,0.01568436233389796,0.7536334171261214,0.7909447686276089,7,6.878198410031584e-06,1.5640576055820226e-07,6.582149106025307
10,0.8490170528886359,TrialState.COMPLETE,689,2,0.01844598964689271,0.5379845022060209,0.9666192001513934,1,4.4769051142346125e-08,2.2977864642944185e-08,0.496306129417996
11,0.8394280292472548,TrialState.COMPLETE,1924,8,0.18852407526055318,0.6279535535296557,0.6445483921336274,5,1.1851282888846622e-07,0.023778154911381476,3.4999266054616602
12,0.8389452188820681,TrialState.COMPLETE,2000,7,0.03758258578292347,0.5908271418872295,0.9363702374539542,1,0.03260232030232992,1.0652926385979453e-06,3.555004794726628
13,0.8501646642007609,TrialState.COMPLETE,1568,8,0.013801665913209464,0.5087499256483883,0.8680237145468369,9,7.47740039898794,0.020354701727848225,1.900782620118114
14,0.8328750968204585,TrialState.COMPLETE,1675,10,0.05962125555400213,0.6398196528890706,0.6610501226231185,4,4.4864359542086557e-07,5.462167551194817e-06,4.5393468974537425
15,0.8325560147035784,TrialState.COMPLETE,1559,10,0.023756823456252595,0.6733147302564779,0.6791728717229385,4,0.002486257067008659,1.5707202507531413e-06,5.272759564726312
