number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8224101085473028,TrialState.COMPLETE,789,5,0.036553792851854394,0.8762126062253406,0.7154051903578583,8,0.003471342861155235,0.009232626123534399,1.8074089762089374
1,0.8263651644866239,TrialState.COMPLETE,321,4,0.02689102383545785,0.544313652116355,0.8265354531344872,4,4.231519097774255,0.0010209571055282086,0.007625025213157111
2,0.8170840246460098,TrialState.COMPLETE,1225,4,0.18664068347012958,0.8568858073554799,0.9417711208425728,17,0.004381929582220658,0.17176456503448725,5.2328604859410515
3,0.8277693750493026,TrialState.COMPLETE,1818,5,0.005998210660652683,0.6447096856833132,0.6180598533483319,20,0.03199916168202241,1.576005444950534e-08,8.839569369573047
4,0.822022621758958,TrialState.COMPLETE,1792,8,0.0059629093581514475,0.6564904540413784,0.7445228069346488,5,3.928827550612498e-06,0.007408420131489654,7.045643631561795
5,0.8222372922379118,TrialState.COMPLETE,1884,9,0.011383681943248672,0.7007776016945602,0.8340418114158876,19,1.807290289419516e-05,9.153484812017475e-08,1.2243469930830297
6,0.8264405735088843,TrialState.COMPLETE,1906,6,0.005672532268210052,0.9694816118470383,0.6710760570558367,15,2.4154474489969565e-06,8.879659152297792e-08,4.700546306371153
7,0.8181225095888051,TrialState.COMPLETE,1943,8,0.006024304307355103,0.5331918360488155,0.5441750972243546,2,0.4900623088912145,9.535438557471013e-06,6.5790253391469005
8,0.8534808605893178,TrialState.COMPLETE,1478,2,0.08539393497065921,0.5365500666610378,0.8392085853926528,6,0.4505395459753415,9.153168238921912e-05,9.590144756414565
9,0.8141662942611734,TrialState.COMPLETE,735,9,0.09368334360945718,0.885555104878402,0.5059514339530733,17,5.0439404528340255,0.0006124330854454467,4.247401236044111
10,0.8464535441919588,TrialState.COMPLETE,241,10,0.17966003413814177,0.7858797643658895,0.516733081306975,12,1.8844797648715696e-08,69.37776978030219,3.3649124633306196
11,0.8490029789350383,TrialState.COMPLETE,1096,2,0.19597629669965017,0.8807523028511645,0.9933828861358007,15,0.0009670771840553532,1.006396206806815,5.183202425315186
12,0.8485773698154441,TrialState.COMPLETE,886,7,0.08807617844477897,0.8547554381275996,0.9845808118722503,16,9.082871811726225,0.43035730719960713,3.6454491613202666
13,0.8460480538645847,TrialState.COMPLETE,1282,3,0.09586588951059137,0.9958245507852186,0.9193420021168163,11,0.0003018089541224207,0.5822475249114284,6.2180962411569976
14,0.8223487047607722,TrialState.COMPLETE,557,10,0.03998100349972649,0.792044628128817,0.6311917453518582,17,0.024586223084812557,4.898899088637149e-06,3.2203691570890935
15,0.839076945194077,TrialState.COMPLETE,1472,6,0.11983431519743658,0.938135426808617,0.9041152798692997,12,0.18296712371010349,0.03500551546977052,4.775314789081913
16,0.8394087081976415,TrialState.COMPLETE,861,4,0.052831289051604495,0.793252379102203,0.7554064844487023,18,8.445239524739389e-05,96.98040904442094,7.093007900627234
