setting,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
A,0.8643866770149995,0.0035119181551269895,0.5275033472398573,0.004021499668494534,0.42754902060427247,0.004653465473102126,0.7161497165052185,0.004137945090655812
A+B,0.8421216589731533,0.012479331785773169,0.5094929510417309,0.011396981049369632,0.4565715092356843,0.016183689519110128,0.7384523314576692,0.01088589232893459
A+B+C,0.8382141112994441,0.011814052628546267,0.5027064831325002,0.004720777826257582,0.46161198060482656,0.015228912574206497,0.7413454617812699,0.003608187193163978
A+B1,0.8454875869458774,0.007734644678927753,0.5188045342260509,0.007069779551109629,0.4522782513779832,0.01006530793365006,0.7294113633810133,0.005220828065770565
A+B2,0.8748889803570551,0.017269756195578943,0.5273505980879427,0.006846698897954173,0.41337889140264333,0.023234996749626872,0.7111212604540413,0.014972867497761734
A+B3,0.8805922318232005,0.006991798512382322,0.5342890008144519,0.006340387487721236,0.4058610269834375,0.009426369402383308,0.7106891256359995,0.004533828335799973
A+C,0.896980909719699,0.025176417730580044,0.5375382413273885,0.012237719148011476,0.38318281343873234,0.03461555436494382,0.7000341230421047,0.01345563650171414
AA composition,0.9843061608157095,0.0033606759074401443,0.6481872270800595,0.0011662659466469868,0.25769754705957004,0.0050769948871709596,0.5233041754073063,0.0030003929963218837
Coarse position,0.9672557214319655,0.08083666499434021,0.6793142360448161,0.07480720318843631,0.279193065070939,0.12118847950798281,0.6357829365140597,0.030079419497065978
Correct site,0.8342274301134465,0.006337237980290611,0.5022592780188506,0.006495955675585191,0.4667812414934932,0.0081150751863386,0.7388879853470071,0.006017965674388004
Position-only,1.0299546665941617,0.007095071362530665,0.6861162159085854,0.004365453741657661,0.18722722990909252,0.011203599796437376,0.4492213420059715,0.015380589716723684
Shift +1,0.9873468757682147,0.10599636643255086,0.6877554692738521,0.08020469170300397,0.24622485373149053,0.16382986459525892,0.6164116770630502,0.04550193014926135
Shift +2,1.0704520823673285,0.1225320724130053,0.7894593463753299,0.09794124452241809,0.11288566614695288,0.20570041972505693,0.5550559802513915,0.046219583237529074
Shift +3,0.9738867165989978,0.0607231416180007,0.6906582780561109,0.06343248813004893,0.27107650478737905,0.09014430135853632,0.6040509223058732,0.04238283096299619
Shift +5,1.059872766491429,0.30634337800486267,0.7637511447582809,0.2993364113016284,0.08183468585269844,0.5929917233251659,0.6219430625940785,0.062135647096007524
Shift -1,1.0336699966866312,0.03283455015365628,0.7746469919821695,0.025260733102486808,0.18072314321830366,0.05282203025068245,0.6020806520385644,0.009743147371169545
Shift -2,1.070754814703746,0.07961666197148339,0.8102013105756803,0.056574047743476304,0.11770632968101213,0.13529180253026024,0.6082975065106441,0.01683975612378289
Shift -3,1.080208481265026,0.08425855507298577,0.8313280198580479,0.06831565094646545,0.10166072018121748,0.1453748461997921,0.6184845963029248,0.011248290649617328
Shift -5,1.0561910413547007,0.04768137749391838,0.8238704815174624,0.05682314792064009,0.14393072799386344,0.07735315430870823,0.6283537036857015,0.01175008892104813
Wrong site,0.9714888709554999,0.06435587900862828,0.679827728662165,0.057792345034520895,0.2743718945006387,0.09616007968126229,0.6223136016903875,0.03592016387773821
