number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8981094363283715,TrialState.COMPLETE,1239,9,0.019183634429758137,0.853380178739449,0.7166277230375027,18,0.0010827250200108314,4.1052542061996747e-07,7.086099270553148
1,0.8520118719372342,TrialState.COMPLETE,242,6,0.0746580598387205,0.951178751197101,0.7542165317472997,9,6.834601574627417e-06,0.0011381924347674504,0.4076049426944228
2,0.89248689984962,TrialState.COMPLETE,1843,4,0.1811257701716354,0.9545886906784167,0.8713799129931465,4,3.9652701425766693e-07,0.0005968125739133292,5.070771714360614
3,0.9124659666828521,TrialState.COMPLETE,387,4,0.00941305616671147,0.9956448319754434,0.5466228736844598,18,5.106285315777412e-05,0.396314320164162,0.8951216354871172
4,0.9093035676317616,TrialState.COMPLETE,964,9,0.05103293609317715,0.7643593253463332,0.8885922098573618,2,1.3742452557820893e-07,4.714375818076031,9.993959012202392
5,0.8617012068166168,TrialState.COMPLETE,621,10,0.07532636533717056,0.5558579761195976,0.55083543252126,4,1.0334493118293126e-06,2.0029990466260547e-08,2.3370737737676697
6,0.9136645690180896,TrialState.COMPLETE,1513,5,0.012651558839555684,0.6673522115375146,0.7433876000720967,18,3.653013597683121e-05,4.966774260067518e-07,9.30771566934523
7,0.8871917935536479,TrialState.COMPLETE,626,4,0.09749694279584643,0.9874972397037949,0.7058367421921269,4,1.0959412839795014e-07,0.0005902933944830144,3.4934429689035387
8,0.8976813376472104,TrialState.COMPLETE,1624,3,0.011750071692671627,0.623351246211437,0.5967346489446202,17,1.9361374550832877e-07,1.174913629751346e-08,4.718058657507941
9,1.0025688243162216,TrialState.COMPLETE,257,3,0.005385153074230806,0.9993500358550099,0.7048854771088467,1,1.4779961321068204e-08,7.254404877795327e-07,6.341364170071039
10,0.856557780506216,TrialState.COMPLETE,1999,7,0.03172066847847199,0.8382656298144381,0.9699028452115303,11,4.182374337025609,0.004467508975910867,0.5463011851611812
11,0.8530363593836856,TrialState.COMPLETE,1989,6,0.03700082172316538,0.8550484497777536,0.9883196436838837,11,2.435506740400206,0.004178140649911613,0.02288506127624057
12,0.8603329438676593,TrialState.COMPLETE,1056,6,0.03786253698709095,0.8813382966332881,0.9751978868188976,11,6.224224262377359,0.05750644629963914,0.08869535597198076
13,0.8506045480054648,TrialState.COMPLETE,1313,7,0.14265400001718626,0.7602501492624073,0.8413505316858162,10,0.0254308162725072,5.629157768424572e-05,2.087947856404575
