number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8845188997666767,TrialState.COMPLETE,1030,9,0.008398636682655995,0.9653816838061706,0.8276310513279632,10,0.00015661997638765973,5.3074120201831204e-08,8.23186991497671
1,0.8354524530687885,TrialState.COMPLETE,1616,5,0.01546147433504392,0.7272694739574894,0.9355113624770304,5,0.015882100590566946,0.19008686664261198,2.1442948957710373
2,0.8887693505804818,TrialState.COMPLETE,528,6,0.06428015646264885,0.6385667878464771,0.9898542191521074,3,0.0002586790673384853,4.18762637403932,9.404060239001753
3,0.8917927211370578,TrialState.COMPLETE,278,5,0.12953795919810276,0.9414134570814272,0.8734724869353006,17,0.004003187914443064,6.131847422012913e-05,9.409478540530495
4,0.8978793082877934,TrialState.COMPLETE,743,9,0.008411075656773936,0.5304097578168524,0.7352641321180681,10,9.690262523164374e-07,0.011573388835265912,9.735095563065151
5,0.8814114226957025,TrialState.COMPLETE,450,9,0.146624141775343,0.5467826245235259,0.9915639704587621,5,1.564623087816464e-07,0.133281515213,7.523562120402176
6,0.8843721735835947,TrialState.COMPLETE,254,6,0.11622112216621709,0.7563703722045622,0.8148554495320621,5,0.7375220117760627,0.009013377193025118,8.779997331363205
7,0.899837588188106,TrialState.COMPLETE,1274,4,0.15370664082219843,0.597788762328172,0.6941870839757847,19,0.0058604007730253685,7.6991228064474315,7.318483230804246
8,0.8917825922397363,TrialState.COMPLETE,1634,4,0.01767700144570117,0.6735687855054024,0.7196831849182177,19,0.025178943607069786,0.0002467322221279779,8.075636022103994
9,0.8363170599276782,TrialState.COMPLETE,303,9,0.03350837309956942,0.9021647733884974,0.7305993235899406,13,2.1158413222116575e-07,0.00020559094320764148,1.017371887457188
10,0.8591277636892882,TrialState.COMPLETE,1898,2,0.020215338131163305,0.8182832312706565,0.5726228727741749,14,2.68620832816383,1.496355494852388e-08,0.33489429913877444
11,0.8333749505307337,TrialState.COMPLETE,1324,7,0.03631815070174602,0.8545626795510456,0.5161578766182476,10,6.558378738174587e-06,1.3650224738971676e-05,1.27965028888204
12,0.8455225711264674,TrialState.COMPLETE,1451,7,0.041887253825504484,0.7914364610650304,0.5141411239669949,8,4.8259771376569854e-06,1.4335775208832323e-06,3.018712344761391
13,0.8679979367828299,TrialState.COMPLETE,1984,7,0.016470961593562494,0.8533077877356741,0.6267732625324801,2,1.9536791486891857e-08,87.16319650763674,2.97817870723739
14,0.8574170568891821,TrialState.COMPLETE,1193,2,0.030429477751766867,0.7042625907116011,0.9077638192665309,7,2.4139968104256547e-05,2.1316408286142208e-06,2.361386263853843
15,0.8662778281030594,TrialState.COMPLETE,1692,7,0.005081050424849221,0.7380236265052381,0.5075803326364211,12,0.24462430715313302,0.13075523872657535,4.725578497754501
16,0.8727078205230537,TrialState.COMPLETE,951,4,0.06303127854208973,0.8726630186249784,0.6318432572216959,1,0.00018193937597259555,8.296885680433016e-06,4.839183588097143
17,0.8553487874905608,TrialState.COMPLETE,1478,8,0.012611045519138457,0.8269615320344746,0.9233677246083221,7,9.073604215797173,0.0041756919903050615,1.6198878043819347
18,0.8660887806602459,TrialState.COMPLETE,1723,5,0.06857792939888858,0.9073638235228109,0.7917797606781299,15,0.14664451125506725,0.4059069799797059,4.240092095982038
19,0.8361194281949766,TrialState.COMPLETE,1352,10,0.025131280663233033,0.9950891803217837,0.65435214428244,11,0.0021146012791310124,1.3386040950967514e-07,0.16636660875634535
20,0.8679892701205681,TrialState.COMPLETE,1085,3,0.010907354836771284,0.7453144079699948,0.568861646576821,4,1.4966572375291081e-05,0.0012569652943229253,3.669658465244075
21,0.8370553424270177,TrialState.COMPLETE,1333,10,0.025195147123716007,0.9837064107980369,0.6633016038110299,10,0.001106910010202312,3.2103055187365085e-07,0.06063641199298987
22,0.8521176327460702,TrialState.COMPLETE,1487,10,0.04372443814070818,0.9953405163111311,0.571069867807477,11,0.031141325848544402,1.4919668639994017e-05,1.6021534194485374
23,0.8367135166260598,TrialState.COMPLETE,824,8,0.02594299968912284,0.9107377455918241,0.7848976209217724,8,0.00163001390409257,3.834634519921654e-07,0.9959673998626112
24,0.8379352229197976,TrialState.COMPLETE,1815,6,0.04289326204064784,0.7842399880032742,0.6157071912485919,16,0.02617252488230351,8.729960556941804e-08,2.1704908833291174
25,0.8279909181217924,TrialState.COMPLETE,1359,5,0.013094511289077921,0.8653952309443601,0.5387259096014305,6,3.3185865246638296e-05,1.7782481570621927e-08,0.8623998543431134
26,0.8306609414701899,TrialState.COMPLETE,1521,5,0.013705507818974831,0.861139699210773,0.5345306014647557,6,1.8688794003332736e-06,2.0778427268818264e-08,1.1195433471155818
27,0.8978421177053776,TrialState.COMPLETE,1165,3,0.00527028023168202,0.8620947580673612,0.5384848229972624,7,1.198985595132841e-06,1.7148352018345035e-08,6.125043201796862
28,0.8279724765837874,TrialState.COMPLETE,1573,6,0.010349195828831191,0.8224375281427584,0.5407563213496834,9,2.5942186498116602e-05,1.4953051465178539e-06,0.9427820162411629
29,0.8278593260354101,TrialState.COMPLETE,1550,5,0.00734932834767985,0.9428464521835729,0.59486078859292,8,5.637838467219815e-05,1.0244611699009e-08,0.6684890418524627
