number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8718574809134881,TrialState.COMPLETE,410,6,0.014063024840672126,0.6766408634530559,0.7341725240745769,15,0.004782296582883578,0.32256879809979244,0.30922348324463167
1,0.8868542387271581,TrialState.COMPLETE,1793,5,0.023045634845362893,0.8018533941938564,0.859685376160503,16,2.399628246140035e-05,0.0014681398930379232,4.553535337091468
2,0.8942489793523043,TrialState.COMPLETE,658,10,0.15215063993514916,0.8936237349391445,0.9712583268330489,10,3.399996600110971e-08,0.00044223341458218487,6.900798639109103
3,0.8971972350905092,TrialState.COMPLETE,794,6,0.15141984373552986,0.9450610078746513,0.7775115222203871,8,3.923719138948539e-08,2.9589651988545607e-08,7.852639906189392
4,0.8757636871267392,TrialState.COMPLETE,1325,7,0.017723859838409902,0.9375960132245982,0.6473631487474598,9,8.73193214901345e-05,3.30561056178709e-08,3.0346525846200514
5,0.9080081174822155,TrialState.COMPLETE,1521,3,0.18102026578862937,0.8576589505678183,0.5273132286076931,10,0.025756286197141497,4.244463216563874e-08,6.202178264840226
6,0.8959349545229348,TrialState.COMPLETE,324,5,0.057426645604172745,0.6710896614041546,0.5748320125930142,18,0.0023564378517331886,2.312127253640184e-07,4.521592711791545
7,0.9210812272036285,TrialState.COMPLETE,1386,4,0.017994053956836193,0.9577370918534979,0.7294049413861714,17,0.00032584147281851134,58.65612121506386,7.889230280008611
8,0.8919876385017064,TrialState.COMPLETE,265,9,0.041032324136496344,0.7599016241669412,0.926229266847586,2,2.6749782894813974,33.632630551371435,3.2291799491732567
9,0.9068964235939376,TrialState.COMPLETE,1113,3,0.023410706774736965,0.7667399948105701,0.5606208331173393,3,0.00025207295006481626,0.00040808485772793633,8.291162840424867
10,0.8821412685554192,TrialState.COMPLETE,1980,8,0.005599206927515736,0.5486036875785985,0.7023028801031609,14,6.252105086857922,0.25466114730708733,0.07913929239163212
11,0.874870432560085,TrialState.COMPLETE,954,7,0.008331302706862944,0.5184972270198585,0.6443608757191811,13,3.275904186356933e-06,3.1959301164859993e-06,0.1048669742987074
12,0.8728632836527142,TrialState.COMPLETE,748,7,0.006574835225284904,0.5254780249209741,0.810433765385721,14,1.9724604277388375e-06,0.14957429946720896,0.672877349261969
13,0.8744338096812427,TrialState.COMPLETE,554,6,0.008520493265207431,0.6262449587107273,0.8284179565944223,13,0.060643753074341854,0.1771818494513353,1.7160686133528036
14,0.8779098773577285,TrialState.COMPLETE,492,8,0.010550494948024298,0.6200638744877391,0.8476618403144761,19,6.590411495353053e-07,0.3280525868910005,1.6768354853104799
15,0.8781638236012363,TrialState.COMPLETE,831,6,0.005850535489465146,0.6916960054688015,0.7834572652074094,20,0.12413449684547083,0.009183322841482211,1.454508097259815
16,0.8719208915089075,TrialState.COMPLETE,415,8,0.01367991401230066,0.5690086260122049,0.6917410726657398,6,1.0430923819651077e-06,2.559710489562542,0.953525704930609
17,0.9127210956250461,TrialState.COMPLETE,430,10,0.012174850615351953,0.5883110038125252,0.6496714717171174,5,0.001730949846711976,3.9910908055135845,9.65235053291029
18,0.9228473060310551,TrialState.COMPLETE,205,2,0.03652086430204774,0.6976652454598421,0.715100787158897,6,1.0674447338870478e-08,6.8275496915098035,2.8397709499122623
19,0.8763768276402955,TrialState.COMPLETE,572,9,0.09363859980731218,0.5829209791567528,0.6026990782419319,6,3.0503093324453033e-07,1.4292097786168384e-05,1.1182390596548395
20,0.8658750810965994,TrialState.COMPLETE,1046,8,0.016022186476564493,0.6662014575456042,0.7457613520995197,1,0.48380860353049293,0.01301351482565271,2.37551674366468
21,0.863900981024872,TrialState.COMPLETE,1050,8,0.013633579704587206,0.6585586534835023,0.7566464570590461,1,0.5430417004416238,0.007133210585240253,2.314262847784512
22,0.8671532068983855,TrialState.COMPLETE,1136,9,0.03415125773525376,0.7227642855630216,0.7608891376340229,1,0.6062482411860091,0.026263243893538197,2.407991801483293
23,0.8763392227542035,TrialState.COMPLETE,1087,9,0.03221854893909209,0.7389884988550889,0.8904196335232964,1,0.6157051726147319,0.012357438639046595,4.3012394229112045
24,0.8679725463913269,TrialState.COMPLETE,1173,9,0.05041907643444475,0.8211261582068712,0.7742242470975773,3,0.7873818107977132,0.012854968299861226,2.3974156194669156
25,0.8680227970781732,TrialState.COMPLETE,1284,8,0.026285304184019913,0.6428683103131194,0.7412286700232094,1,0.27776000756911556,5.853068888311731e-05,3.368364127074249
