number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,1.0036869253034106,TrialState.COMPLETE,1443,8,0.04070892248590318,0.9350336198155615,0.7115016562727923,10,0.00026787468648771404,0.001217191273170263,1.6980028750384923
1,1.01922667225522,TrialState.COMPLETE,1825,2,0.13712591746513797,0.8170607098749061,0.6209228000720477,7,1.5037987377172894e-06,1.0983905903522566e-07,4.180455833303844
2,1.0390488832249563,TrialState.COMPLETE,530,7,0.010493180338241332,0.6986126545455223,0.9035329678869969,7,0.09951765815287038,58.717394552584004,6.518936768943785
3,1.0155215334087897,TrialState.COMPLETE,1076,8,0.03715827312607463,0.9628854224961203,0.8971224809135167,15,2.791793352514171e-05,4.160294729437915e-07,3.210973203430555
4,1.020752719737546,TrialState.COMPLETE,1183,3,0.0050540387287053914,0.9174377654028214,0.9047935009696677,6,0.015400195783103827,3.028014589291429e-08,4.8586036239835355
5,1.0410188870995212,TrialState.COMPLETE,227,2,0.020207952631147344,0.913970826546462,0.7799151197820589,2,3.2354597105206533e-06,4.2791869102318786e-08,6.05708529209407
6,1.0027533587042425,TrialState.COMPLETE,758,10,0.005635661454718757,0.6117331785349627,0.8868382073343382,11,0.1713446354714537,0.02634899499370706,1.470744450383451
7,1.019867686179282,TrialState.COMPLETE,814,7,0.13904517031168198,0.6643570867603049,0.7591776108865088,3,2.4113394617286676,8.624479602968537e-07,6.082947777536273
8,1.0486722372810964,TrialState.COMPLETE,300,8,0.007480038702444329,0.949598094195278,0.692750724966845,8,8.359044263813599e-08,81.1870683037036,9.615641492289768
9,1.019261782758539,TrialState.COMPLETE,1719,9,0.08729730035725713,0.9213411791656891,0.8085888897019885,7,0.3244052542543564,1.9629385663965533e-08,7.666816602169215
10,1.0011276722667297,TrialState.COMPLETE,738,5,0.01730703928353324,0.5008302986759355,0.5225570147102006,20,0.0011010581141311009,0.09476594321401448,0.5307885156335451
11,1.0034706842454133,TrialState.COMPLETE,696,5,0.014834588675828713,0.5031936769720912,0.5111476021649912,19,0.0006185252686727443,0.05615033409525738,0.13334792502084825
12,0.99257829264627,TrialState.COMPLETE,978,10,0.02352465731826341,0.5145461349928776,0.5071762858202875,20,0.005747467939275581,0.02547007893942893,0.16910539066253882
13,0.9965995209699547,TrialState.COMPLETE,996,5,0.028608103255485073,0.5055234507114181,0.5037428887436394,20,0.00606938202173426,0.558040063796642,0.22847955330473715
14,1.0057356840806535,TrialState.COMPLETE,1100,5,0.035656743888247515,0.5836181210278417,0.5882722600687761,17,0.007923870752597748,1.6781572480803997,2.397978385354386
15,0.9939426339822897,TrialState.COMPLETE,1341,10,0.06195609908627259,0.5700851911191582,0.5942211607559946,15,3.8346616541570753,0.00047987825295555325,0.026803341120848118
16,1.0158119653249238,TrialState.COMPLETE,1422,10,0.06703689578725743,0.5776338778477494,0.5982450400593484,14,8.936696273676919,6.727153295347364e-05,1.8214223636742268
17,1.0153944932463639,TrialState.COMPLETE,1388,10,0.06543925214969587,0.7320154959002345,0.9966664479553383,15,1.0511848165406394,6.421019039900076e-05,2.9654073860041383
18,0.9966966077885686,TrialState.COMPLETE,1279,9,0.0572714087380215,0.635597665382853,0.6360359217292586,17,6.227006340221703e-05,0.0017016920647093174,1.132126661144339
19,1.011233415781992,TrialState.COMPLETE,1574,9,0.19088455200998677,0.5600946390240947,0.5677061123996218,12,1.0404808888198657e-08,1.75976834637675e-05,3.723349352378194
20,0.9969628140060136,TrialState.COMPLETE,1960,10,0.024933023884752055,0.7651415678064464,0.6686163323921952,17,0.05353842048383311,0.0071990402477235755,1.0574392713953578
21,0.9965921620122882,TrialState.COMPLETE,975,4,0.025707331273944287,0.5358502323314159,0.5545938121630101,20,0.0063445958869515024,0.6992742282240574,0.11289127183450345
22,1.007417822194368,TrialState.COMPLETE,962,4,0.01155474276050356,0.5497642273682538,0.5604530643680473,18,0.002668901181448675,3.5419977700153114,0.0016193157562211652
23,1.0005110672728592,TrialState.COMPLETE,1247,6,0.047067409407747396,0.5402567902315748,0.5436271110823439,13,0.029519236037025564,0.0005197910671250311,2.2860465962527496
24,1.0133924582323053,TrialState.COMPLETE,909,3,0.026529138331297022,0.617241427897147,0.6364242569560808,16,7.500226578835656,0.4453720392949917,0.7707181322669923
25,0.9965007979703892,TrialState.COMPLETE,577,9,0.09838092247870424,0.6645180639496557,0.5479319850890422,19,0.5694604963837454,8.562665032148397,0.9997303163541152
26,1.006082026751642,TrialState.COMPLETE,536,9,0.10149312234842711,0.668289014827798,0.5917290896726741,18,0.8417874866437597,7.177844552096093e-06,2.3653946651547657
27,1.004036832970518,TrialState.COMPLETE,563,9,0.09168772123873345,0.8168486914750808,0.6754043565674145,15,0.4676007322850965,5.481079345167857,1.3565532725473022
28,0.998349363806378,TrialState.COMPLETE,1596,10,0.11264938707526541,0.5999972558858983,0.5331153434686403,18,3.0106526627342975,14.15202811081618,0.9488245404037245
29,0.9996519500950493,TrialState.COMPLETE,410,8,0.05085134671372966,0.6463686519721761,0.7218474602090605,10,0.0001677634500893733,0.0017186495046274445,1.9638808162245593
30,1.0094031631108475,TrialState.COMPLETE,642,7,0.18765365508024898,0.681073768354672,0.6191894723324147,13,0.045921539144348655,0.00948843959821825,2.89285755287381
31,0.9915823886660029,TrialState.COMPLETE,868,10,0.03273581633140468,0.5320450637974831,0.5603363580867758,20,0.0012774935592760495,0.16346726284281554,0.6058168462415281
32,0.9924464539634509,TrialState.COMPLETE,863,10,0.07565401633402423,0.5713596674179403,0.5757203612339252,19,1.3383250136698816e-05,0.00036723249615021753,0.6793090419848342
33,1.0006124994928465,TrialState.COMPLETE,826,10,0.040810564264155316,0.5276965417985082,0.5020195720144044,19,4.112926535436514e-06,0.0003701407711194848,1.69296364722269
34,0.9894554771409966,TrialState.COMPLETE,1307,10,0.07167437134973424,0.5783967569986271,0.6110755530343304,16,1.227678647091375e-05,0.005184094026268785,0.5959104023722512
35,0.9932093365250901,TrialState.COMPLETE,1053,9,0.03289612495727084,0.5857930108411709,0.6429876164063095,20,1.5608818241689462e-05,0.0094410107103272,0.7717873906441804
36,1.0138650820735469,TrialState.COMPLETE,1168,8,0.08032059844474905,0.6243157998482438,0.5709842836408023,16,2.0865116577698387e-07,0.004008663701213178,3.600898718282588
