number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9219731775716609,TrialState.COMPLETE,1691,3,0.01876004351721077,0.8867153261764338,0.8848636580869647,9,0.0011134307572463129,0.31555870642748646,6.371117498471056
1,0.9166738680083856,TrialState.COMPLETE,1288,5,0.06757848129684084,0.9104057551192928,0.8486355066958111,2,3.27527743376937e-07,7.53232291010773e-06,8.039844891381748
2,0.9426453038229382,TrialState.COMPLETE,1956,10,0.009057901389041965,0.5379909918329422,0.9832784853376314,12,0.05385084445349725,51.11113622759123,8.068883795225053
3,0.9164708341154809,TrialState.COMPLETE,1001,10,0.007524013940578764,0.7937383859130097,0.6987814347742178,17,0.0037115733408414763,0.003609487357928345,7.082506717744666
4,0.9391229875708605,TrialState.COMPLETE,1600,2,0.12481495508869822,0.6977497045698671,0.652116513496575,11,3.2729061465328473e-06,41.29844196059594,6.3197383934822104
5,0.8927969226823383,TrialState.COMPLETE,540,6,0.1874145722442854,0.5452112479913898,0.7888187042998369,5,2.088677363802992e-05,8.840213351744711e-05,6.165851631936604
6,0.9251773881622154,TrialState.COMPLETE,1064,3,0.013272428532940037,0.5194216089347996,0.9175773329695184,7,0.005772708915022597,0.7872143668492658,7.943739807191267
7,0.9194009521880515,TrialState.COMPLETE,1002,9,0.07817730447553412,0.972526569163324,0.6187816181442443,17,0.9309927794139696,2.50900462711062e-06,7.43676395353427
8,0.8881116299895164,TrialState.COMPLETE,627,7,0.12334422055780485,0.9109242897154383,0.5728972943148661,1,0.09895915016300662,0.0043829950187564675,4.18225544784014
9,0.8839321707595087,TrialState.COMPLETE,1970,6,0.0059677277548490235,0.7928962578813306,0.8734073795139202,12,5.726802545852488,1.17707915285391e-08,0.7868336220503425
10,0.8773880483906322,TrialState.COMPLETE,252,8,0.03278391582240941,0.6693230128152032,0.5154766104719705,20,1.1667215742731661e-08,1.5612512741580142e-07,0.1310629366410856
11,0.8820987429805219,TrialState.COMPLETE,225,8,0.0302859525613634,0.6819075764051148,0.5086882355775675,20,1.4395533467917129e-08,1.0403201391917407e-08,0.080104947665909
12,0.8817615840732077,TrialState.COMPLETE,224,8,0.03092324347887113,0.6649997244291154,0.5069371587896867,20,1.0276895332088988e-08,1.1728477517603064e-08,0.34121506845491417
13,0.897088388240202,TrialState.COMPLETE,209,8,0.031817574456190864,0.6349599741679602,0.5022703477921969,20,1.4358220514465046e-08,3.094123167869205e-07,2.5833668245936754
14,0.8866824907195069,TrialState.COMPLETE,496,8,0.038621460045702695,0.6218686929157748,0.5557123347296595,16,2.054156718170027e-07,1.8728523436133092e-07,1.7738101654993523
15,0.9006579569619425,TrialState.COMPLETE,343,5,0.019184274847628982,0.7424392923237844,0.5925663036248727,16,2.2074940675636562e-07,2.2219136358852238e-07,3.2475461291983527
16,0.8771721056295946,TrialState.COMPLETE,700,9,0.049777557608234435,0.5894011786138775,0.7056044838226627,20,1.8157224207054756e-05,3.994678800626542e-05,1.2427734287520105
17,0.926637168130262,TrialState.COMPLETE,767,9,0.047443441069325354,0.5745258436858678,0.7317177242089778,14,8.150306639638734e-05,0.00023049182734301087,9.706974585773704
18,0.8800438285462828,TrialState.COMPLETE,746,9,0.06016594998022827,0.5912754347565644,0.7781574337492574,18,4.920909736520734e-05,3.195412811052819e-05,1.5940163861957783
19,0.9004351819871136,TrialState.COMPLETE,828,7,0.019877417714296044,0.7347049060209643,0.6464029565170917,14,2.0253274483214883e-06,0.00247537580467444,4.274297721172305
20,0.8818385905844712,TrialState.COMPLETE,407,10,0.08336915498972729,0.5035971567169454,0.6849877129963129,18,0.00037124125202151956,2.428984906708466e-06,1.596130392765791
21,0.878070672626683,TrialState.COMPLETE,781,9,0.05400620462767063,0.587402709094428,0.7879267242011649,18,1.3687071020509345e-05,4.445201786831156e-05,1.482312764566704
22,0.8914935467637607,TrialState.COMPLETE,1170,9,0.0532793465697681,0.605022072444464,0.7833543898767306,19,6.6990335101044065e-06,0.000842966396278901,2.710477700467893
23,0.8762460468705184,TrialState.COMPLETE,853,7,0.101442689051485,0.6451345957553779,0.7358471540208498,15,0.00037735526817244276,0.030865069139797745,1.429150107113949
24,0.8783442412002354,TrialState.COMPLETE,1383,7,0.10977115619074185,0.6613679022104594,0.7204371896592726,14,0.00021364338285545306,0.024320686387178436,0.8550570611565069
25,0.8937888931104615,TrialState.COMPLETE,883,6,0.0911016746577383,0.7252068690037825,0.7356711722271793,15,0.03814847141853958,0.09732707858818354,3.627523318750213
26,0.8826798204766075,TrialState.COMPLETE,624,7,0.15191443578815328,0.7788173309513906,0.8317716635519651,10,6.674015023205178e-07,2.2293482985611006,2.4689556399073056
27,0.8839024801378287,TrialState.COMPLETE,399,5,0.024517283562654334,0.6284804902329364,0.6567039779888897,19,0.0014292024892049108,0.04145494926322981,0.8915672556658316
28,0.8744226206429054,TrialState.COMPLETE,645,8,0.04058655432169526,0.6990239118496223,0.961824556143926,16,8.08707465375069e-08,7.401920034155004,0.14642469487378595
29,0.909573727965403,TrialState.COMPLETE,692,4,0.04021075029641924,0.8437512638920734,0.9858155612497387,8,0.00041841316919441496,5.332439870732439,5.319087041125647
30,0.8834346912143324,TrialState.COMPLETE,902,7,0.014905541563858189,0.5588033654471172,0.9258779398857925,15,9.461880054956952e-08,0.23625840657854408,2.1403854559154256
31,0.872829958117877,TrialState.COMPLETE,557,8,0.03771721006296205,0.7085690676621931,0.9076608303286354,13,5.5922901328065187e-08,0.0003073081247649856,0.2001624409412962
32,0.8723061356392853,TrialState.COMPLETE,552,8,0.04378733842549888,0.7093457880166056,0.9473762067922477,13,8.666716272022852e-08,0.00043009254306517104,0.8491601760653464
33,0.8731504970547654,TrialState.COMPLETE,533,6,0.04211690264220021,0.7119083841704844,0.9185957527428367,12,7.508435873915765e-08,0.0004556527895838198,0.6042897118631598
34,0.8709208104670784,TrialState.COMPLETE,504,6,0.023852858435722765,0.7046901430754734,0.934231571658885,12,7.043341817464295e-08,0.0004982522755083565,0.5011914380364404
35,0.8758076541351942,TrialState.COMPLETE,508,4,0.024608701890195362,0.7687153402285888,0.9366096045170923,12,5.433368106602575e-08,0.00048662242807397083,0.7331043486634431
36,0.8819942866950298,TrialState.COMPLETE,531,6,0.014254904076025978,0.8286883074941455,0.8954847532106641,10,8.079121143244362e-07,0.007032933998443263,2.0019365583736333
37,0.8718744505037297,TrialState.COMPLETE,351,4,0.06906115422411525,0.7152756719764677,0.8435045355930288,12,5.8332274703529417e-08,0.0001676411407444133,0.6859607657317589
38,0.8791238973348298,TrialState.COMPLETE,347,3,0.072516729557602,0.7558924229226902,0.8499473076774383,5,1.10781600193079e-06,8.692280044538473e-06,1.1490492289646315
39,0.9880963233506483,TrialState.COMPLETE,411,2,0.00938158902060425,0.8080215490463244,0.9676838329148646,13,3.45900940959822e-07,0.00014648575246502095,3.2080022093091394
40,0.8839589276451637,TrialState.COMPLETE,1655,4,0.02504069660850799,0.6934989262469922,0.8804156695012062,9,3.6997209148741554e-08,0.0019404957228270703,2.1752308261912603
41,0.8743697308868116,TrialState.COMPLETE,570,5,0.07039304566135694,0.7155393642806098,0.998972890421761,11,3.608969021936917e-08,0.00029059834378688604,0.5206017991182132
42,0.8740348755987185,TrialState.COMPLETE,1823,6,0.04349409014663551,0.7038706525852861,0.9085560597057094,13,1.1960327009906404e-07,0.0009184084547913175,0.5269259348296226
43,0.8712316531442433,TrialState.COMPLETE,451,4,0.06610630115874888,0.7532734284469009,0.8310696439603283,12,4.2218644104373745e-07,1.3991802975362507e-05,0.013637254402014243
44,0.8700198559947862,TrialState.COMPLETE,319,4,0.05991576010845766,0.8663061001078176,0.8357430679318737,11,2.4667156556257767e-06,1.1654736968956556e-05,0.043033824605216514
45,0.8665708841933415,TrialState.COMPLETE,354,4,0.05923152001015375,0.8925059418782761,0.8205136724640156,11,3.144635786872107e-06,4.577586175731533e-06,0.012217841786926975
46,0.8653370705855512,TrialState.COMPLETE,310,4,0.0649677768645794,0.9308172116443233,0.8195829527862193,7,3.82202923212466e-06,9.129994373108334e-06,0.0011088776868393019
47,0.8685126965440239,TrialState.COMPLETE,296,3,0.19887613431273446,0.9628062424570784,0.8167281040057524,7,4.82437161917883e-06,2.0595582909444e-06,0.0444265129761934
48,0.8841553453121129,TrialState.COMPLETE,252,3,0.1582150406498295,0.9693886152067469,0.8151908649920833,6,4.4956890585028715e-06,1.3577503520433324e-06,1.1323236601096687
49,0.8648684022918115,TrialState.COMPLETE,284,3,0.19511501108182472,0.9397997429872973,0.762059471828949,5,1.8646293127765748e-06,7.00148799713992e-07,0.0755870821436451
