number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8937283810154164,TrialState.COMPLETE,1387,3,0.10982392477048329,0.8633508134552479,0.8340176487528201,8,0.00028879366953361987,1.886073140865961,8.1576933491581
1,0.874202297371878,TrialState.COMPLETE,1695,6,0.007357325918356788,0.5663332412112203,0.7691440488833319,7,0.00011191460345092813,0.4854112448885738,7.438303687956461
2,0.8790423797681488,TrialState.COMPLETE,1444,6,0.007602058455544781,0.8587099345319215,0.9160663576152628,10,0.023042548622031003,1.3763745032520357e-06,8.756942541433283
3,0.8824720510374698,TrialState.COMPLETE,418,6,0.18933160000085136,0.7111947357355297,0.5556690032129346,8,5.836021549500209,0.00011253358883187938,5.3398246481797775
4,0.878337395308979,TrialState.COMPLETE,1419,3,0.005013835863625879,0.6614099710762706,0.8340578852862808,7,0.015058889683414279,0.9002196308356529,0.997029201291697
5,0.8897847180944597,TrialState.COMPLETE,330,3,0.10427814117407784,0.5160698919167059,0.5391737787592998,13,0.0006828751442797022,0.002874727216706153,8.090930072122008
6,0.8795955940084432,TrialState.COMPLETE,1764,7,0.013628668512519152,0.7164319588733964,0.934773578505513,6,0.00208701475391663,0.06516642322131491,9.509715802267847
7,0.8683388620838068,TrialState.COMPLETE,516,4,0.07300140280599753,0.6601078512572555,0.9090460361039912,11,5.0926882282170994e-05,0.19397097876650543,6.586837323469608
8,0.8474329136753852,TrialState.COMPLETE,1012,4,0.07811245653161647,0.6071990702188255,0.9010910853867156,7,0.01733161530932638,8.038338630477186e-08,1.7543320036987797
9,0.8580488363066954,TrialState.COMPLETE,1097,10,0.006003498785920802,0.6776510701715983,0.6712132390089252,2,0.7421677403910271,1.4271200720424667e-06,5.183361635998466
10,0.8431101079337805,TrialState.COMPLETE,848,10,0.029644837068625286,0.9931934638055415,0.6698583581819815,19,6.891498929119119e-08,97.7555173878455,0.9153647247047708
11,0.8345478120486208,TrialState.COMPLETE,859,10,0.024969284989013747,0.9780152421574165,0.6760193914004532,20,2.5030034508660167e-08,62.95654420476321,0.5239474280285359
12,0.8667453701541289,TrialState.COMPLETE,819,10,0.02657638198611377,0.9936388167301394,0.6629846467643068,20,2.2550269885754767e-08,94.78128510193875,2.6212359922988036
13,0.8322025835048027,TrialState.COMPLETE,749,9,0.029430390075503174,0.9975260006656687,0.661708071151386,20,1.4949651044716953e-08,73.59041784047612,0.19896184778526804
14,0.8319288572724493,TrialState.COMPLETE,674,8,0.03205413432765159,0.9047520067878266,0.6025033504736826,16,8.264614724642706e-07,11.937053105413442,0.02934144297284705
15,0.8543640731881184,TrialState.COMPLETE,581,8,0.04239915883823058,0.8848557133407706,0.6201681463302168,16,1.5138548951345846e-06,7.099074518013035,3.0488055852424014
16,0.8518624131273723,TrialState.COMPLETE,207,8,0.014107141776221912,0.9088353508535741,0.5044852177649692,16,1.2558614813507712e-06,0.007096665630626031,0.008233738292373421
17,0.8525331196494165,TrialState.COMPLETE,673,8,0.04217671031375456,0.8061060293415817,0.7481129683077284,17,3.185542609449297e-06,8.037315303948922,3.5071030538903822
18,0.8426921906670103,TrialState.COMPLETE,1146,9,0.01374111370812927,0.932041971042938,0.6001629438723778,13,2.335718106857046e-07,0.019244187799866492,2.003093629203559
19,0.834740416930627,TrialState.COMPLETE,656,7,0.046075998558926426,0.8210319815691169,0.7345173679787603,18,1.4674559924099752e-05,0.0002688811579664507,1.4453536691958426
20,0.8624304758444755,TrialState.COMPLETE,1192,9,0.019792372686187786,0.9445629315214477,0.617966310394203,15,1.722551788345309e-07,4.813423791649159,4.198077194881253
21,0.830098061306654,TrialState.COMPLETE,864,9,0.02556367407026457,0.9634370767283793,0.6845155091802458,20,1.1191765985654326e-08,22.5776837502631,0.11601876566550813
22,0.8323684096493361,TrialState.COMPLETE,945,9,0.01899934965750405,0.9457365861937479,0.7147060211905736,18,1.0305840038945807e-08,15.231994989640205,0.17098475950681355
23,0.8339381641004244,TrialState.COMPLETE,813,7,0.05633804260577746,0.7943848024056337,0.9976125296943489,14,3.511474115904749e-07,14.41147226269294,2.0949447006941004
24,0.8390641942022525,TrialState.COMPLETE,703,9,0.03264847390155208,0.898253773127848,0.5790207427446346,20,1.0928774825222264e-05,0.9614172034343564,0.9803964108363411
25,0.8276844373373932,TrialState.COMPLETE,393,8,0.019311559184026505,0.9583277470750036,0.798727057300281,18,7.142388625210917e-08,0.08321073724649707,0.02149212531555078
26,0.8355666333492865,TrialState.COMPLETE,450,8,0.018883418319493892,0.8422060809267227,0.795464270236527,17,7.750024839078554e-07,0.11015500269464705,1.4162153932343324
27,0.8630969237918535,TrialState.COMPLETE,242,7,0.011097561459334717,0.7580974813999682,0.8136529111702093,18,8.129363442934605e-08,0.001030487432240519,2.7117658293110685
28,0.8381526932263883,TrialState.COMPLETE,396,5,0.022097061559281747,0.9523683992509521,0.8587345698321655,15,5.3757330692502055e-06,0.019728140606502124,0.6825503395245323
29,0.8439155403254068,TrialState.COMPLETE,545,8,0.010033916392795644,0.8750172570542184,0.6982016410529432,12,6.199241851406431e-08,2.5902821146768265,2.1831314342896073
30,0.8590722153558277,TrialState.COMPLETE,1269,2,0.034189505640338416,0.9247755770591565,0.8631613030318516,16,5.326899926372096e-07,0.20383021262701947,1.3602260291602568
31,0.8324474981593925,TrialState.COMPLETE,740,9,0.036636485399097064,0.968786165748181,0.6203106387810242,19,1.1971843383932195e-08,1.8554873143946584,0.07817817646664196
32,0.8329914159264101,TrialState.COMPLETE,960,9,0.017546487896340168,0.9981651397615,0.769688878641894,19,5.964712851030666e-08,26.756202639907734,0.04909749210612713
33,0.8330063326101584,TrialState.COMPLETE,609,8,0.05758678614187322,0.9060836814924363,0.6391218341779272,17,1.9365261048557292e-07,25.50011665440307,0.675627136150543
34,0.8355768607330146,TrialState.COMPLETE,299,6,0.02469961491248122,0.856989234711197,0.5742327133544148,20,4.240230767684754e-08,0.4772834204992193,0.5553200829738678
35,0.840553980366282,TrialState.COMPLETE,1945,7,0.19574622903547353,0.958935466872704,0.7091580674309247,18,2.8835967915724598e-05,3.1600533993161184,1.2920772598590409
36,0.8348770211580099,TrialState.COMPLETE,491,9,0.009553493934772766,0.924428652574409,0.526078565237523,15,1.2684727497639122e-07,7.72908260359351e-06,0.49988000983868985
37,0.8440003417680719,TrialState.COMPLETE,744,8,0.016247637066500946,0.9701896981784732,0.767869908736374,19,1.1968664961140872e-08,0.5135381299355766,1.7907230179408313
38,0.8378013013315747,TrialState.COMPLETE,358,6,0.05342352241644039,0.8419598588313817,0.6443353454884438,17,5.657246179414147e-07,0.04933263779305217,0.8980416458746289
39,0.8344667409040845,TrialState.COMPLETE,1301,10,0.12716744505291627,0.8938229831979063,0.5890301595446512,10,3.959420481049711e-06,21.911196912844133,0.018130711550010822
40,0.8412127469240883,TrialState.COMPLETE,1038,7,0.030444075769023,0.5060086737728378,0.5448202595937617,2,3.010334161010895e-08,3.0027287664623735e-05,2.3846330707168537
41,0.8298654909208202,TrialState.COMPLETE,919,9,0.022432516212074045,0.9422656570029435,0.7207654229082888,18,2.8683586823139343e-08,32.3921038559572,0.3974023189691125
42,0.8428838972633761,TrialState.COMPLETE,927,9,0.023320774594925466,0.9220157356652856,0.7462665781351211,19,1.0207077209355669e-08,57.611979375287945,1.4229732002009936
43,0.8342340467258488,TrialState.COMPLETE,756,10,0.029131612099323387,0.9721222634516753,0.6932439257892915,14,0.00026888465071777556,2.980839064996972,0.4244382226150368
44,0.8359853135594295,TrialState.COMPLETE,1479,8,0.016078089998179387,0.9496535047666109,0.7848035113308567,20,3.231301516387628e-08,1.7732283628437643e-08,1.1504356734896721
45,0.8388270218823437,TrialState.COMPLETE,881,9,0.011850846776213236,0.9980577589944535,0.7250936819794562,18,2.1591938041570799e-07,1.2925338309624859,0.8789388669567006
46,0.8374480896423492,TrialState.COMPLETE,571,10,0.03613096131834934,0.8779294054855883,0.6507844578654921,16,1.4358798744165384,36.28849854480314,0.44537651747032614
47,0.8928649537781278,TrialState.COMPLETE,1014,8,0.021824593617154647,0.971771432865238,0.6849697204224051,19,1.765945423867353e-06,8.7861560092036,9.530388591882964
48,0.8685138355580945,TrialState.COMPLETE,638,9,0.027108277411094166,0.5910136589896016,0.8272508111762208,4,2.6245828106616444e-08,0.42195114314482995,6.899806755502498
49,0.8551377743250977,TrialState.COMPLETE,811,10,0.007819410557262124,0.9340718007800911,0.6608828925235953,17,1.011467342960107e-07,80.81847859411555,1.7235159744490431
