number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8689167675466811,TrialState.COMPLETE,1843,8,0.012803665565914722,0.8414776873645919,0.8549576148399931,1,0.001959961676196986,1.532660966296282e-08,7.264960349866904
1,0.919007619747707,TrialState.COMPLETE,572,2,0.020717963000516565,0.99411412415918,0.680578566294085,20,2.809799653871381e-06,2.736094438740566e-05,8.237728345807545
2,0.8718773812545931,TrialState.COMPLETE,1358,9,0.060105729975347126,0.9956468030248296,0.6276311981807171,15,6.765357642361025e-07,0.07735907212987866,6.208732629919764
3,0.8582720895597236,TrialState.COMPLETE,1916,8,0.008346605112576533,0.9494218012213378,0.9271343626573776,16,0.0025093177581956465,4.863839799622825e-05,4.6641256087290675
4,0.8597041884419707,TrialState.COMPLETE,1761,6,0.08595279001582322,0.8658615687678466,0.5038608356327225,16,0.02382674960893488,0.024379717471186245,4.487121731306127
5,0.8326363211657652,TrialState.COMPLETE,865,9,0.019038040106222173,0.7799875051188536,0.7796288214025447,10,1.3538246908926093e-06,4.7922207409294394e-08,0.3735681115220779
6,0.9277336104584409,TrialState.COMPLETE,314,3,0.008782552654561562,0.8327967411881586,0.8360331872262776,2,0.00030176222654998685,1.6883692405212425e-06,9.754861447984931
7,0.8852248492296492,TrialState.COMPLETE,1078,10,0.00630091562462161,0.8337306143473677,0.6569555353690626,18,2.8413276959799134,0.01808363025687619,7.681956497618558
8,0.9018231621860142,TrialState.COMPLETE,312,8,0.009215808451037373,0.7879526114494491,0.7561718644252453,15,3.3407760024675115,10.624519739299172,8.07331647375719
9,0.8555298960512717,TrialState.COMPLETE,528,7,0.03765962143001304,0.9772167549390742,0.8214716370577209,17,5.818108929243892e-08,2.69076520505552e-06,2.9925976456880887
10,0.841674196302869,TrialState.COMPLETE,974,5,0.18849639496434548,0.5504042492332779,0.9917865273952162,8,1.765140007685939e-05,30.524080694966035,0.33760026127488507
11,0.8440703017054025,TrialState.COMPLETE,988,5,0.1790728538455754,0.5401933069731588,0.9939972769885356,9,1.2371499068550697e-05,89.13330156534235,0.23956169136786665
12,0.8501553907894206,TrialState.COMPLETE,909,4,0.15232128697322278,0.5771278373824619,0.9965180220161383,9,2.584982400316686e-08,1.2668947494991568e-08,0.5621717685824805
13,0.8381549842811405,TrialState.COMPLETE,1313,6,0.025154734805750242,0.6582346535705088,0.9080154301722748,9,3.005096754447627e-05,1.133273667440022,1.8740669965189105
14,0.840655605391675,TrialState.COMPLETE,1436,6,0.02469466144113734,0.6790672051793032,0.9019715377729416,6,6.991168575029752e-05,0.0005471866752693548,2.107665954641189
15,0.8447942007572422,TrialState.COMPLETE,1296,10,0.019478163392955952,0.6982192925300689,0.7658261579488681,11,3.6842640114810227e-07,0.512130095709307,1.97534771109146
16,0.8421409744420468,TrialState.COMPLETE,730,7,0.029264393874978253,0.6678417760388312,0.7473343795474512,13,0.0820690761912988,0.0011011151063967867,1.7908067684921318
17,0.8543110017967921,TrialState.COMPLETE,1626,9,0.05197113564186129,0.7385124674868839,0.9139103436804203,4,3.799905391890079e-07,1.9802773493256127e-07,3.6011860332243484
18,0.8421283443169496,TrialState.COMPLETE,1178,4,0.014530579478748603,0.6191432867297801,0.5255029539572925,12,1.0765210077016037e-08,0.7914207077110698,1.2245006051920027
19,0.8516441976873219,TrialState.COMPLETE,1546,7,0.03520463394640892,0.7535703661052623,0.7941058420473445,6,0.0001165257096903167,0.00411660038637653,2.911399846545367
20,0.8643891425393467,TrialState.COMPLETE,739,9,0.015014127717093649,0.6273412616470275,0.5736710770938671,11,7.131367758076521e-06,2.908612132794733,4.883830642282219
21,0.8396787001827,TrialState.COMPLETE,1439,6,0.02661546702176343,0.6755684452225762,0.9196142438305868,6,8.109867634501096e-05,0.0002719576756603397,1.9866788908912332
22,0.83519639552358,TrialState.COMPLETE,1252,6,0.049651165675063266,0.726030287733503,0.8781005059439206,6,0.0005880971860611787,0.00010198570133687755,1.275014422092398
