number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,1.0389966006518718,TrialState.COMPLETE,567,2,0.0602201600610715,0.578397698688377,0.6958407008838325,11,0.0003297356637434265,0.582052187126704,0.8600127760082155
1,1.0460318802069293,TrialState.COMPLETE,1968,5,0.11301894353722808,0.8293522040084791,0.66825443845653,17,1.9304033494168864e-08,1.368155249680887,3.5657085295713653
2,1.043156260987879,TrialState.COMPLETE,1208,8,0.06036132111584119,0.9750393725640888,0.8276368499552185,9,1.6143718530333973,0.0034039842315358357,3.5248286053461753
3,1.0755503983910888,TrialState.COMPLETE,383,10,0.18905634988676875,0.6767942331424901,0.7663777291449154,19,1.865302738172016e-08,27.86116885287719,9.87747933376073
4,1.0413462561610516,TrialState.COMPLETE,663,4,0.00814702076340256,0.7355078558661303,0.7319355796700715,13,0.003525323462018711,0.00032346221717655495,1.313212120809949
5,1.053543643605641,TrialState.COMPLETE,1369,6,0.1667897029080406,0.7571364859211537,0.5753301275365283,8,2.0114581423876893e-05,2.4468970480147736e-08,6.657694232288048
6,1.0309228722376094,TrialState.COMPLETE,1089,9,0.06841774893049378,0.5013114614584214,0.5509624058475235,10,4.532778818016277,0.00022636553322580825,0.5940809544982828
7,1.0603391841802114,TrialState.COMPLETE,278,8,0.11995477662701826,0.5620496993468127,0.636748661393682,15,0.016281085216809668,83.49380655710308,3.5277211275367426
8,1.0386029797621958,TrialState.COMPLETE,1207,6,0.08913600454086512,0.9314753052099256,0.6130105127323635,1,0.0052046091450764255,14.793365504744271,2.380062147073163
9,1.0262426835817826,TrialState.COMPLETE,422,7,0.057291095507474236,0.9726592425277478,0.9193295015672869,2,0.04429406277125133,3.4383915488737526e-07,1.6947095501918041
10,1.0746358352634664,TrialState.COMPLETE,1911,2,0.018585471107282717,0.8774170747519844,0.9742654570074523,1,2.158589401763282e-06,1.0976794821104799e-08,6.451491203777369
11,1.0242926967764265,TrialState.COMPLETE,678,9,0.030119443757020394,0.6347441783730381,0.5011977370624399,5,4.8493019123030825,3.6696819026024183e-06,0.2433431275399981
12,1.0225196408869421,TrialState.COMPLETE,795,7,0.02771454259693241,0.6542477396343832,0.9514133994143308,5,0.3965287878722508,1.4474538408003877e-06,2.1005531018822152
13,1.0139952568168553,TrialState.COMPLETE,829,10,0.0234085802566748,0.6503673445807558,0.8603990229891633,5,0.40105360873302226,2.6628922799057052e-06,0.197242623025267
14,1.036981185662779,TrialState.COMPLETE,902,10,0.019839175446887885,0.6796698462579623,0.8670589504700604,5,0.36788687320398566,5.185498891758191e-06,5.100133387838791
15,1.0380255450943296,TrialState.COMPLETE,893,4,0.007704731742764848,0.7701327194385175,0.9814833388841316,5,0.14609589239190976,3.7849380423490992e-06,2.589846961061157
16,1.035209552440583,TrialState.COMPLETE,1487,8,0.03004578419010315,0.6256673497444589,0.8751255311252804,7,0.0007222471730072942,0.00010559159736238325,4.675532017851877
17,1.0184026457831163,TrialState.COMPLETE,899,7,0.013154080621262536,0.6954838589618513,0.7969623789100717,4,0.4160479792643059,0.008284177567095381,0.1653323155897009
18,1.0216438854564942,TrialState.COMPLETE,1689,10,0.012563566009607792,0.7275484989846497,0.793372196013176,3,9.17519105484548,0.0461084534793763,0.10232226013597596
19,1.0589927466544269,TrialState.COMPLETE,1002,9,0.005069942585811348,0.8093259512502416,0.8352864209447416,7,0.06908332589090269,0.013270570728823712,9.920907152993463
20,1.0238622479829063,TrialState.COMPLETE,1446,4,0.013386012237397662,0.578153827090138,0.9113916951781603,3,0.00024432528063632005,0.0014191680627841253,0.0780536237810141
21,1.0211010546931507,TrialState.COMPLETE,1615,10,0.01173190108140269,0.7125338113223547,0.7858363652146481,3,7.375960880554536,0.15792018145298775,0.11638018152197767
22,1.0192253026554892,TrialState.COMPLETE,1616,10,0.011440287497277515,0.7131372543034024,0.7575235812727609,4,0.859072232861027,0.13669484451562366,1.4342034918265363
23,1.0188166243369237,TrialState.COMPLETE,1180,9,0.02008162550222235,0.7933352303203262,0.7110530474908845,6,0.6011097340408703,3.6398766785373176,1.4557390970469068
24,1.0309072976711828,TrialState.COMPLETE,1162,7,0.019463547003805724,0.8073089338623671,0.7229461870654532,7,0.022084260032050777,3.3606960748415116,2.8501115616384
25,1.0258155134147457,TrialState.COMPLETE,796,9,0.039102087907604936,0.8671621427793553,0.8493106344171477,11,0.19281120788325593,2.596444254123687e-05,1.2314385489310513
26,1.0190534304739878,TrialState.COMPLETE,1294,8,0.04117195733362884,0.777360707735826,0.6777195334308985,6,0.004675132810631226,1.533507990072255e-07,1.0930704297182168
27,1.0300225703051789,TrialState.COMPLETE,997,6,0.015744529685865087,0.6049304092890436,0.8179123202842823,9,1.122705654344577,0.011043413167971947,2.1101480849328205
28,1.0245659557965956,TrialState.COMPLETE,589,9,0.024760672567691946,0.5263558066343281,0.7312151024090585,13,0.07782221974918326,5.031211116084135,0.7622714436791489
29,1.0201275945650656,TrialState.COMPLETE,800,8,0.00847431599820242,0.8573228036652785,0.7033231125378816,8,0.0002639152777149273,0.5501638685375911,0.9198077519621264
30,1.0306113177704308,TrialState.COMPLETE,1043,7,0.03968421768885753,0.6602456873718904,0.9070356459641236,4,1.4002739392683803,4.2898017103112514e-05,2.961994342922598
31,1.02081625932063,TrialState.COMPLETE,1339,8,0.039738389390971275,0.76625532775488,0.6797603331558634,6,0.004566564672610479,6.556685909066664e-08,1.5368471421318617
32,1.0210518840461233,TrialState.COMPLETE,1306,9,0.024882387825858606,0.7885023857533596,0.6644262712648785,6,0.0012017113195752112,2.2108768054529038e-07,0.8389400902591502
33,1.0288403350292636,TrialState.COMPLETE,1145,8,0.04477619518512406,0.6940850528370065,0.6263980925715593,6,2.4633977588575577e-05,3.824648087235729e-07,1.889545805506346
34,1.016839984757897,TrialState.COMPLETE,901,7,0.015581101383409079,0.8221503875560041,0.7580296814067686,4,0.015364127758899063,0.0009246897435187419,0.8029087478203212
35,1.0609118275344829,TrialState.COMPLETE,896,5,0.016321635796196776,0.9255973559024446,0.8042980287968371,2,0.02057977076803925,0.0013556655996126309,8.636110063696272
36,1.0314812505470308,TrialState.COMPLETE,534,5,0.009705756807644865,0.8380324132370164,0.7648917069328406,9,7.33005027529204e-08,0.5599724099235746,0.7314694038712313
37,1.048168704723017,TrialState.COMPLETE,696,6,0.00578934044142203,0.9126785546521314,0.7572807352338438,20,0.4092778977020915,0.0007187053070284278,4.286906154154337
38,1.0184005327814487,TrialState.COMPLETE,986,7,0.015463078751938843,0.7371594922139161,0.8519860920570734,4,2.325929973299325,0.011027172838101111,0.3897823024719462
39,1.0655097879583832,TrialState.COMPLETE,530,2,0.015451227537031952,0.6079367619075089,0.8772341737408361,4,3.3580290053631843,0.006419928387728961,0.036636153834458285
40,1.0216808102028958,TrialState.COMPLETE,943,5,0.006889363231602708,0.7371974263823772,0.8411494583718573,2,2.384189094339404,0.02640946116181586,0.5329716250433234
41,1.0225700515999225,TrialState.COMPLETE,1106,7,0.02219498472568028,0.746275722977378,0.778727445712735,4,0.1653473332276889,0.0031675109864998203,1.372366108259701
42,1.0266778228670075,TrialState.COMPLETE,799,6,0.009878136673413366,0.8052087255652195,0.8158727289654523,3,0.514886383827148,0.0912890819192181,1.8025066188609162
43,1.0235035933850392,TrialState.COMPLETE,1238,7,0.01488399188063468,0.6912063704029061,0.7418091654348379,8,0.035036003443238074,0.0004091825834919568,0.630570995998988
44,1.0306265687637852,TrialState.COMPLETE,1048,7,0.01764870919472228,0.8940708774625244,0.7079776459632287,2,0.010402261535168062,51.185353967485284,1.1810929749347772
45,1.01474633047266,TrialState.COMPLETE,715,9,0.022019350872988633,0.8303240925258515,0.9427870082246299,1,2.0267169675407626,2.5502379692317647e-05,0.48780191655872096
46,1.0145874277576894,TrialState.COMPLETE,720,10,0.03374331305702019,0.8374284380368502,0.9446639811377506,1,1.9746320180458243,1.525711476205153e-05,0.5004839577468749
47,1.026192853444671,TrialState.COMPLETE,229,10,0.029639954115891404,0.8204927053100571,0.9288956995472243,1,2.5474219178981783,9.644972602611097e-06,2.3641018163498693
48,1.0203781540880303,TrialState.COMPLETE,404,10,0.05159478136640628,0.8380695000601566,0.9680045520146732,2,0.12154478644745155,1.1442592466500749e-06,0.6011884645773447
49,1.0502512215815794,TrialState.COMPLETE,734,10,0.03424910772310053,0.8832473514057255,0.9434092237265598,1,9.703743023858676,0.000151799707490169,3.1623246278462567
